A;RTSALEDATA;270;20200113 01:03;VALNET;
B;270;547365;1;20200113 01:03;;;15;BROLGA PL;COLEAMBALLY;2707;183.4;M;20191127;20200109;66000;RU5;3;COMMERCIAL;;RBA;;0;AP817352;
C;270;547365;1;20200113 01:03;104/236144;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;P;;;;;;
D;270;547365;1;20200113 01:03;V;;;;;;
Z;15;1;1;11;
