A;RTSALEDATA;708;20200217 01:04;VALNET;
B;708;2021884;1;20200217 01:04;;86;333;BULWARA RD;ULTIMO;2007;;;20191212;20200210;370000;;3;COMMERCIAL;86;;;0;AP891369;
C;708;2021884;1;20200217 01:04;86/SP42718;
D;708;2021884;1;20200217 01:04;P;;;;;;
D;708;2021884;1;20200217 01:04;V;;;;;;
D;708;2021884;1;20200217 01:04;V;;;;;;
B;708;2032520;2;20200217 01:04;;63;483;KENT ST;SYDNEY;2000;;;20191213;20200207;1911800;;R;RESIDENCE;13;;;0;AP889842;
C;708;2032520;2;20200217 01:04;13/SP46092;
D;708;2032520;2;20200217 01:04;P;;;;;;
D;708;2032520;2;20200217 01:04;V;;;;;;
D;708;2032520;2;20200217 01:04;V;;;;;;
D;708;2032520;2;20200217 01:04;V;;;;;;
B;708;2046244;3;20200217 01:04;;703;99;JONES ST;ULTIMO;2007;;;20200110;20200207;730000;;R;RESIDENCE;89;;;0;AP888220;
C;708;2046244;3;20200217 01:04;89/SP57895;
D;708;2046244;3;20200217 01:04;P;;;;;;
D;708;2046244;3;20200217 01:04;P;;;;;;
D;708;2046244;3;20200217 01:04;V;;;;;;
B;708;2033245;4;20200217 01:04;SAVOY;85;31;KING ST;SYDNEY;2000;;;20200102;20200213;117500;;3;CARSPACE;85;;;0;AP898920;
C;708;2033245;4;20200217 01:04;85/SP21116;
D;708;2033245;4;20200217 01:04;P;;;;;;
D;708;2033245;4;20200217 01:04;V;;;;;;
B;708;2039240;5;20200217 01:04;;606;379;PITT ST;SYDNEY;2000;;;20191219;20200213;636000;;3;OFFICE;58;;;0;AP899075;
C;708;2039240;5;20200217 01:04;58/SP50853;
D;708;2039240;5;20200217 01:04;P;;;;;;
D;708;2039240;5;20200217 01:04;V;;;;;;
D;708;2039240;5;20200217 01:04;V;;;;;;
B;708;2923128;6;20200217 01:04;;7;2 A;PYRMONT BRIDGE RD;CAMPERDOWN;2050;300;M;20191111;20200210;1755260;;R;RESIDENCE;7;;;0;AP892719;
C;708;2923128;6;20200217 01:04;7/SP67936;
D;708;2923128;6;20200217 01:04;P;;;;;;
D;708;2923128;6;20200217 01:04;V;;;;;;
B;708;2931812;7;20200217 01:04;;29;74;MCLACHLAN AVE;DARLINGHURST;2010;;;20191209;20200210;1415000;;R;RESIDENCE;29;;;0;AP892313;
C;708;2931812;7;20200217 01:04;29/SP68199;
D;708;2931812;7;20200217 01:04;P;;;;;;
D;708;2931812;7;20200217 01:04;V;;;;;;
B;708;2967438;8;20200217 01:04;;506;21;CADIGAL AVE;PYRMONT;2009;;;20191113;20200210;1400000;;R;RESIDENCE;47;;;0;AP891207;
C;708;2967438;8;20200217 01:04;47/SP69581;
D;708;2967438;8;20200217 01:04;P;;;;;;
D;708;2967438;8;20200217 01:04;V;;;;;;
D;708;2967438;8;20200217 01:04;V;;;;;;
B;708;3374043;9;20200217 01:04;WOLSELEY BUILDING;3213;2;WOLSELEY GR;ZETLAND;2017;;;20191211;20200207;952000;;R;RESIDENCE;175;;;0;AP888826;
C;708;3374043;9;20200217 01:04;175/SP81218;
D;708;3374043;9;20200217 01:04;P;;;;;;
D;708;3374043;9;20200217 01:04;P;;;;;;
D;708;3374043;9;20200217 01:04;V;;;;;;
B;708;3398904;10;20200217 01:04;;10;1;MURRAY ST;WATERLOO;2017;122;M;20191128;20200207;735000;;R;RESIDENCE;11;;;0;AP888097;
C;708;3398904;10;20200217 01:04;11/SP80965;
D;708;3398904;10;20200217 01:04;P;;;;;;
D;708;3398904;10;20200217 01:04;P;;;;;;
D;708;3398904;10;20200217 01:04;V;;;;;;
B;708;3502980;11;20200217 01:04;;402;24;SPRINGFIELD AVE;POTTS POINT;2011;;;20200122;20200207;815000;;3;OFFICE;29;;;0;AP889209;
C;708;3502980;11;20200217 01:04;29/SP83116;
D;708;3502980;11;20200217 01:04;P;;;;;;
D;708;3502980;11;20200217 01:04;V;;;;;;
B;708;3502980;12;20200217 01:04;;69;24;SPRINGFIELD AVE;POTTS POINT;2011;;;20200122;20200207;815000;;3;OFFICE;69;;;0;AP889209;
C;708;3502980;12;20200217 01:04;69/SP83116;
D;708;3502980;12;20200217 01:04;P;;;;;;
D;708;3502980;12;20200217 01:04;V;;;;;;
B;708;4210245;13;20200217 01:04;;610;301;BOTANY RD;ZETLAND;2017;110;M;20200123;20200212;1436000;;R;RESIDENCE;35;;;0;AP896047;
C;708;4210245;13;20200217 01:04;35/SP92073;
D;708;4210245;13;20200217 01:04;P;;;;;;
D;708;4210245;13;20200217 01:04;V;;;;;;
B;708;4138349;14;20200217 01:04;;11;190;VICTORIA ST;POTTS POINT;2011;31;M;20191218;20200207;550000;;R;RESIDENCE;11;;;0;AP888025;
C;708;4138349;14;20200217 01:04;11/SP97870;
D;708;4138349;14;20200217 01:04;P;;;;;;
D;708;4138349;14;20200217 01:04;P;;;;;;
D;708;4138349;14;20200217 01:04;V;;;;;;
B;708;4237162;15;20200217 01:04;;106;25;GEDDES AVE;ZETLAND;2017;98;M;20191209;20200210;970000;;R;RESIDENCE;8;;;0;AP890797;
C;708;4237162;15;20200217 01:04;8/SP93826;
D;708;4237162;15;20200217 01:04;P;;;;;;
D;708;4237162;15;20200217 01:04;V;;;;;;
B;708;4237162;16;20200217 01:04;;108;25;GEDDES AVE;ZETLAND;2017;92;M;20191206;20200210;970000;;R;RESIDENCE;9;;;0;AP890763;
C;708;4237162;16;20200217 01:04;9/SP93826;
D;708;4237162;16;20200217 01:04;P;;;;;;
D;708;4237162;16;20200217 01:04;P;;;;;;
D;708;4237162;16;20200217 01:04;V;;;;;;
B;708;4248200;17;20200217 01:04;;243;18;CONFECTIONERS WAY;ROSEBERY;2018;;;20180426;20200212;728000;;R;RESIDENCE;100;;;0;AP896051;
C;708;4248200;17;20200217 01:04;100/SP100340;
D;708;4248200;17;20200217 01:04;P;;;;;;
D;708;4248200;17;20200217 01:04;V;;;;;;
B;708;4248200;18;20200217 01:04;;445;18;CONFECTIONERS WAY;ROSEBERY;2018;;;20180227;20200207;800000;;R;RESIDENCE;123;;;0;AP887262;
C;708;4248200;18;20200217 01:04;123/SP100340;
D;708;4248200;18;20200217 01:04;P;;;;;;
D;708;4248200;18;20200217 01:04;V;;;;;;
B;708;4234238;19;20200217 01:04;;107;517;HARRIS ST;ULTIMO;2007;63;M;20191120;20200207;814500;;R;RESIDENCE;15;;;0;AP889129;
C;708;4234238;19;20200217 01:04;15/SP99957;
D;708;4234238;19;20200217 01:04;P;;;;;;
D;708;4234238;19;20200217 01:04;V;;;;;;
B;708;4234238;20;20200217 01:04;;508;517;HARRIS ST;ULTIMO;2007;121;M;20191224;20200212;1655000;;R;RESIDENCE;65;;;0;AP897821;
C;708;4234238;20;20200217 01:04;65/SP99957;
D;708;4234238;20;20200217 01:04;P;;;;;;
D;708;4234238;20;20200217 01:04;V;;;;;;
B;708;2119144;21;20200217 01:04;;29;277;CROWN ST;SURRY HILLS;2010;;;20191128;20200210;1125000;;R;RESIDENCE;29;;;0;AP890697;
C;708;2119144;21;20200217 01:04;29/SP61092;
D;708;2119144;21;20200217 01:04;P;;;;;;
D;708;2119144;21;20200217 01:04;V;;;;;;
D;708;2119144;21;20200217 01:04;V;;;;;;
B;708;2108847;22;20200217 01:04;BILLYARD GARDENS;9;8;BILLYARD AVE;ELIZABETH BAY;2011;;;20200129;20200212;1250000;;R;RESIDENCE;9;;;0;AP895766;
C;708;2108847;22;20200217 01:04;9/SP245;
D;708;2108847;22;20200217 01:04;P;;;;;;
D;708;2108847;22;20200217 01:04;P;;;;;;
D;708;2108847;22;20200217 01:04;V;;;;;;
D;708;2108847;22;20200217 01:04;V;;;;;;
B;708;2106439;23;20200217 01:04;;;43;AMY ST;ERSKINEVILLE;2043;104.14;M;20191217;20200210;1300000;R1;R;RESIDENCE;;BQ1;;0;AP892251;
C;708;2106439;23;20200217 01:04;1/905373;
D;708;2106439;23;20200217 01:04;P;;;;;;
D;708;2106439;23;20200217 01:04;P;;;;;;
D;708;2106439;23;20200217 01:04;V;;;;;;
D;708;2106439;23;20200217 01:04;V;;;;;;
B;708;2106440;24;20200217 01:04;;;41 B;AMY ST;ERSKINEVILLE;2043;28;M;20191217;20200210;1300000;R1;R;RESIDENCE;;BQ1;;0;AP892251;
C;708;2106440;24;20200217 01:04;2/456477;
D;708;2106440;24;20200217 01:04;P;;;;;;
D;708;2106440;24;20200217 01:04;P;;;;;;
D;708;2106440;24;20200217 01:04;V;;;;;;
D;708;2106440;24;20200217 01:04;V;;;;;;
B;708;2108847;25;20200217 01:04;BILLYARD GARDENS;46;8;BILLYARD AVE;ELIZABETH BAY;2011;;;20200129;20200212;1250000;;R;RESIDENCE;46;;;0;AP895766;
C;708;2108847;25;20200217 01:04;46/SP245;
D;708;2108847;25;20200217 01:04;P;;;;;;
D;708;2108847;25;20200217 01:04;P;;;;;;
D;708;2108847;25;20200217 01:04;V;;;;;;
D;708;2108847;25;20200217 01:04;V;;;;;;
B;708;2111704;26;20200217 01:04;;;8;BRADFORD ST;ALEXANDRIA;2015;4153;M;20191213;20200131;8800000;B7;3;INDUSTRIAL;;RS2;;0;AP891225;
C;708;2111704;26;20200217 01:04;11/841346;
D;708;2111704;26;20200217 01:04;P;;;;;;
D;708;2111704;26;20200217 01:04;V;;;;;;
B;708;2106724;27;20200217 01:04;;;129;ARTHUR ST;SURRY HILLS;2010;106.8;M;20191207;20200212;2345000;R1;R;RESIDENCE;;BD1;;0;AP896542;
C;708;2106724;27;20200217 01:04;3/260464;
D;708;2106724;27;20200217 01:04;P;;;;;;
D;708;2106724;27;20200217 01:04;V;;;;;;
D;708;2106724;27;20200217 01:04;V;;;;;;
B;708;2111879;28;20200217 01:04;;1055;185;BROADWAY;ULTIMO;2007;;;20191115;20200210;268500;;R;RESIDENCE;63;;;0;AP890761;
C;708;2111879;28;20200217 01:04;63/SP54026;
D;708;2111879;28;20200217 01:04;P;;;;;;
D;708;2111879;28;20200217 01:04;V;;;;;;
B;708;2109465;29;20200217 01:04;;;39;BOTANY RD;WATERLOO;2017;239.6;M;20191227;20200207;2388000;B4;R;RESIDENCE;;MF1;;0;AP888692;
C;708;2109465;29;20200217 01:04;1, 2/784927;
D;708;2109465;29;20200217 01:04;P;;;;;;
