A;RTSALEDATA;199;20190506 01:04;VALNET;
B;199;4121771;1;20190506 01:04;;;16;PLANE AVE;URALLA;2358;676.6;M;20190408;20190430;247000;R1;R;RESIDENCE;;ULA;;0;AP220722;
C;199;4121771;1;20190506 01:04;10/1242478;
D;199;4121771;1;20190506 01:04;P;;;;;;
D;199;4121771;1;20190506 01:04;V;;;;;;
B;199;1881947;2;20190506 01:04;;;35;EAST ST;URALLA;2358;793.6;M;20190409;20190501;370000;R1;R;RESIDENCE;;ULB;;0;AP223731;
C;199;1881947;2;20190506 01:04;29/250713;
D;199;1881947;2;20190506 01:04;P;;;;;;
D;199;1881947;2;20190506 01:04;V;;;;;;
B;199;1882474;3;20190506 01:04;;;2;PRINCE AVE;URALLA;2358;651.3;M;20190330;20190429;155000;R1;R;RESIDENCE;;ULA;;0;AP216972;
C;199;1882474;3;20190506 01:04;23/227194 Housing PRN 166706;
D;199;1882474;3;20190506 01:04;P;;;;;;
D;199;1882474;3;20190506 01:04;V;;;;;;
B;199;3985466;4;20190506 01:04;;;41;BUDUMBA RD;INVERGOWRIE;2350;2.495;H;20190315;20190502;415000;R5;R;RESIDENCE;;URC;;0;AP225627;
C;199;3985466;4;20190506 01:04;1/1227109;
D;199;3985466;4;20190506 01:04;P;;;;;;
D;199;3985466;4;20190506 01:04;V;;;;;;
D;199;3985466;4;20190506 01:04;V;;;;;;
Z;19;4;4;9;
