A;RTSALEDATA;224;20200427 01:02;VALNET;
B;224;2534795;18;20200427 01:02;;;87;BROUGHAM ST;EMU PLAINS;2750;565.4;M;20200129;20200420;642000;R2;R;RESIDENCE;;RGL;;0;AQ44866;
C;224;2534795;18;20200427 01:02;31/708555;
D;224;2534795;18;20200427 01:02;P;;;;;;
D;224;2534795;18;20200427 01:02;V;;;;;;
D;224;2534795;18;20200427 01:02;V;;;;;;
B;224;2534841;19;20200427 01:02;;;15;BROUGHAM ST;EMU PLAINS;2750;607;M;20200310;20200421;566500;R2;R;RESIDENCE;;RGL;;0;AQ47932;
C;224;2534841;19;20200427 01:02;1/518024;
D;224;2534841;19;20200427 01:02;P;;;;;;
D;224;2534841;19;20200427 01:02;V;;;;;;
D;224;2534841;19;20200427 01:02;V;;;;;;
B;224;2534903;20;20200427 01:02;;;65;BROWN ST;PENRITH;2750;739.8;M;20200415;20200420;850000;R3;R;RESIDENCE;;AMD;;0;AQ44816;
C;224;2534903;20;20200427 01:02;21/28917;
D;224;2534903;20;20200427 01:02;P;;;;;;
D;224;2534903;20;20200427 01:02;P;;;;;;
D;224;2534903;20;20200427 01:02;V;;;;;;
B;224;2543283;21;20200427 01:02;;22;171;DERBY ST;PENRITH;2750;;;20200311;20200422;297000;;R;RESIDENCE;22;;;0;AQ51198;
C;224;2543283;21;20200427 01:02;22/SP13126;
D;224;2543283;21;20200427 01:02;P;;;;;;
D;224;2543283;21;20200427 01:02;V;;;;;;
B;224;2546026;22;20200427 01:02;;;66;ETON RD;CAMBRIDGE PARK;2747;695.6;M;20200306;20200417;630000;R2;R;RESIDENCE;;RGU;;0;AQ40587;
C;224;2546026;22;20200427 01:02;26/12400;
D;224;2546026;22;20200427 01:02;P;;;;;;
D;224;2546026;22;20200427 01:02;P;;;;;;
D;224;2546026;22;20200427 01:02;V;;;;;;
D;224;2546026;22;20200427 01:02;V;;;;;;
B;224;2532648;23;20200427 01:02;;;36;BIRMINGHAM RD;SOUTH PENRITH;2750;558.6;M;20200224;20200420;765000;R2;R;RESIDENCE;;RGG;;0;AQ44792;
C;224;2532648;23;20200427 01:02;402/246699;
D;224;2532648;23;20200427 01:02;P;;;;;;
D;224;2532648;23;20200427 01:02;P;;;;;;
D;224;2532648;23;20200427 01:02;V;;;;;;
D;224;2532648;23;20200427 01:02;V;;;;;;
B;224;2540867;24;20200427 01:02;;;10;COOPER ST;PENRITH;2750;657.6;M;20200219;20200417;640000;R2;R;RESIDENCE;;RGC;;0;AQ42862;
C;224;2540867;24;20200427 01:02;393/31824;
D;224;2540867;24;20200427 01:02;P;;;;;;
D;224;2540867;24;20200427 01:02;P;;;;;;
D;224;2540867;24;20200427 01:02;V;;;;;;
D;224;2540867;24;20200427 01:02;V;;;;;;
B;224;2549422;25;20200427 01:02;;;38;GIDLEY ST;ST MARYS;2760;701.9;M;20200309;20200420;755000;R3;R;RESIDENCE;;CMD;;0;AQ44823;
C;224;2549422;25;20200427 01:02;1/783200;
D;224;2549422;25;20200427 01:02;P;;;;;;
D;224;2549422;25;20200427 01:02;V;;;;;;
B;224;2541316;26;20200427 01:02;;;29;CORNDEW CRES;WERRINGTON DOWNS;2747;560.1;M;20200310;20200422;665000;R2;R;RESIDENCE;;RGU;;0;AQ51633;
C;224;2541316;26;20200427 01:02;8112/261684;
D;224;2541316;26;20200427 01:02;P;;;;;;
D;224;2541316;26;20200427 01:02;P;;;;;;
D;224;2541316;26;20200427 01:02;V;;;;;;
D;224;2541316;26;20200427 01:02;V;;;;;;
B;224;2578707;27;20200427 01:02;;;9;SHORT ST;EMU PLAINS;2750;557.4;M;20200223;20200417;725000;R2;R;RESIDENCE;;RGL;;0;AQ41723;
C;224;2578707;27;20200427 01:02;40/246237;
D;224;2578707;27;20200427 01:02;P;;;;;;
D;224;2578707;27;20200427 01:02;P;;;;;;
D;224;2578707;27;20200427 01:02;V;;;;;;
B;224;2578864;28;20200427 01:02;;;139;SIR JOHN JAMISON CCT;GLENMORE PARK;2745;2046;M;20200416;20200422;770000;R2;R;RESIDENCE;;RKL;;0;AQ51372;
C;224;2578864;28;20200427 01:02;4366/817382;
D;224;2578864;28;20200427 01:02;P;;;;;;
D;224;2578864;28;20200427 01:02;V;;;;;;
B;224;2581552;29;20200427 01:02;;5;83;SYDNEY ST;ST MARYS;2760;;;20200229;20200417;453000;;R;RESIDENCE;5;;;0;AQ41491;
C;224;2581552;29;20200427 01:02;5/SP56467;
D;224;2581552;29;20200427 01:02;P;;;;;;
D;224;2581552;29;20200427 01:02;V;;;;;;
B;224;2552679;30;20200427 01:02;;;20;HARRIETT CL;GLENMORE PARK;2745;1932;M;20200308;20200420;950000;R2;R;RESIDENCE;;RKL;;0;AQ46046;
C;224;2552679;30;20200427 01:02;4361/817382;
D;224;2552679;30;20200427 01:02;P;;;;;;
