A;RTSALEDATA;097;20200427 01:01;VALNET;
B;097;2861012;1;20200427 01:01;;;8;HENRY PL;LONG BEACH;2536;932.1;M;20200401;20200423;520000;R2;R;RESIDENCE;;EXK;;0;AQ54347;
C;097;2861012;1;20200427 01:01;167/1033434;
D;097;2861012;1;20200427 01:01;P;;;;;;
D;097;2861012;1;20200427 01:01;V;;;;;;
D;097;2861012;1;20200427 01:01;V;;;;;;
B;097;1002248;2;20200427 01:01;;;87;COUNTRY CLUB DR;CATALINA;2536;990.4;M;20200226;20200417;485000;R2;R;RESIDENCE;;EXF;;0;AQ42509;
C;097;1002248;2;20200427 01:01;184/245485;
D;097;1002248;2;20200427 01:01;P;;;;;;
D;097;1002248;2;20200427 01:01;V;;;;;;
B;097;1001916;3;20200427 01:01;;;62;HERON RD;CATALINA;2536;619.4;M;20200325;20200422;435000;R2;R;RESIDENCE;;EXF;;0;AQ52917;
C;097;1001916;3;20200427 01:01;522/248929;
D;097;1001916;3;20200427 01:01;P;;;;;;
D;097;1001916;3;20200427 01:01;V;;;;;;
D;097;1001916;3;20200427 01:01;V;;;;;;
B;097;1001249;4;20200427 01:01;;;8;COX PL;SUNSHINE BAY;2536;845.6;M;20200309;20200420;610000;R2;R;RESIDENCE;;EYH;;0;AQ45961;
C;097;1001249;4;20200427 01:01;284/1009673;
D;097;1001249;4;20200427 01:01;P;;;;;;
D;097;1001249;4;20200427 01:01;V;;;;;;
D;097;1001249;4;20200427 01:01;V;;;;;;
B;097;1001533;5;20200427 01:01;;;63;ERIC FENNING DR;SURF BEACH;2536;1578;M;20200408;20200417;540000;R2;R;RESIDENCE;;EXY;;0;AQ41044;
C;097;1001533;5;20200427 01:01;15/262947;
D;097;1001533;5;20200427 01:01;P;;;;;;
D;097;1001533;5;20200427 01:01;V;;;;;;
B;097;999843;6;20200427 01:01;;7;84;BEACH RD;BATEMANS BAY;2536;;;20200313;20200423;145000;;R;RESIDENCE;7;;;50;AQ56234;
C;097;999843;6;20200427 01:01;7/SP7968;
D;097;999843;6;20200427 01:01;P;;;;;;
D;097;999843;6;20200427 01:01;V;;;;;;
D;097;999843;6;20200427 01:01;V;;;;;;
B;097;999590;7;20200427 01:01;;7;647;BEACH RD;SURF BEACH;2536;;;20190411;20190523;250000;;R;RESIDENCE;7;;;0;AQ50595;
C;097;999590;7;20200427 01:01;7/SP52317;
D;097;999590;7;20200427 01:01;P;;;;;;
D;097;999590;7;20200427 01:01;P;;;;;;
D;097;999590;7;20200427 01:01;V;;;;;;
B;097;1015828;8;20200427 01:01;;;1;SOUTH HEAD RD;MORUYA;2537;1138;M;20200318;20200421;480000;R2;R;RESIDENCE;;ETD;;0;AQ49536;
C;097;1015828;8;20200427 01:01;1/1/193084;
D;097;1015828;8;20200427 01:01;P;;;;;;
D;097;1015828;8;20200427 01:01;P;;;;;;
D;097;1015828;8;20200427 01:01;V;;;;;;
D;097;1015828;8;20200427 01:01;V;;;;;;
B;097;1015866;9;20200427 01:01;;24;16;NATIVE WAY;MORUYA HEADS;2537;;;20200311;20200422;300000;;R;RESIDENCE;27;;;0;AQ52113;
C;097;1015866;9;20200427 01:01;27/SP33047;
D;097;1015866;9;20200427 01:01;P;;;;;;
D;097;1015866;9;20200427 01:01;P;;;;;;
D;097;1015866;9;20200427 01:01;V;;;;;;
D;097;1015866;9;20200427 01:01;V;;;;;;
B;097;1003317;10;20200427 01:01;;;3;RIVERVIEW CRES;CATALINA;2536;600.7;M;20200227;20200423;625000;R2;R;RESIDENCE;;EYP;;0;AQ55900;
C;097;1003317;10;20200427 01:01;63/30699;
D;097;1003317;10;20200427 01:01;P;;;;;;
D;097;1003317;10;20200427 01:01;V;;;;;;
D;097;1003317;10;20200427 01:01;V;;;;;;
