A;RTSALEDATA;100;20191104 01:04;VALNET;
B;100;2777878;1;20191104 01:04;;1;39;TYRREL ST;FLINDERS;2529;;;20191002;20191030;565000;;R;RESIDENCE;1;;;0;AP646451;
C;100;2777878;1;20191104 01:04;1/SP68451;
D;100;2777878;1;20191104 01:04;P;;;;;;
D;100;2777878;1;20191104 01:04;V;;;;;;
B;100;3415134;2;20191104 01:04;;;7;MOUNTAINVIEW MEWS;ALBION PARK;2527;250;M;20191003;20191028;485000;R2;R;RESIDENCE;;AAB;;0;AP638464;
C;100;3415134;2;20191104 01:04;23/286179;
D;100;3415134;2;20191104 01:04;P;;;;;;
D;100;3415134;2;20191104 01:04;V;;;;;;
B;100;3473724;3;20191104 01:04;;1;26;WENTWORTH ST;OAK FLATS;2529;212;M;20190919;20191030;610000;;R;RESIDENCE;1;;;0;AP644469;
C;100;3473724;3;20191104 01:04;1/SP82694;
D;100;3473724;3;20191104 01:04;P;;;;;;
D;100;3473724;3;20191104 01:04;V;;;;;;
B;100;4184940;4;20191104 01:04;;;58;BROTHERIDGE AVE;CALDERWOOD;2527;381.2;M;20191003;20191031;695000;R1;R;RESIDENCE;;ARC;;0;AP649280;
C;100;4184940;4;20191104 01:04;3237/1225478;
D;100;4184940;4;20191104 01:04;P;;;;;;
D;100;4184940;4;20191104 01:04;V;;;;;;
D;100;4184940;4;20191104 01:04;V;;;;;;
B;100;4184982;5;20191104 01:04;;;11;DAIRYMAN PL;CALDERWOOD;2527;342;M;20190626;20191029;640000;R1;R;RESIDENCE;;ARC;;0;AP642090;
C;100;4184982;5;20191104 01:04;3279/1225478;
D;100;4184982;5;20191104 01:04;P;;;;;;
D;100;4184982;5;20191104 01:04;P;;;;;;
D;100;4184982;5;20191104 01:04;V;;;;;;
B;100;4151894;6;20191104 01:04;;;47;OAK FARM RD;CALDERWOOD;2527;550.9;M;20191021;20191025;340000;R1;V;VACANT LAND;;ARC;;0;AP633048;
C;100;4151894;6;20191104 01:04;2882/1225475;
D;100;4151894;6;20191104 01:04;P;;;;;;
D;100;4151894;6;20191104 01:04;V;;;;;;
B;100;4216046;7;20191104 01:04;;4;109;TERRY ST;ALBION PARK;2527;141;M;20190927;20191025;485000;;R;RESIDENCE;4;;;0;AP634931;
C;100;4216046;7;20191104 01:04;4/SP99174;
D;100;4216046;7;20191104 01:04;P;;;;;;
D;100;4216046;7;20191104 01:04;V;;;;;;
D;100;4216046;7;20191104 01:04;V;;;;;;
B;100;4147949;8;20191104 01:04;;9;5;STATION RD;ALBION PARK RAIL;2527;180;M;20190903;20191029;505000;;R;RESIDENCE;9;;;0;AP640933;
C;100;4147949;8;20191104 01:04;9/SP95437;
D;100;4147949;8;20191104 01:04;P;;;;;;
D;100;4147949;8;20191104 01:04;V;;;;;;
D;100;4147949;8;20191104 01:04;V;;;;;;
B;100;4244517;9;20191104 01:04;;5;309;PRINCES HWY;ALBION PARK RAIL;2527;;;20180622;20191025;499900;;R;RESIDENCE;5;;;0;AP636155;
C;100;4244517;9;20191104 01:04;5/SP100195;
D;100;4244517;9;20191104 01:04;P;;;;;;
D;100;4244517;9;20191104 01:04;V;;;;;;
B;100;4244517;10;20191104 01:04;;6;309;PRINCES HWY;ALBION PARK RAIL;2527;;;20190822;20191025;489000;;R;RESIDENCE;6;;;0;AP635399;
C;100;4244517;10;20191104 01:04;6/SP100195;
D;100;4244517;10;20191104 01:04;P;;;;;;
D;100;4244517;10;20191104 01:04;V;;;;;;
B;100;4244735;11;20191104 01:04;;;56;BADGERY ST;ALBION PARK;2527;;;20190805;20191031;510000;;R;RESIDENCE;;;;0;AP649647;
C;100;4244735;11;20191104 01:04;1/1242705;
D;100;4244735;11;20191104 01:04;P;;;;;;
D;100;4244735;11;20191104 01:04;P;;;;;;
D;100;4244735;11;20191104 01:04;V;;;;;;
B;100;4244736;12;20191104 01:04;;;1;FRASER CRES;ALBION PARK;2527;;;20190903;20191031;510000;;R;RESIDENCE;;;;0;AP649566;
C;100;4244736;12;20191104 01:04;2/1242705;
D;100;4244736;12;20191104 01:04;P;;;;;;
D;100;4244736;12;20191104 01:04;P;;;;;;
D;100;4244736;12;20191104 01:04;V;;;;;;
