A;RTSALEDATA;042;20190603 01:01;VALNET;
B;042;3383843;1;20190603 01:01;;;;REG HAILSTONE WAY;WOODSTOCK;2793;40;H;20190530;20190530;230000;RU1;R;RESIDENCE;;RMN;;0;AP288732;
C;042;3383843;1;20190603 01:01;6/1100117;
D;042;3383843;1;20190603 01:01;P;;;;;;
D;042;3383843;1;20190603 01:01;V;;;;;;
B;042;4190677;2;20190603 01:01;;;;LONDON DR;COWRA;2794;1045;M;20190226;20190527;121000;R1;V;VACANT LAND;;ACN;;0;AP278789;
C;042;4190677;2;20190603 01:01;2/1250412;
D;042;4190677;2;20190603 01:01;P;;;;;;
D;042;4190677;2;20190603 01:01;P;;;;;;
D;042;4190677;2;20190603 01:01;V;;;;;;
B;042;475016;3;20190603 01:01;;;45;KENDAL ST;COWRA;2794;215.5;M;20181221;20190329;365000;B2;3;COMMERCIAL;;BCM;;0;AP189203;
C;042;475016;3;20190603 01:01;5/17754;
D;042;475016;3;20190603 01:01;P;;;;;;
D;042;475016;3;20190603 01:01;V;;;;;;
B;042;470494;4;20190603 01:01;LOONGANA;;87 C;MACARTHER ONSLOW RD;CANOWINDRA;2804;56;H;20190411;20190516;1400500;RU1;3;FARM;;RFL;;0;AP280631;
C;042;470494;4;20190603 01:01;1/816012;
D;042;470494;4;20190603 01:01;P;;;;;;
D;042;470494;4;20190603 01:01;V;;;;;;
D;042;470494;4;20190603 01:01;V;;;;;;
D;042;470494;4;20190603 01:01;V;;;;;;
B;042;470495;5;20190603 01:01;;;87 D;MACARTHER ONSLOW RD;CANOWINDRA;2804;40.1;H;20190411;20190516;1400500;RU1;3;FARM;;RFL;;0;AP280631;
C;042;470495;5;20190603 01:01;21/853594;
D;042;470495;5;20190603 01:01;P;;;;;;
D;042;470495;5;20190603 01:01;V;;;;;;
D;042;470495;5;20190603 01:01;V;;;;;;
D;042;470495;5;20190603 01:01;V;;;;;;
B;042;476010;6;20190603 01:01;;;25;NELSON ST;COWRA;2794;696.77;M;20190418;20190524;254000;R1;R;RESIDENCE;;ACC;;0;AP276279;
C;042;476010;6;20190603 01:01;26/1/6356;
D;042;476010;6;20190603 01:01;P;;;;;;
D;042;476010;6;20190603 01:01;V;;;;;;
D;042;476010;6;20190603 01:01;V;;;;;;
B;042;474363;7;20190603 01:01;;;5;ELIZABETH AVE;COWRA;2794;961.1;M;20190424;20190529;335000;R1;R;RESIDENCE;;ACN;;0;AP284797;
C;042;474363;7;20190603 01:01;17/228678;
D;042;474363;7;20190603 01:01;P;;;;;;
D;042;474363;7;20190603 01:01;P;;;;;;
D;042;474363;7;20190603 01:01;V;;;;;;
D;042;474363;7;20190603 01:01;V;;;;;;
B;042;3578827;8;20190603 01:01;;1;35;LONDON DR;COWRA;2794;474;M;20190508;20190529;329000;;R;RESIDENCE;1;;;0;AP285713;
C;042;3578827;8;20190603 01:01;1/SP85325;
D;042;3578827;8;20190603 01:01;P;;;;;;
D;042;3578827;8;20190603 01:01;V;;;;;;
D;042;3578827;8;20190603 01:01;V;;;;;;
Z;43;8;8;25;
