A;005;20110801 01:53;VALNET;
B;005;3583337;16;20110801 01:53;;;22;TEAL ST;ABERGLASSLYN;2320;757.8;M;20110624;20110630;176700;A;V;VACANT LAND;;EL;;0;AG368530;
C;005;3583337;16;20110801 01:53;1708/1158187;
D;005;3583337;16;20110801 01:53;P;;;;;;
D;005;3583337;16;20110801 01:53;V;;;;;;
B;005;3583338;17;20110801 01:53;;;20;TEAL ST;ABERGLASSLYN;2320;779.3;M;20110630;20110630;177650;A;V;VACANT LAND;;EL;;0;AG378917;
C;005;3583338;17;20110801 01:53;1709/1158187;
D;005;3583338;17;20110801 01:53;P;;;;;;
D;005;3583338;17;20110801 01:53;V;;;;;;
B;005;3583339;18;20110801 01:53;;;18;TEAL ST;ABERGLASSLYN;2320;695.1;M;20110628;20110630;171000;A;V;VACANT LAND;;EL;;0;AG368483;
C;005;3583339;18;20110801 01:53;1710/1158187;
D;005;3583339;18;20110801 01:53;P;;;;;;
D;005;3583339;18;20110801 01:53;V;;;;;;
B;005;3583341;19;20110801 01:53;;;14;TEAL ST;ABERGLASSLYN;2320;993.8;M;20110303;20110715;208000;A;V;VACANT LAND;;EL;;0;AG381986;
C;005;3583341;19;20110801 01:53;1712/1158187;
D;005;3583341;19;20110801 01:53;P;;;;;;
D;005;3583341;19;20110801 01:53;V;;;;;;
B;005;3583342;20;20110801 01:53;;;12;TEAL ST;ABERGLASSLYN;2320;772.2;M;20110303;20110715;175000;A;V;VACANT LAND;;EL;;0;AG381987;
C;005;3583342;20;20110801 01:53;1713/1158187;
D;005;3583342;20;20110801 01:53;P;;;;;;
D;005;3583342;20;20110801 01:53;V;;;;;;
B;005;3583343;21;20110801 01:53;;;96;MCKEACHIE DR;ABERGLASSLYN;2320;729.6;M;20110630;20110630;156750;A;V;VACANT LAND;;EL;;0;AG378685;
C;005;3583343;21;20110801 01:53;1714/1158187;
D;005;3583343;21;20110801 01:53;P;;;;;;
D;005;3583343;21;20110801 01:53;V;;;;;;
B;005;3583349;22;20110801 01:53;;;101;MCKEACHIE DR;ABERGLASSLYN;2320;517.2;M;20110630;20110630;152000;A;V;VACANT LAND;;EL;;0;AG379434;
C;005;3583349;22;20110801 01:53;1720/1158187;
D;005;3583349;22;20110801 01:53;P;;;;;;
D;005;3583349;22;20110801 01:53;V;;;;;;
B;005;3583354;23;20110801 01:53;;;17;TEAL ST;ABERGLASSLYN;2320;672.7;M;20110630;20110630;171950;A;V;VACANT LAND;;EL;;0;AG379095;
C;005;3583354;23;20110801 01:53;1725/1158187;
D;005;3583354;23;20110801 01:53;P;;;;;;
D;005;3583354;23;20110801 01:53;V;;;;;;
B;005;3583364;24;20110801 01:53;;;3;WAGTAIL ST;ABERGLASSLYN;2320;513.7;M;20110128;20110622;165000;A;V;VACANT LAND;;EL;;0;AG382384;
C;005;3583364;24;20110801 01:53;1801/1158188;
D;005;3583364;24;20110801 01:53;P;;;;;;
D;005;3583364;24;20110801 01:53;P;;;;;;
D;005;3583364;24;20110801 01:53;V;;;;;;
B;005;3583373;25;20110801 01:53;;;4;WAGTAIL ST;ABERGLASSLYN;2320;530.2;M;20110630;20110630;158650;A;V;VACANT LAND;;EL;;0;AG379310;
C;005;3583373;25;20110801 01:53;1810/1158188;
D;005;3583373;25;20110801 01:53;P;;;;;;
D;005;3583373;25;20110801 01:53;V;;;;;;
B;005;3583380;26;20110801 01:53;;;4;EGRET ST;ABERGLASSLYN;2320;638.4;M;20110630;20110630;172900;A;V;VACANT LAND;;EL;;0;AG379369;
C;005;3583380;26;20110801 01:53;1817/1158190;
D;005;3583380;26;20110801 01:53;P;;;;;;
D;005;3583380;26;20110801 01:53;V;;;;;;
B;005;3583382;27;20110801 01:53;;;6;TEAL ST;ABERGLASSLYN;2320;462.8;M;20110506;20110620;153000;A;V;VACANT LAND;;EL;;0;AG319685;
C;005;3583382;27;20110801 01:53;1819/1158190;
D;005;3583382;27;20110801 01:53;P;;;;;;
D;005;3583382;27;20110801 01:53;V;;;;;;
B;005;3583386;28;20110801 01:53;;;23;COCKATOO RDGE;ABERGLASSLYN;2320;661.6;M;20110630;20110630;175750;A;V;VACANT LAND;;EL;;0;AG378957;
C;005;3583386;28;20110801 01:53;1823/1158190;
D;005;3583386;28;20110801 01:53;P;;;;;;
D;005;3583386;28;20110801 01:53;V;;;;;;
B;005;3583388;29;20110801 01:53;;;3;TEAL ST;ABERGLASSLYN;2320;643.1;M;20110628;20110630;173850;A;V;VACANT LAND;;EL;;0;AG368428;
C;005;3583388;29;20110801 01:53;1825/1158190;
D;005;3583388;29;20110801 01:53;P;;;;;;
D;005;3583388;29;20110801 01:53;V;;;;;;
B;005;3583389;30;20110801 01:53;;;5;TEAL ST;ABERGLASSLYN;2320;608;M;20110628;20110630;169100;A;V;VACANT LAND;;EL;;0;AG368016;
C;005;3583389;30;20110801 01:53;1826/1158190;
D;005;3583389;30;20110801 01:53;P;;;;;;
D;005;3583389;30;20110801 01:53;V;;;;;;
B;005;3583390;31;20110801 01:53;;;7;TEAL ST;ABERGLASSLYN;2320;624;M;20110628;20110630;168150;A;V;VACANT LAND;;EL;;0;AG367965;
C;005;3583390;31;20110801 01:53;1827/1158190;
D;005;3583390;31;20110801 01:53;P;;;;;;
D;005;3583390;31;20110801 01:53;V;;;;;;
B;005;3563611;32;20110801 01:53;;;25;REDTAIL ST;CHISHOLM;2322;672.1;M;20110602;20110623;210000;A;V;VACANT LAND;;GM;;0;AG356550;
C;005;3563611;32;20110801 01:53;150/1155334;
D;005;3563611;32;20110801 01:53;P;;;;;;
D;005;3563611;32;20110801 01:53;V;;;;;;
B;005;3563622;33;20110801 01:53;;;25;MISTFLY ST;CHISHOLM;2322;595;M;20110602;20110623;207000;A;V;VACANT LAND;;GM;;0;AG356534;
C;005;3563622;33;20110801 01:53;161/1155334;
D;005;3563622;33;20110801 01:53;P;;;;;;
D;005;3563622;33;20110801 01:53;V;;;;;;
B;005;3569566;34;20110801 01:53;;;5;OPAL ST;RUTHERFORD;2320;767.2;M;20110602;20110701;165000;A;V;VACANT LAND;;EC;;0;AG385414;
C;005;3569566;34;20110801 01:53;17/1157716;
D;005;3569566;34;20110801 01:53;P;;;;;;
D;005;3569566;34;20110801 01:53;V;;;;;;
B;005;3576703;35;20110801 01:53;;;83;NIVEN PDE;RUTHERFORD;2320;561.3;M;20110606;20110711;168000;A;V;VACANT LAND;;EL;;0;AG370011;
C;005;3576703;35;20110801 01:53;210/1152751;
D;005;3576703;35;20110801 01:53;P;;;;;;
D;005;3576703;35;20110801 01:53;V;;;;;;
B;005;3582838;36;20110801 01:53;;;1;GANNET ST;ABERGLASSLYN;2320;705.4;M;20110628;20110630;171000;A;V;VACANT LAND;;EL;;0;AG367737;
C;005;3582838;36;20110801 01:53;1520/1155175;
D;005;3582838;36;20110801 01:53;P;;;;;;
D;005;3582838;36;20110801 01:53;V;;;;;;
D;005;3582838;36;20110801 01:53;V;;;;;;
D;005;3582838;36;20110801 01:53;V;;;;;;
D;005;3582838;36;20110801 01:53;V;;;;;;
B;005;3582840;37;20110801 01:53;;;5;GANNET ST;ABERGLASSLYN;2320;506;M;20110628;20110630;161500;A;V;VACANT LAND;;EL;;0;AG367709;
C;005;3582840;37;20110801 01:53;1522/1155175;
D;005;3582840;37;20110801 01:53;P;;;;;;
D;005;3582840;37;20110801 01:53;V;;;;;;
D;005;3582840;37;20110801 01:53;V;;;;;;
D;005;3582840;37;20110801 01:53;V;;;;;;
D;005;3582840;37;20110801 01:53;V;;;;;;
B;005;3586119;38;20110801 01:53;;;12;LES CCT;GILLIESTON HEIGHTS;2321;626;M;20110221;20110624;177000;A;V;VACANT LAND;;GA;;0;AG361297;
C;005;3586119;38;20110801 01:53;425/1157274;
D;005;3586119;38;20110801 01:53;P;;;;;;
