A;RTSALEDATA;005;20250714 01:07;VALNET;
B;005;2841654;1;20250714 01:07;;;11;SPOONBILL CL;ABERGLASSLYN;2320;8436;M;20250617;20250704;1462000;R5;R;RESIDENCE;;ABI;;;AV212706;
C;005;2841654;1;20250714 01:07;30/1025965;
D;005;2841654;1;20250714 01:07;P;;;;;;
D;005;2841654;1;20250714 01:07;P;;;;;;
D;005;2841654;1;20250714 01:07;V;;;;;;
B;005;4182428;2;20250714 01:07;;;1;ANGELICA RD;CHISHOLM;2322;776.5;M;20250605;20250707;1055000;R1;R;RESIDENCE;;AAB;;;AV217339;
C;005;4182428;2;20250714 01:07;48/1240315;
D;005;4182428;2;20250714 01:07;P;;;;;;
D;005;4182428;2;20250714 01:07;V;;;;;;
B;005;3546479;3;20250714 01:07;;;15;PATRIOT CL;GILLIESTON HEIGHTS;2321;1013;M;20250516;20250710;920000;R1;R;RESIDENCE;;ABC;;;AV231131;
C;005;3546479;3;20250714 01:07;422/1138766;
D;005;3546479;3;20250714 01:07;P;;;;;;
D;005;3546479;3;20250714 01:07;P;;;;;;
D;005;3546479;3;20250714 01:07;V;;;;;;
D;005;3546479;3;20250714 01:07;V;;;;;;
B;005;3520535;4;20250714 01:07;;;10;DIANELLA WAY;ABERGLASSLYN;2320;525;M;20250605;20250710;860000;R1;R;RESIDENCE;;AAT;;;AV229003;
C;005;3520535;4;20250714 01:07;626/1145574;
D;005;3520535;4;20250714 01:07;P;;;;;;
D;005;3520535;4;20250714 01:07;P;;;;;;
D;005;3520535;4;20250714 01:07;V;;;;;;
B;005;4131406;5;20250714 01:07;;;28;BOUNDARY ST;RUTHERFORD;2320;753.5;M;20250610;20250708;1015000;RE2;R;RESIDENCE;;REB;;;AV222237;
C;005;4131406;5;20250714 01:07;125/280071;
D;005;4131406;5;20250714 01:07;P;;;;;;
D;005;4131406;5;20250714 01:07;V;;;;;;
B;005;4615824;6;20250714 01:07;;9;24;TOURMALINE DR;RUTHERFORD;2320;290.6;M;20250224;20250704;730000;R1;R;RESIDENCE;;AAT;;;AV214263;
C;005;4615824;6;20250714 01:07;9/271573;
D;005;4615824;6;20250714 01:07;P;;;;;;
D;005;4615824;6;20250714 01:07;V;;;;;;
B;005;4601244;7;20250714 01:07;;;11;LIVISTONA DR;LOCHINVAR;2321;479.6;M;20250515;20250707;410000;R1;R;RESIDENCE;;AAZ;;;AV217489;
C;005;4601244;7;20250714 01:07;612/1281935;
D;005;4601244;7;20250714 01:07;P;;;;;;
D;005;4601244;7;20250714 01:07;V;;;;;;
B;005;4601245;8;20250714 01:07;;;13;LIVISTONA DR;LOCHINVAR;2321;479.7;M;20250606;20250709;410000;R1;V;VACANT LAND;;AAZ;;;AV225402;
C;005;4601245;8;20250714 01:07;613/1281935;
D;005;4601245;8;20250714 01:07;P;;;;;;
D;005;4601245;8;20250714 01:07;P;;;;;;
D;005;4601245;8;20250714 01:07;V;;;;;;
B;005;4612841;9;20250714 01:07;;;27;PEEL CL;THORNTON;2322;463.6;M;20250612;20250710;449000;R1;R;RESIDENCE;;AAD;;;AV228741;
C;005;4612841;9;20250714 01:07;26/1299284;
D;005;4612841;9;20250714 01:07;P;;;;;;
D;005;4612841;9;20250714 01:07;V;;;;;;
B;005;4580804;10;20250714 01:07;;;66;LILAC AVE;LOCHINVAR;2321;680.4;M;20250612;20250710;428000;R1;R;RESIDENCE;;AAZ;;;AV228236;
C;005;4580804;10;20250714 01:07;416/1277185;
D;005;4580804;10;20250714 01:07;P;;;;;;
D;005;4580804;10;20250714 01:07;P;;;;;;
D;005;4580804;10;20250714 01:07;P;;;;;;
D;005;4580804;10;20250714 01:07;V;;;;;;
D;005;4580804;10;20250714 01:07;V;;;;;;
B;005;4533785;11;20250714 01:07;;;13;CULLAMI ST;ANAMBAH;2320;542.6;M;20250430;20250704;850000;R1;R;RESIDENCE;;AAV;;;AV216281;
C;005;4533785;11;20250714 01:07;109/1298401;
D;005;4533785;11;20250714 01:07;P;;;;;;
D;005;4533785;11;20250714 01:07;P;;;;;;
