A;RTSALEDATA;207;20190318 01:04;VALNET;
B;207;1983554;1;20190318 01:04;;10;18;BRADLEY ST;RANDWICK;2031;69.7;M;20181206;20190125;717500;;R;RESIDENCE;10;;;0;AP112336;
C;207;1983554;1;20190318 01:04;10/SP2570;
D;207;1983554;1;20190318 01:04;P;;;;;;
D;207;1983554;1;20190318 01:04;V;;;;;;
B;207;1994333;2;20190318 01:04;;2;18;DUKE ST;KENSINGTON;2033;78;M;20190227;20190308;742000;;R;RESIDENCE;2;;;0;AP110245;
C;207;1994333;2;20190318 01:04;2/SP43612;
D;207;1994333;2;20190318 01:04;P;;;;;;
D;207;1994333;2;20190318 01:04;V;;;;;;
B;207;1997089;3;20190318 01:04;;;15;FOWLER CRES;SOUTH COOGEE;2034;517;M;20190205;20190312;3230000;R2;R;RESIDENCE;;ALK;;0;AP115683;
C;207;1997089;3;20190318 01:04;9/26/758912;
D;207;1997089;3;20190318 01:04;P;;;;;;
D;207;1997089;3;20190318 01:04;P;;;;;;
D;207;1997089;3;20190318 01:04;V;;;;;;
D;207;1997089;3;20190318 01:04;V;;;;;;
D;207;1997089;3;20190318 01:04;V;;;;;;
B;207;2000094;4;20190318 01:04;;;5;HASTINGS AVE;CHIFLEY;2036;689.2;M;20190130;20190313;1540000;R2;R;RESIDENCE;;ALP;;0;AP117022;
C;207;2000094;4;20190318 01:04;36/36835;
D;207;2000094;4;20190318 01:04;P;;;;;;
D;207;2000094;4;20190318 01:04;V;;;;;;
B;207;2013666;5;20190318 01:04;;4;14;PRINCE ST;RANDWICK;2031;57;M;20190123;20190307;700000;;R;RESIDENCE;4;;;0;AP114422;
C;207;2013666;5;20190318 01:04;4/SP14898;
D;207;2013666;5;20190318 01:04;P;;;;;;
D;207;2013666;5;20190318 01:04;V;;;;;;
B;207;2011413;6;20190318 01:04;;18;146;OBERON ST;COOGEE;2034;84.3;M;20190126;20190308;885000;;R;RESIDENCE;18;;;0;AP109327;
C;207;2011413;6;20190318 01:04;18/SP5600;
D;207;2011413;6;20190318 01:04;P;;;;;;
D;207;2011413;6;20190318 01:04;V;;;;;;
B;207;2016813;7;20190318 01:04;;;223;STOREY ST;MAROUBRA;2035;430;M;20181205;20190313;1735000;R2;R;RESIDENCE;;ALH;;0;AP119004;
C;207;2016813;7;20190318 01:04;124/5813;
D;207;2016813;7;20190318 01:04;P;;;;;;
D;207;2016813;7;20190318 01:04;P;;;;;;
D;207;2016813;7;20190318 01:04;V;;;;;;
D;207;2016813;7;20190318 01:04;V;;;;;;
B;207;2019461;8;20190318 01:04;;;87;WENTWORTH ST;RANDWICK;2031;459.77;M;20181029;20190314;3175000;R3;R;RESIDENCE;;AMA;;0;AP119808;
C;207;2019461;8;20190318 01:04;4, 5/1108881;
D;207;2019461;8;20190318 01:04;P;;;;;;
D;207;2019461;8;20190318 01:04;V;;;;;;
D;207;2019461;8;20190318 01:04;V;;;;;;
B;207;2006839;9;20190318 01:04;;2;353;MAROUBRA RD;MAROUBRA;2035;149;M;20190204;20190311;950000;;R;RESIDENCE;2;;;0;AP112251;
C;207;2006839;9;20190318 01:04;2/SP49391;
D;207;2006839;9;20190318 01:04;P;;;;;;
D;207;2006839;9;20190318 01:04;P;;;;;;
D;207;2006839;9;20190318 01:04;V;;;;;;
D;207;2006839;9;20190318 01:04;V;;;;;;
