A;RTSALEDATA;159;20190318 01:04;VALNET;
B;159;1745224;1;20190318 01:04;;;32;BELLEVUE AVE;LISMORE HEIGHTS;2480;626;M;20190211;20190311;437500;R1;R;RESIDENCE;;AGG;;0;AP112983;
C;159;1745224;1;20190318 01:04;21/28852;
D;159;1745224;1;20190318 01:04;P;;;;;;
D;159;1745224;1;20190318 01:04;V;;;;;;
D;159;1745224;1;20190318 01:04;V;;;;;;
B;159;1746383;2;20190318 01:04;;;6;CHARLES ST;SOUTH LISMORE;2480;505.9;M;20180207;20190314;295000;R2;R;RESIDENCE;;ABB;;0;AP119731;
C;159;1746383;2;20190318 01:04;1/157618;
D;159;1746383;2;20190318 01:04;P;;;;;;
D;159;1746383;2;20190318 01:04;P;;;;;;
D;159;1746383;2;20190318 01:04;V;;;;;;
B;159;1745557;3;20190318 01:04;;;10;BROWALLIA CT;GOONELLABAH;2480;819.7;M;20190212;20190312;382000;R1;R;RESIDENCE;;AJJ;;0;AP114520;
C;159;1745557;3;20190318 01:04;61/829642;
D;159;1745557;3;20190318 01:04;P;;;;;;
D;159;1745557;3;20190318 01:04;V;;;;;;
B;159;1746092;4;20190318 01:04;;;73;CASINO ST;SOUTH LISMORE;2480;563;M;20190305;20190312;377000;R2;R;RESIDENCE;;ABB;;0;AP114918;
C;159;1746092;4;20190318 01:04;13/599591;
D;159;1746092;4;20190318 01:04;P;;;;;;
D;159;1746092;4;20190318 01:04;V;;;;;;
D;159;1746092;4;20190318 01:04;V;;;;;;
B;159;1746317;5;20190318 01:04;;;17;CEDAR ST;GOONELLABAH;2480;689.2;M;20180125;20190311;455000;R1;R;RESIDENCE;;AMM;;0;AP111689;
C;159;1746317;5;20190318 01:04;11/242980;
D;159;1746317;5;20190318 01:04;P;;;;;;
D;159;1746317;5;20190318 01:04;P;;;;;;
D;159;1746317;5;20190318 01:04;V;;;;;;
D;159;1746317;5;20190318 01:04;V;;;;;;
B;159;1752061;6;20190318 01:04;;;16;ERIC PL;LISMORE HEIGHTS;2480;581.7;M;20190116;20190312;345000;R1;R;RESIDENCE;;AGG;;0;AP114627;
C;159;1752061;6;20190318 01:04;8/20793;
D;159;1752061;6;20190318 01:04;P;;;;;;
D;159;1752061;6;20190318 01:04;V;;;;;;
B;159;1757811;7;20190318 01:04;;;235;ARTHUR RD;CORNDALE;2480;6.003;H;20181126;20190313;1387500;RU1;R;RESIDENCE;;RSC;;0;AP118382;
