A;RTSALEDATA;234;20190318 01:06;VALNET;
B;234;2613996;1;20190318 01:06;;;728;BLENDE ST;BROKEN HILL;2880;790.4;M;20190219;20190308;140000;R1;R;RESIDENCE;;AAZ;;0;AP108699;
C;234;2613996;1;20190318 01:06;3481/757298;
D;234;2613996;1;20190318 01:06;P;;;;;;
D;234;2613996;1;20190318 01:06;V;;;;;;
B;234;2616790;2;20190318 01:06;;;70;GAFFNEY LANE;BROKEN HILL;2880;897.9;M;20190214;20190308;5000;R1;R;RESIDENCE;;AAB;;0;AP110507;
C;234;2616790;2;20190318 01:06;3915/757298;
D;234;2616790;2;20190318 01:06;P;;;;;;
D;234;2616790;2;20190318 01:06;P;;;;;;
D;234;2616790;2;20190318 01:06;V;;;;;;
D;234;2616790;2;20190318 01:06;V;;;;;;
B;234;3322400;3;20190318 01:06;;;127;WILLS LANE;BROKEN HILL;2880;713.3;M;20190206;20190308;190000;R1;R;RESIDENCE;;AAB;;0;AP110132;
C;234;3322400;3;20190318 01:06;2/8519;
D;234;3322400;3;20190318 01:06;P;;;;;;
D;234;3322400;3;20190318 01:06;P;;;;;;
D;234;3322400;3;20190318 01:06;V;;;;;;
Z;17;3;3;9;
