A;RTSALEDATA;210;20260202 01:07;VALNET;
B;210;2079635;1;20260202 01:07;;5;164;BELLEVUE RD;BELLEVUE HILL;2023;42;M;20260113;20260128;773000;;R;RESIDENCE;5;;;;AV826141;
C;210;2079635;1;20260202 01:07;5/SP11703;
D;210;2079635;1;20260202 01:07;P;;;;;;
D;210;2079635;1;20260202 01:07;V;;;;;;
D;210;2079635;1;20260202 01:07;V;;;;;;
B;210;2100988;2;20260202 01:07;;11;1;SUTHERLAND CRES;DARLING POINT;2027;;;20251120;20260122;3828000;;R;RESIDENCE;11;;;;AV813875;
C;210;2100988;2;20260202 01:07;11/SP1243;
D;210;2100988;2;20260202 01:07;P;;;;;;
D;210;2100988;2;20260202 01:07;P;;;;;;
D;210;2100988;2;20260202 01:07;V;;;;;;
B;210;2100988;3;20260202 01:07;;12;1;SUTHERLAND CRES;DARLING POINT;2027;;;20250912;20251203;4400000;;R;RESIDENCE;12;;;;AV671920;
C;210;2100988;3;20260202 01:07;12/SP1243;
D;210;2100988;3;20260202 01:07;P;;;;;;
D;210;2100988;3;20260202 01:07;P;;;;;;
D;210;2100988;3;20260202 01:07;V;;;;;;
B;210;2100988;4;20260202 01:07;;11;1;SUTHERLAND CRES;DARLING POINT;2027;;;20251120;20260122;3828000;;R;RESIDENCE;27;;;;AV813875;
C;210;2100988;4;20260202 01:07;27/SP1243;
D;210;2100988;4;20260202 01:07;P;;;;;;
D;210;2100988;4;20260202 01:07;P;;;;;;
D;210;2100988;4;20260202 01:07;V;;;;;;
B;210;2100988;5;20260202 01:07;;12;1;SUTHERLAND CRES;DARLING POINT;2027;;;20250912;20251203;4400000;;R;RESIDENCE;28;;;;AV671920;
C;210;2100988;5;20260202 01:07;28/SP1243;
D;210;2100988;5;20260202 01:07;P;;;;;;
D;210;2100988;5;20260202 01:07;P;;;;;;
D;210;2100988;5;20260202 01:07;V;;;;;;
B;210;2103607;6;20260202 01:07;;5;96;WALLIS ST;WOOLLAHRA;2025;;;20251217;20260128;970000;;R;RESIDENCE;5;;;;AV828368;
C;210;2103607;6;20260202 01:07;5/SP32746;
D;210;2103607;6;20260202 01:07;P;;;;;;
D;210;2103607;6;20260202 01:07;V;;;;;;
B;210;2079808;7;20260202 01:07;;20;52;BELLEVUE RD;BELLEVUE HILL;2023;67.8;M;20251217;20260128;920000;;R;RESIDENCE;20;;;;AV828317;
C;210;2079808;7;20260202 01:07;20/SP1922;
D;210;2079808;7;20260202 01:07;P;;;;;;
D;210;2079808;7;20260202 01:07;V;;;;;;
B;210;2104308;8;20260202 01:07;;3;48;WILLIAM ST;DOUBLE BAY;2028;78;M;20251212;20260123;1850000;;R;RESIDENCE;3;;;;AV816711;
C;210;2104308;8;20260202 01:07;3/SP14644;
D;210;2104308;8;20260202 01:07;P;;;;;;
D;210;2104308;8;20260202 01:07;V;;;;;;
B;210;2080023;9;20260202 01:07;;4;30;BENELONG CRES;BELLEVUE HILL;2023;123.7;M;20251224;20260123;1925000;;R;RESIDENCE;4;;;;AV819155;
C;210;2080023;9;20260202 01:07;4/SP4350;
D;210;2080023;9;20260202 01:07;P;;;;;;
D;210;2080023;9;20260202 01:07;P;;;;;;
D;210;2080023;9;20260202 01:07;V;;;;;;
D;210;2080023;9;20260202 01:07;V;;;;;;
D;210;2080023;9;20260202 01:07;V;;;;;;
B;210;2080123;10;20260202 01:07;;;95;BERESFORD RD;BELLEVUE HILL;2023;708.2;M;20251023;20260123;10050000;R2;R;RESIDENCE;;ALB;;;AV817543;
C;210;2080123;10;20260202 01:07;B/302202;
D;210;2080123;10;20260202 01:07;P;;;;;;
D;210;2080123;10;20260202 01:07;P;;;;;;
D;210;2080123;10;20260202 01:07;P;;;;;;
D;210;2080123;10;20260202 01:07;P;;;;;;
D;210;2080123;10;20260202 01:07;P;;;;;;
D;210;2080123;10;20260202 01:07;V;;;;;;
B;210;2095982;11;20260202 01:07;;1;24;OCEAN AVE;DOUBLE BAY;2028;79;M;20251021;20260127;1785000;;R;RESIDENCE;1;;;;AV825114;
C;210;2095982;11;20260202 01:07;1/SP15925;
D;210;2095982;11;20260202 01:07;P;;;;;;
D;210;2095982;11;20260202 01:07;V;;;;;;
B;210;2082942;12;20260202 01:07;;10;24;COOPER ST;DOUBLE BAY;2028;87;M;20251213;20260127;1510000;;R;RESIDENCE;10;;;;AV827579;
C;210;2082942;12;20260202 01:07;10/SP11581;
D;210;2082942;12;20260202 01:07;P;;;;;;
D;210;2082942;12;20260202 01:07;V;;;;;;
B;210;2099013;13;20260202 01:07;;;36;KINGS RD;VAUCLUSE;2030;619.7;M;20250606;20260123;11000000;R2;R;RESIDENCE;;ALV;;;AV821027;
C;210;2099013;13;20260202 01:07;C/314702;
D;210;2099013;13;20260202 01:07;P;;;;;;
D;210;2099013;13;20260202 01:07;V;;;;;;
B;210;2088445;14;20260202 01:07;;601;176;GLENMORE RD;PADDINGTON;2021;65;M;20251202;20260123;1085000;;R;RESIDENCE;51;;;;AV819174;
C;210;2088445;14;20260202 01:07;51/SP10364;
D;210;2088445;14;20260202 01:07;P;;;;;;
D;210;2088445;14;20260202 01:07;V;;;;;;
B;210;2083490;15;20260202 01:07;;1;31;DARLING POINT RD;DARLING POINT;2027;120;M;20251119;20260129;2050000;;R;RESIDENCE;1;;;;AV831041;
C;210;2083490;15;20260202 01:07;1/SP45387;
D;210;2083490;15;20260202 01:07;P;;;;;;
D;210;2083490;15;20260202 01:07;P;;;;;;
