A;RTSALEDATA;269;20260202 01:09;VALNET;
B;269;4058152;1;20260202 01:09;;;34 B;PORTER ST;MOAMA;2731;419;M;20251111;20260123;660000;R1;R;RESIDENCE;;ZA1;;;AV820294;
C;269;4058152;1;20260202 01:09;2/1234185;
D;269;4058152;1;20260202 01:09;P;;;;;;
D;269;4058152;1;20260202 01:09;P;;;;;;
D;269;4058152;1;20260202 01:09;V;;;;;;
D;269;4058152;1;20260202 01:09;V;;;;;;
B;269;4574261;2;20260202 01:09;;;35;FINCH CCT;MOAMA;2731;1000;M;20251127;20260127;285000;R1;V;VACANT LAND;;ZA1;;;AV824042;
C;269;4574261;2;20260202 01:09;203/1307464;
D;269;4574261;2;20260202 01:09;P;;;;;;
D;269;4574261;2;20260202 01:09;P;;;;;;
D;269;4574261;2;20260202 01:09;V;;;;;;
D;269;4574261;2;20260202 01:09;V;;;;;;
B;269;547074;3;20260202 01:09;;;6;MAYFIELD CT;MOAMA;2731;8000;M;20251119;20260123;1100000;R5;R;RESIDENCE;;RR4;;;AV815999;
C;269;547074;3;20260202 01:09;11/730189;
D;269;547074;3;20260202 01:09;P;;;;;;
D;269;547074;3;20260202 01:09;V;;;;;;
D;269;547074;3;20260202 01:09;V;;;;;;
B;269;545236;4;20260202 01:09;;;1;HOLMFIELD CT;MOAMA;2731;3250;M;20251219;20260129;790000;R5;R;RESIDENCE;;RR4;;;AV831855;
C;269;545236;4;20260202 01:09;2/285349;
D;269;545236;4;20260202 01:09;P;;;;;;
D;269;545236;4;20260202 01:09;P;;;;;;
D;269;545236;4;20260202 01:09;V;;;;;;
B;269;571450;5;20260202 01:09;;;11;THULE ST;BARHAM;2732;1012;M;20251028;20260127;400000;R1;R;RESIDENCE;;BR;;;AV824723;
C;269;571450;5;20260202 01:09;B/387041;
D;269;571450;5;20260202 01:09;P;;;;;;
D;269;571450;5;20260202 01:09;V;;;;;;
D;269;571450;5;20260202 01:09;V;;;;;;
B;269;3748049;6;20260202 01:09;;;39;SKYE AVE;MOAMA;2731;711;M;20251130;20260123;850000;R1;R;RESIDENCE;;ZA1;;;AV818861;
C;269;3748049;6;20260202 01:09;103/1192184;
D;269;3748049;6;20260202 01:09;P;;;;;;
D;269;3748049;6;20260202 01:09;V;;;;;;
D;269;3748049;6;20260202 01:09;V;;;;;;
B;269;4498787;7;20260202 01:09;;;63;WHISTLER CCT;MOAMA;2731;1000;M;20251126;20260123;890000;R1;R;RESIDENCE;;ZA1;;;AV815996;
C;269;4498787;7;20260202 01:09;63/1292920;
D;269;4498787;7;20260202 01:09;P;;;;;;
D;269;4498787;7;20260202 01:09;P;;;;;;
D;269;4498787;7;20260202 01:09;V;;;;;;
B;269;3885428;8;20260202 01:09;;;9;LAKEVIEW DR;MOAMA;2731;800;M;20251209;20260123;710000;R1;R;RESIDENCE;;ZA1;;;AV817183;
C;269;3885428;8;20260202 01:09;62/1213574;
D;269;3885428;8;20260202 01:09;P;;;;;;
D;269;3885428;8;20260202 01:09;V;;;;;;
Z;43;8;8;25;
