A;RTSALEDATA;118;20260202 01:07;VALNET;
B;118;4482485;1;20260202 01:07;;;15;STARR PL;BLAYNEY;2799;900.3;M;20251218;20260129;221000;R1;V;VACANT LAND;;BAL;;;AV830365;
C;118;4482485;1;20260202 01:07;16/1293777;
D;118;4482485;1;20260202 01:07;P;;;;;;
D;118;4482485;1;20260202 01:07;P;;;;;;
D;118;4482485;1;20260202 01:07;V;;;;;;
D;118;4482485;1;20260202 01:07;V;;;;;;
B;118;4482491;2;20260202 01:07;;;3;STARR PL;BLAYNEY;2799;820.8;M;20251209;20260127;245000;R1;V;VACANT LAND;;BAL;;;AV823793;
C;118;4482491;2;20260202 01:07;22/1293777;
D;118;4482491;2;20260202 01:07;P;;;;;;
D;118;4482491;2;20260202 01:07;P;;;;;;
D;118;4482491;2;20260202 01:07;V;;;;;;
Z;13;2;2;7;
