A;RTSALEDATA;001;20200413 01:00;VALNET;
B;001;2918435;1;20200413 01:00;;;64;KENT ST;GRETA;2334;1075;M;20200316;20200406;230000;R2;R;RESIDENCE;;AAJ;;0;AQ16232;
C;001;2918435;1;20200413 01:00;25/C/5904;
D;001;2918435;1;20200413 01:00;P;;;;;;
D;001;2918435;1;20200413 01:00;V;;;;;;
B;001;2929714;2;20200413 01:00;;;857;SANDY CREEK RD;QUORROBOLONG;2325;2;H;20200219;20200408;950000;RU2;R;RESIDENCE;;RAH;;0;AQ22304;
C;001;2929714;2;20200413 01:00;342/1044033;
D;001;2929714;2;20200413 01:00;P;;;;;;
D;001;2929714;2;20200413 01:00;P;;;;;;
D;001;2929714;2;20200413 01:00;V;;;;;;
D;001;2929714;2;20200413 01:00;V;;;;;;
B;001;4199589;3;20200413 01:00;;;23;GARVEN ST;CLIFTLEIGH;2321;454.5;M;20200228;20200403;160900;R2;R;RESIDENCE;;AAP;;0;AQ12265;
C;001;4199589;3;20200413 01:00;1230/1250232;
D;001;4199589;3;20200413 01:00;P;;;;;;
D;001;4199589;3;20200413 01:00;V;;;;;;
B;001;4204786;4;20200413 01:00;;;;ZINFANDEL CCT;CESSNOCK;2325;15.25;H;20191218;20200406;2336755;R2;V;VACANT LAND;;ENA;;0;AQ16741;
C;001;4204786;4;20200413 01:00;105/1251728;
D;001;4204786;4;20200413 01:00;P;;;;;;
D;001;4204786;4;20200413 01:00;V;;;;;;
B;001;4206987;5;20200413 01:00;;;15;LOCKWOOD ST;NORTH ROTHBURY;2335;510;M;20190221;20200408;494900;R1;R;RESIDENCE;;FCB;;0;AQ23250;
C;001;4206987;5;20200413 01:00;1754/1240739;
D;001;4206987;5;20200413 01:00;P;;;;;;
D;001;4206987;5;20200413 01:00;V;;;;;;
B;001;4206240;6;20200413 01:00;;;12;PEACHY AVE;NORTH ROTHBURY;2335;476;M;20200327;20200408;181000;R1;V;VACANT LAND;;FCB;;0;AQ23339;
C;001;4206240;6;20200413 01:00;1716/1236345;
D;001;4206240;6;20200413 01:00;P;;;;;;
D;001;4206240;6;20200413 01:00;V;;;;;;
B;001;4220377;7;20200413 01:00;;;45;WOLLOMBI RD;MILLFIELD;2325;1411;M;20200309;20200406;140000;RU5;V;VACANT LAND;;RAB;;0;AQ15176;
C;001;4220377;7;20200413 01:00;9/11655;
D;001;4220377;7;20200413 01:00;P;;;;;;
D;001;4220377;7;20200413 01:00;V;;;;;;
D;001;4220377;7;20200413 01:00;V;;;;;;
B;001;1734;8;20200413 01:00;;;28;REGENT ST;CESSNOCK;2325;809.43;M;20200226;20200407;380000;R3;R;RESIDENCE;;MAA;;0;AQ18268;
C;001;1734;8;20200413 01:00;29/C/4528;
