A;RTSALEDATA;528;20191118 01:12;VALNET;
B;528;426897;1;20191118 01:12;MERUNG;;848;SAWYERS GULLY RD;NARANGULLEN;2582;419.423;H;20190722;20190903;900000;RU1;3;FARM;;RRW;;0;AP508016;
C;528;426897;1;20191118 01:12;3, 4/113226 42/751807 13, 14/751823 236/751831 3/775103 BROOKLYN WILDL;
C;528;426897;1;20191118 01:12;IFE REFUGE 59;
D;528;426897;1;20191118 01:12;P;;;;;;
D;528;426897;1;20191118 01:12;P;;;;;;
D;528;426897;1;20191118 01:12;V;;;;;;
D;528;426897;1;20191118 01:12;V;;;;;;
B;528;429718;2;20191118 01:12;;;4;COBHAM ST;YASS;2582;3054;M;20190907;20191108;935000;B5;3;COMMERCIAL;;BDV;;0;AP669693;
C;528;429718;2;20191118 01:12;1/543981;
D;528;429718;2;20191118 01:12;P;;;;;;
D;528;429718;2;20191118 01:12;V;;;;;;
D;528;429718;2;20191118 01:12;V;;;;;;
B;528;427426;3;20191118 01:12;;;70;CAVES RD;WEE JASPER;2582;14.56;H;20190922;20191108;730000;R5;R;RESIDENCE;;RBL;;0;AP667460;
C;528;427426;3;20191118 01:12;19/751002;
D;528;427426;3;20191118 01:12;P;;;;;;
D;528;427426;3;20191118 01:12;V;;;;;;
B;528;3988471;4;20191118 01:12;;;7;MCCLUNG DR;MURRUMBATEMAN;2582;1066;M;20191025;20191113;325000;RU5;V;VACANT LAND;;VMB;;0;AP678252;
C;528;3988471;4;20191118 01:12;131/1226974;
D;528;3988471;4;20191118 01:12;P;;;;;;
D;528;3988471;4;20191118 01:12;P;;;;;;
D;528;3988471;4;20191118 01:12;V;;;;;;
B;528;4253767;5;20191118 01:12;;;;ISABEL DR;MURRUMBATEMAN;2582;99.55;H;20190813;20191104;9150000;;V;VACANT LAND;;;;0;AP655446;
C;528;4253767;5;20191118 01:12;1/1257138;
D;528;4253767;5;20191118 01:12;P;;;;;;
D;528;4253767;5;20191118 01:12;V;;;;;;
D;528;4253767;5;20191118 01:12;V;;;;;;
Z;28;5;6;15;
