A;RTSALEDATA;266;20191118 01:10;VALNET;
B;266;414650;1;20191118 01:10;;;108;BLACKETT AVE;YOUNG;2594;853.6;M;20191017;20191114;240000;R1;R;RESIDENCE;;YAA;;0;AP681561;
C;266;414650;1;20191118 01:10;25/739303;
D;266;414650;1;20191118 01:10;P;;;;;;
D;266;414650;1;20191118 01:10;P;;;;;;
D;266;414650;1;20191118 01:10;V;;;;;;
D;266;414650;1;20191118 01:10;V;;;;;;
B;266;414655;2;20191118 01:10;;;87;BLACKETT AVE;YOUNG;2594;1098;M;20191011;20191108;175000;R1;R;RESIDENCE;;YAA;;0;AP669501;
C;266;414655;2;20191118 01:10;1/778318;
D;266;414655;2;20191118 01:10;P;;;;;;
D;266;414655;2;20191118 01:10;V;;;;;;
B;266;417366;3;20191118 01:10;;;175;WILLIAM ST;YOUNG;2594;1127;M;20191016;20191106;240000;R1;R;RESIDENCE;;YAB;;0;AP663459;
C;266;417366;3;20191118 01:10;4/248011;
D;266;417366;3;20191118 01:10;P;;;;;;
D;266;417366;3;20191118 01:10;P;;;;;;
D;266;417366;3;20191118 01:10;V;;;;;;
D;266;417366;3;20191118 01:10;V;;;;;;
B;266;3387305;4;20191118 01:10;;;127;DANANBILLA DR;YOUNG;2594;7.55;H;20191022;20191112;600000;RU4;R;RESIDENCE;;YFA;;0;AP675519;
C;266;3387305;4;20191118 01:10;38/1126153;
D;266;3387305;4;20191118 01:10;P;;;;;;
D;266;3387305;4;20191118 01:10;V;;;;;;
D;266;3387305;4;20191118 01:10;V;;;;;;
B;266;4252466;5;20191118 01:10;;;;SILO RD;WEEDALLION;2594;6.348;H;20190321;20191008;11712;;V;VACANT LAND;;;;0;AP643750;
C;266;4252466;5;20191118 01:10;2/1255695;
D;266;4252466;5;20191118 01:10;P;;;;;;
D;266;4252466;5;20191118 01:10;V;;;;;;
B;266;416425;6;20191118 01:10;;;46;MURRINGO ST;YOUNG;2594;1012;M;20191004;20191108;260000;R1;R;RESIDENCE;;YAC;;0;AP669431;
C;266;416425;6;20191118 01:10;1/18/759144;
D;266;416425;6;20191118 01:10;P;;;;;;
D;266;416425;6;20191118 01:10;V;;;;;;
D;266;416425;6;20191118 01:10;V;;;;;;
B;266;452187;7;20191118 01:10;;;;SWIFT ST;MURRUMBURRAH;2587;2023;M;20191008;20191108;350000;R1;R;RESIDENCE;;HAA;;0;AP670187;
C;266;452187;7;20191118 01:10;7/56/758737;
D;266;452187;7;20191118 01:10;P;;;;;;
D;266;452187;7;20191118 01:10;V;;;;;;
B;266;4019871;8;20191118 01:10;;;32;WARRANGONG ST;KOORAWATHA;2807;2024;M;20191016;20191113;223000;RU5;R;RESIDENCE;;YZA;;0;AP680114;
C;266;4019871;8;20191118 01:10;5, 6/4/4899;
D;266;4019871;8;20191118 01:10;P;;;;;;
D;266;4019871;8;20191118 01:10;P;;;;;;
D;266;4019871;8;20191118 01:10;V;;;;;;
D;266;4019871;8;20191118 01:10;V;;;;;;
B;266;3161534;9;20191118 01:10;;;276;PATTERSONS LANE;YOUNG;2594;4;H;20191003;20191114;330000;RU4;V;VACANT LAND;;YFA;;0;AP681342;
C;266;3161534;9;20191118 01:10;1/1079902;
D;266;3161534;9;20191118 01:10;P;;;;;;
D;266;3161534;9;20191118 01:10;P;;;;;;
D;266;3161534;9;20191118 01:10;V;;;;;;
D;266;3161534;9;20191118 01:10;V;;;;;;
B;266;3927559;10;20191118 01:10;;;;SWIFT ST;MURRUMBURRAH;2587;462.4;M;20191030;20191108;10000;R1;V;VACANT LAND;;HAA;;0;AP667451;
C;266;3927559;10;20191118 01:10;13/1220053;
D;266;3927559;10;20191118 01:10;P;;;;;;
D;266;3927559;10;20191118 01:10;V;;;;;;
D;266;3927559;10;20191118 01:10;V;;;;;;
B;266;4252691;11;20191118 01:10;;;;TIVERTON RD;HARDEN;2587;1.916;H;20180710;20191018;5359;;V;VACANT LAND;;;;0;AP644475;
C;266;4252691;11;20191118 01:10;2/1251936;
D;266;4252691;11;20191118 01:10;P;;;;;;
D;266;4252691;11;20191118 01:10;V;;;;;;
B;266;4252719;12;20191118 01:10;;;;MURRINGO RD;BOOROWA;2586;3.676;H;20190525;20190909;6293;;V;VACANT LAND;;;;0;AP562670;
C;266;4252719;12;20191118 01:10;1/1255976;
D;266;4252719;12;20191118 01:10;P;;;;;;
D;266;4252719;12;20191118 01:10;V;;;;;;
Z;61;12;12;35;
