A;RTSALEDATA;257;20191118 01:08;VALNET;
B;257;4246338;1;20191118 01:08;;;38;YEOMANS RD;ARMIDALE;2350;900.3;M;20190925;20191113;160000;;V;VACANT LAND;;;;0;AP678913;
C;257;4246338;1;20191118 01:08;802/1257377;
D;257;4246338;1;20191118 01:08;P;;;;;;
D;257;4246338;1;20191118 01:08;P;;;;;;
D;257;4246338;1;20191118 01:08;V;;;;;;
B;257;4246340;2;20191118 01:08;;;42;YEOMANS RD;ARMIDALE;2350;900.3;M;20191017;20191108;160000;;V;VACANT LAND;;;;0;AP670872;
C;257;4246340;2;20191118 01:08;804/1257377;
D;257;4246340;2;20191118 01:08;P;;;;;;
D;257;4246340;2;20191118 01:08;V;;;;;;
B;257;3528527;3;20191118 01:08;;;124;BEARDY ST;ARMIDALE;2350;233.1;M;20191018;20191112;430000;B3;3;SHOP;;BBA;;0;AP676715;
C;257;3528527;3;20191118 01:08;80/1138235;
D;257;3528527;3;20191118 01:08;P;;;;;;
D;257;3528527;3;20191118 01:08;P;;;;;;
D;257;3528527;3;20191118 01:08;V;;;;;;
B;257;1845254;4;20191118 01:08;;;20;JOHN ST;HILLGROVE;2350;1012;M;20191017;20191114;17000;RU5;V;VACANT LAND;;AZH;;0;AP681976;
C;257;1845254;4;20191118 01:08;20/29/758519;
D;257;1845254;4;20191118 01:08;P;;;;;;
D;257;1845254;4;20191118 01:08;V;;;;;;
B;257;3648821;5;20191118 01:08;;1;3;WIGAN AVE;ARMIDALE;2350;;;20191002;20191113;600000;;R;RESIDENCE;1;;;0;AP680843;
C;257;3648821;5;20191118 01:08;1/SP86881;
D;257;3648821;5;20191118 01:08;P;;;;;;
D;257;3648821;5;20191118 01:08;P;;;;;;
D;257;3648821;5;20191118 01:08;V;;;;;;
D;257;3648821;5;20191118 01:08;V;;;;;;
B;257;3648821;6;20191118 01:08;;3;3;WIGAN AVE;ARMIDALE;2350;;;20191002;20191113;600000;;R;RESIDENCE;3;;;0;AP680843;
C;257;3648821;6;20191118 01:08;3/SP86881;
D;257;3648821;6;20191118 01:08;P;;;;;;
D;257;3648821;6;20191118 01:08;P;;;;;;
D;257;3648821;6;20191118 01:08;V;;;;;;
D;257;3648821;6;20191118 01:08;V;;;;;;
B;257;3648821;7;20191118 01:08;;4;3;WIGAN AVE;ARMIDALE;2350;;;20191002;20191113;600000;;R;RESIDENCE;4;;;0;AP680843;
C;257;3648821;7;20191118 01:08;4/SP86881;
D;257;3648821;7;20191118 01:08;P;;;;;;
D;257;3648821;7;20191118 01:08;P;;;;;;
D;257;3648821;7;20191118 01:08;V;;;;;;
D;257;3648821;7;20191118 01:08;V;;;;;;
B;257;2749386;8;20191118 01:08;;;73;DOUGLAS ST;ARMIDALE;2350;674.3;M;20190918;20191111;206250;R1;R;RESIDENCE;;AAF;;0;AP671904;
C;257;2749386;8;20191118 01:08;B/156576;
D;257;2749386;8;20191118 01:08;P;;;;;;
D;257;2749386;8;20191118 01:08;V;;;;;;
B;257;2749536;9;20191118 01:08;;;284;DUMARESQ ST;ARMIDALE;2350;1618;M;20191009;20191113;300000;R1;R;RESIDENCE;;AAG;;0;AP680962;
C;257;2749536;9;20191118 01:08;5/998622;
D;257;2749536;9;20191118 01:08;P;;;;;;
D;257;2749536;9;20191118 01:08;P;;;;;;
D;257;2749536;9;20191118 01:08;V;;;;;;
B;257;2747209;10;20191118 01:08;;;170;BARNEY ST;ARMIDALE;2350;556.4;M;20190928;20191111;275500;R1;R;RESIDENCE;;AAF;;0;AP673395;
C;257;2747209;10;20191118 01:08;13/16570;
D;257;2747209;10;20191118 01:08;P;;;;;;
D;257;2747209;10;20191118 01:08;P;;;;;;
D;257;2747209;10;20191118 01:08;V;;;;;;
B;257;2747394;11;20191118 01:08;;;63;BEARDY ST;ARMIDALE;2350;809.4;M;20191011;20191108;335000;R1;R;RESIDENCE;;AAF;;0;AP668069;
C;257;2747394;11;20191118 01:08;1/735294;
D;257;2747394;11;20191118 01:08;P;;;;;;
D;257;2747394;11;20191118 01:08;P;;;;;;
