A;RTSALEDATA;085;20201005 01:01;VALNET;
B;085;733053;1;20201005 01:01;;;4;SEVILLE ST;LANE COVE;2066;550.5;M;20200815;20200928;2015000;R2;R;RESIDENCE;;RAF;;0;AQ427074;
C;085;733053;1;20201005 01:01;56/1007518;
D;085;733053;1;20201005 01:01;P;;;;;;
D;085;733053;1;20201005 01:01;P;;;;;;
D;085;733053;1;20201005 01:01;V;;;;;;
B;085;730406;2;20201005 01:01;;26;6;MURRAY ST;LANE COVE NORTH;2066;;;20200902;20200930;647500;;R;RESIDENCE;26;;;0;AQ434735;
C;085;730406;2;20201005 01:01;26/SP14826;
D;085;730406;2;20201005 01:01;P;;;;;;
D;085;730406;2;20201005 01:01;P;;;;;;
D;085;730406;2;20201005 01:01;V;;;;;;
B;085;725313;3;20201005 01:01;;;16;BEST ST;LANE COVE;2066;400.4;M;20200723;20200930;1875000;R2;R;RESIDENCE;;RAF;;0;AQ436709;
C;085;725313;3;20201005 01:01;400/878513;
D;085;725313;3;20201005 01:01;P;;;;;;
D;085;725313;3;20201005 01:01;P;;;;;;
D;085;725313;3;20201005 01:01;V;;;;;;
D;085;725313;3;20201005 01:01;V;;;;;;
B;085;728003;4;20201005 01:01;;;4;LAWN AVE;LANE COVE WEST;2066;701.7;M;20200730;20200925;2001000;R2;R;RESIDENCE;;RAL;;0;AQ422427;
C;085;728003;4;20201005 01:01;27/14706;
D;085;728003;4;20201005 01:01;P;;;;;;
D;085;728003;4;20201005 01:01;P;;;;;;
D;085;728003;4;20201005 01:01;V;;;;;;
B;085;733548;5;20201005 01:01;;;6;SUTHERLAND ST;LANE COVE;2066;588.1;M;20200702;20200925;2576000;R2;R;RESIDENCE;;RAF;;0;AQ424666;
C;085;733548;5;20201005 01:01;A/302148;
D;085;733548;5;20201005 01:01;P;;;;;;
D;085;733548;5;20201005 01:01;P;;;;;;
D;085;733548;5;20201005 01:01;V;;;;;;
B;085;733557;6;20201005 01:01;;;43;TALEEBAN RD;RIVERVIEW;2066;585.4;M;20200821;20200929;3900000;R2;R;RESIDENCE;;RAB;;0;AQ432641;
C;085;733557;6;20201005 01:01;100/10801;
D;085;733557;6;20201005 01:01;P;;;;;;
D;085;733557;6;20201005 01:01;V;;;;;;
B;085;731248;7;20201005 01:01;;2;316;PACIFIC HWY;LANE COVE;2066;;;20200902;20200930;840000;;R;RESIDENCE;2;;;0;AQ435037;
C;085;731248;7;20201005 01:01;2/SP45653;
D;085;731248;7;20201005 01:01;P;;;;;;
D;085;731248;7;20201005 01:01;V;;;;;;
B;085;2854249;8;20201005 01:01;;20;4;CHAPLIN DR;LANE COVE WEST;2066;;;20200828;20200930;880000;;3;COMMERCIAL;20;;;0;AQ438323;
C;085;2854249;8;20201005 01:01;20/SP65520;
D;085;2854249;8;20201005 01:01;P;;;;;;
D;085;2854249;8;20201005 01:01;V;;;;;;
B;085;3447541;9;20201005 01:01;;303;4;DUNTROON AVE;ST LEONARDS;2065;;;20200813;20200924;665000;;R;RESIDENCE;18;;;0;AQ420907;
C;085;3447541;9;20201005 01:01;18/SP81862;
D;085;3447541;9;20201005 01:01;P;;;;;;
D;085;3447541;9;20201005 01:01;V;;;;;;
B;085;4031439;10;20201005 01:01;;303;542;MOWBRAY RD W;LANE COVE NORTH;2066;86;M;20200829;20200929;635000;;R;RESIDENCE;23;;;0;AQ432278;
C;085;4031439;10;20201005 01:01;23/SP95590;
D;085;4031439;10;20201005 01:01;P;;;;;;
