A;RTSALEDATA;002;20201005 01:00;VALNET;
B;002;4225320;1;20201005 01:00;;;139;BOATFALLS DR;CLARENCE TOWN;2321;4.6;H;20200914;20200928;469950;R5;V;VACANT LAND;;ABA;;0;AQ426877;
C;002;4225320;1;20201005 01:00;158/1247268;
D;002;4225320;1;20201005 01:00;P;;;;;;
D;002;4225320;1;20201005 01:00;P;;;;;;
D;002;4225320;1;20201005 01:00;V;;;;;;
B;002;24976;2;20201005 01:00;;;3504;CLARENCE TOWN RD;BROOKFIELD;2420;2.848;H;20200626;20200929;760000;RU1;R;RESIDENCE;;RAE;;0;AQ430603;
C;002;24976;2;20201005 01:00;59/712120;
D;002;24976;2;20201005 01:00;P;;;;;;
D;002;24976;2;20201005 01:00;P;;;;;;
D;002;24976;2;20201005 01:00;V;;;;;;
D;002;24976;2;20201005 01:00;V;;;;;;
B;002;22751;3;20201005 01:00;;;1165;ALLYN RIVER RD;ALLYNBROOK;2311;13.14;H;20200825;20200929;1195000;RU1;R;RESIDENCE;;RAI;;0;AQ432031;
C;002;22751;3;20201005 01:00;120/597345;
D;002;22751;3;20201005 01:00;P;;;;;;
D;002;22751;3;20201005 01:00;V;;;;;;
D;002;22751;3;20201005 01:00;V;;;;;;
B;002;21175;4;20201005 01:00;;;2;SHERIFF ST;CLARENCE TOWN;2321;5059;M;20200814;20200925;475000;R1;R;RESIDENCE;;AAB;;0;AQ425921;
C;002;21175;4;20201005 01:00;8/29/758250;
D;002;21175;4;20201005 01:00;P;;;;;;
D;002;21175;4;20201005 01:00;P;;;;;;
D;002;21175;4;20201005 01:00;V;;;;;;
B;002;21374;5;20201005 01:00;;;7;CARLTON AVE;DUNGOG;2420;1517.9;M;20200813;20200925;500000;R1;R;RESIDENCE;;AAA;;0;AQ421889;
C;002;21374;5;20201005 01:00;A/369780 A/375510;
D;002;21374;5;20201005 01:00;P;;;;;;
D;002;21374;5;20201005 01:00;P;;;;;;
D;002;21374;5;20201005 01:00;V;;;;;;
D;002;21374;5;20201005 01:00;V;;;;;;
B;002;21500;6;20201005 01:00;;;138;DOWLING ST;DUNGOG;2420;550.1;M;20200831;20200928;85000;B2;R;RESIDENCE;;BAA;;0;AQ426987;
C;002;21500;6;20201005 01:00;1/165961;
D;002;21500;6;20201005 01:00;P;;;;;;
D;002;21500;6;20201005 01:00;P;;;;;;
D;002;21500;6;20201005 01:00;V;;;;;;
B;002;21502;7;20201005 01:00;;;146;DOWLING ST;DUNGOG;2420;708.2;M;20200831;20200928;645000;B2;R;RESIDENCE;;BAA;;0;AQ427001;
C;002;21502;7;20201005 01:00;A/66528;
D;002;21502;7;20201005 01:00;P;;;;;;
D;002;21502;7;20201005 01:00;P;;;;;;
D;002;21502;7;20201005 01:00;V;;;;;;
B;002;24200;8;20201005 01:00;;;316;FLAT TOPS RD;FLAT TOPS;2420;8.99;H;20200821;20200925;960000;RU1;R;RESIDENCE;;RAE;;0;AQ423055;
C;002;24200;8;20201005 01:00;3, 4/241575 1/378904;
D;002;24200;8;20201005 01:00;P;;;;;;
D;002;24200;8;20201005 01:00;P;;;;;;
D;002;24200;8;20201005 01:00;V;;;;;;
D;002;24200;8;20201005 01:00;V;;;;;;
B;002;21839;9;20201005 01:00;;;20;JONES ST;DUNGOG;2420;2107;M;20200820;20201001;475000;R1;R;RESIDENCE;;AAA;;0;AQ438849;
C;002;21839;9;20201005 01:00;12, 13/13130;
D;002;21839;9;20201005 01:00;P;;;;;;
D;002;21839;9;20201005 01:00;P;;;;;;
D;002;21839;9;20201005 01:00;V;;;;;;
B;002;4254955;10;20201005 01:00;;;23;WETZLER WAY;CLARENCE TOWN;2321;8002;M;20200814;20200925;340000;R5;V;VACANT LAND;;ABA;;0;AQ424112;
C;002;4254955;10;20201005 01:00;4/1258535;
D;002;4254955;10;20201005 01:00;P;;;;;;
D;002;4254955;10;20201005 01:00;P;;;;;;
D;002;4254955;10;20201005 01:00;V;;;;;;
Z;55;10;10;33;
