A;RTSALEDATA;231;20190415 01:05;VALNET;
B;231;4183156;1;20190415 01:05;;;;RANKINS SPRINGS RD;NARADHAN;2669;344.3;H;20190305;20190410;750000;RU1;3;FARM;;RMF;;0;AP180852;
C;231;4183156;1;20190415 01:05;28/752319;
D;231;4183156;1;20190415 01:05;P;;;;;;
D;231;4183156;1;20190415 01:05;V;;;;;;
B;231;2609589;2;20190415 01:05;;;;NEELD ST;WEST WYALONG;2671;2517;M;20190226;20190409;65000;IN1;V;VACANT LAND;;ING;;0;AP176936;
C;231;2609589;2;20190415 01:05;1133/753135;
D;231;2609589;2;20190415 01:05;P;;;;;;
D;231;2609589;2;20190415 01:05;V;;;;;;
B;231;3180876;3;20190415 01:05;;;34;LADY MARY DR;WEST WYALONG;2671;4778;M;20190304;20190401;76000;R1;V;VACANT LAND;;WWS;;0;AP170087;
C;231;3180876;3;20190415 01:05;32/1078541;
D;231;3180876;3;20190415 01:05;P;;;;;;
D;231;3180876;3;20190415 01:05;V;;;;;;
B;231;3746686;4;20190415 01:05;;;;BYGOO RD;TALLIMBA;2669;161.4;H;20190319;20190405;398750;RU1;3;FARM;;RMF;;0;AP170687;
C;231;3746686;4;20190415 01:05;30/751736;
D;231;3746686;4;20190415 01:05;P;;;;;;
D;231;3746686;4;20190415 01:05;P;;;;;;
D;231;3746686;4;20190415 01:05;V;;;;;;
D;231;3746686;4;20190415 01:05;V;;;;;;
B;231;3322518;5;20190415 01:05;PINEVIEW;;;EURABBA LANE;QUANDIALLA;2721;246.6;H;20190129;20190322;610000;RU1;V;VACANT LAND;;RMF;;0;AP175383;
C;231;3322518;5;20190415 01:05;1/1113818;
D;231;3322518;5;20190415 01:05;P;;;;;;
D;231;3322518;5;20190415 01:05;V;;;;;;
D;231;3322518;5;20190415 01:05;V;;;;;;
D;231;3322518;5;20190415 01:05;V;;;;;;
Z;26;5;5;14;
