A;RTSALEDATA;272;20190225 01:18;VALNET;
B;272;4163569;1;20190225 01:18;;;16;GARDINER ST;GOOGONG;2620;540;M;20190121;20190212;344000;R1;V;VACANT LAND;;DGA;;0;AP76861;
C;272;4163569;1;20190225 01:18;864/1242930;
D;272;4163569;1;20190225 01:18;P;;;;;;
D;272;4163569;1;20190225 01:18;V;;;;;;
B;272;4153869;2;20190225 01:18;;109;189;GORMAN DR;GOOGONG;2620;135.6;M;20181220;20190131;375000;;R;RESIDENCE;10;;;0;AP71965;
C;272;4153869;2;20190225 01:18;10/SP97518;
D;272;4153869;2;20190225 01:18;P;;;;;;
D;272;4153869;2;20190225 01:18;V;;;;;;
B;272;4188878;3;20190225 01:18;;;15;MOUNT PLEASANT DR;GOOGONG;2620;4.04;H;20170508;20190220;457000;;V;VACANT LAND;;;;0;AP74419;
C;272;4188878;3;20190225 01:18;3/271178;
D;272;4188878;3;20190225 01:18;P;;;;;;
D;272;4188878;3;20190225 01:18;P;;;;;;
D;272;4188878;3;20190225 01:18;V;;;;;;
B;272;4188881;4;20190225 01:18;;;35;BIGGA PL;GOOGONG;2620;2.02;H;20170920;20190220;513000;;R;RESIDENCE;;;;0;AP73458;
C;272;4188881;4;20190225 01:18;6/271178;
D;272;4188881;4;20190225 01:18;P;;;;;;
D;272;4188881;4;20190225 01:18;P;;;;;;
D;272;4188881;4;20190225 01:18;V;;;;;;
B;272;4188882;5;20190225 01:18;;;37;BIGGA PL;GOOGONG;2620;4.42;H;20180316;20190215;525000;;R;RESIDENCE;;;;0;AP65185;
C;272;4188882;5;20190225 01:18;7/271178;
D;272;4188882;5;20190225 01:18;P;;;;;;
D;272;4188882;5;20190225 01:18;P;;;;;;
D;272;4188882;5;20190225 01:18;V;;;;;;
B;272;4188883;6;20190225 01:18;;;36;BIGGA PL;GOOGONG;2620;2.041;H;20180507;20190221;495000;;V;VACANT LAND;;;;0;AP78081;
C;272;4188883;6;20190225 01:18;8/271178;
D;272;4188883;6;20190225 01:18;P;;;;;;
D;272;4188883;6;20190225 01:18;V;;;;;;
B;272;4188884;7;20190225 01:18;;;26;BIGGA PL;GOOGONG;2620;4.056;H;20170426;20190220;578000;;V;VACANT LAND;;;;0;AP74962;
C;272;4188884;7;20190225 01:18;9/271178;
D;272;4188884;7;20190225 01:18;P;;;;;;
D;272;4188884;7;20190225 01:18;V;;;;;;
B;272;4188892;8;20190225 01:18;;;20;BINDA PL;GOOGONG;2620;4.156;H;20170410;20190220;551000;;V;VACANT LAND;;;;0;AP72881;
C;272;4188892;8;20190225 01:18;17/271178;
D;272;4188892;8;20190225 01:18;P;;;;;;
D;272;4188892;8;20190225 01:18;P;;;;;;
D;272;4188892;8;20190225 01:18;V;;;;;;
B;272;4188896;9;20190225 01:18;;;36;MOUNT PLEASANT DR;GOOGONG;2620;2.002;H;20180507;20190221;525000;;R;RESIDENCE;;;;0;AP77163;
C;272;4188896;9;20190225 01:18;21/271178;
D;272;4188896;9;20190225 01:18;P;;;;;;
D;272;4188896;9;20190225 01:18;V;;;;;;
B;272;4188897;10;20190225 01:18;;;90;MOUNT PLEASANT DR;GOOGONG;2620;4.044;H;20170411;20190220;555000;;V;VACANT LAND;;;;0;AP72856;
C;272;4188897;10;20190225 01:18;22/271178;
D;272;4188897;10;20190225 01:18;P;;;;;;
D;272;4188897;10;20190225 01:18;P;;;;;;
D;272;4188897;10;20190225 01:18;V;;;;;;
B;272;4188898;11;20190225 01:18;;;115;MOUNT PLEASANT DR;GOOGONG;2620;4.043;H;20170719;20190215;578000;;V;VACANT LAND;;;;0;AP65193;
C;272;4188898;11;20190225 01:18;23/271178;
D;272;4188898;11;20190225 01:18;P;;;;;;
D;272;4188898;11;20190225 01:18;P;;;;;;
D;272;4188898;11;20190225 01:18;V;;;;;;
