A;RTSALEDATA;268;20190225 01:18;VALNET;
B;268;318054;1;20190225 01:18;;;15;WARRAMUTTY ST;COOMBA PARK;2428;557.48;M;20190107;20190218;360000;RU5;R;RESIDENCE;;AVC;;0;AP67912;
C;268;318054;1;20190225 01:18;136/222756;
D;268;318054;1;20190225 01:18;P;;;;;;
D;268;318054;1;20190225 01:18;P;;;;;;
D;268;318054;1;20190225 01:18;V;;;;;;
D;268;318054;1;20190225 01:18;V;;;;;;
B;268;325779;2;20190225 01:18;;;12;ABBOTT ST;NABIAC;2312;1012;M;20190107;20190221;445000;RU5;R;RESIDENCE;;AAS;;0;AP76189;
C;268;325779;2;20190225 01:18;2/5/758747;
D;268;325779;2;20190225 01:18;P;;;;;;
D;268;325779;2;20190225 01:18;V;;;;;;
B;268;326230;3;20190225 01:18;;;6;REIDSDALE RD;STROUD ROAD;2415;1126;M;20190123;20190215;330000;RU5;R;RESIDENCE;;AWT;;0;AP66526;
C;268;326230;3;20190225 01:18;111/866760;
D;268;326230;3;20190225 01:18;P;;;;;;
D;268;326230;3;20190225 01:18;V;;;;;;
B;268;322041;4;20190225 01:18;;;41;COVE BVD;NORTH ARM COVE;2324;777.8;M;20190207;20190215;360000;RU5;R;RESIDENCE;;AWE;;0;AP64713;
C;268;322041;4;20190225 01:18;440/9939;
D;268;322041;4;20190225 01:18;P;;;;;;
D;268;322041;4;20190225 01:18;V;;;;;;
B;268;322141;5;20190225 01:18;;;166;COVE BVD;NORTH ARM COVE;2324;2050.1;M;20180621;20190219;1480000;RU5;R;RESIDENCE;;AWD;;0;AP70743;
C;268;322141;5;20190225 01:18;546/9938 Licence 504231;
D;268;322141;5;20190225 01:18;P;;;;;;
D;268;322141;5;20190225 01:18;P;;;;;;
D;268;322141;5;20190225 01:18;V;;;;;;
B;268;325015;6;20190225 01:18;;1;115;MARINE DR;TEA GARDENS;2324;;;20181220;20190220;425000;;R;RESIDENCE;1;;;0;AP73297;
C;268;325015;6;20190225 01:18;1/SP52477;
D;268;325015;6;20190225 01:18;P;;;;;;
D;268;325015;6;20190225 01:18;P;;;;;;
D;268;325015;6;20190225 01:18;V;;;;;;
