A;RTSALEDATA;528;20251117 01:10;VALNET;
B;528;425008;1;20251117 01:10;;;23;DICKINSON ST;BINALONG;2584;1012;M;20251008;20251107;559000;RU5;R;RESIDENCE;;VBL;;;AV590491;
C;528;425008;1;20251117 01:10;4/22/758109;
D;528;425008;1;20251117 01:10;P;;;;;;
D;528;425008;1;20251117 01:10;P;;;;;;
D;528;425008;1;20251117 01:10;V;;;;;;
B;528;428672;2;20251117 01:10;;;47;MEEHAN ST;YASS;2582;953.5;M;20251003;20251110;630000;R1;R;RESIDENCE;;RY1;;;AV596467;
C;528;428672;2;20251117 01:10;2/734685;
D;528;428672;2;20251117 01:10;P;;;;;;
D;528;428672;2;20251117 01:10;P;;;;;;
D;528;428672;2;20251117 01:10;V;;;;;;
D;528;428672;2;20251117 01:10;V;;;;;;
B;528;429324;3;20251117 01:10;;;79;PRITCHETT ST;YASS;2582;784.1;M;20251017;20251107;800000;R1;R;RESIDENCE;;RY1;;;AV588850;
C;528;429324;3;20251117 01:10;20/19959;
D;528;429324;3;20251117 01:10;P;;;;;;
D;528;429324;3;20251117 01:10;P;;;;;;
D;528;429324;3;20251117 01:10;V;;;;;;
D;528;429324;3;20251117 01:10;V;;;;;;
B;528;3020455;4;20251117 01:10;;;3;MURRAY GREY PL;MURRUMBATEMAN;2582;6949;M;20250926;20251107;1620000;R5;R;RESIDENCE;;RM1;;;AV589486;
C;528;3020455;4;20251117 01:10;54/285678;
D;528;3020455;4;20251117 01:10;P;;;;;;
D;528;3020455;4;20251117 01:10;P;;;;;;
D;528;3020455;4;20251117 01:10;V;;;;;;
B;528;3061850;5;20251117 01:10;;;442;WARGEILA RD;YASS;2582;4.401;H;20250918;20251107;1040000;R5;R;RESIDENCE;;RRY;;;AV589467;
C;528;3061850;5;20251117 01:10;4/1063630;
D;528;3061850;5;20251117 01:10;P;;;;;;
D;528;3061850;5;20251117 01:10;V;;;;;;
D;528;3061850;5;20251117 01:10;V;;;;;;
Z;29;5;5;17;
