A;008;20030501 12:36;PBARBER;
B;008;209199;19;20030501 12:37;;21;172;BRUNKER RD;ADAMSTOWN;2289;;;20030304;20030408;166000;;R;RESIDENCE;21;;;;9528622;
C;008;209199;19;20030501 12:37;21//SP 10260;
D;008;209199;19;20030501 12:37;P;;;;;;
D;008;209199;19;20030501 12:37;V;;;;;;
B;008;209785;20;20030501 12:37;;;98;BULL ST;COOKS HILL;2300;142.1;M;20030228;20030327;220000;A;R;RESIDENCE;;KA;;;9515253;
C;008;209785;20;20030501 12:37;1//739440;
D;008;209785;20;20030501 12:37;P;;;;;;
D;008;209785;20;20030501 12:37;P;;;;;;
D;008;209785;20;20030501 12:37;V;;;;;;
B;008;209980;21;20030501 12:37;;;39;BURUDA ST;MAYFIELD WEST;2304;;;20021113;20030313;200000;A;R;RESIDENCE;;JF;;;9539026;
C;008;209980;21;20030501 12:37;C//152828;
D;008;209980;21;20030501 12:37;P;;;;;;
D;008;209980;21;20030501 12:37;V;;;;;;
B;008;210919;22;20030501 12:37;;;29;CARNLEY AVE;NEW LAMBTON;2305;474.2;M;20030310;20030414;254000;A;R;RESIDENCE;;HA;;;9542385;
C;008;210919;22;20030501 12:37;8//22304;
D;008;210919;22;20030501 12:37;P;;;;;;
D;008;210919;22;20030501 12:37;P;;;;;;
D;008;210919;22;20030501 12:37;V;;;;;;
B;008;211140;23;20030501 12:37;;;69;CARRINGTON PDE;NEW LAMBTON;2305;708.4;M;20030311;20030415;950000;A;R;RESIDENCE;;FH;;;9546188;
C;008;211140;23;20030501 12:37;11//837990;
D;008;211140;23;20030501 12:37;P;;;;;;
D;008;211140;23;20030501 12:37;P;;;;;;
D;008;211140;23;20030501 12:37;V;;;;;;
B;008;212187;24;20030501 12:37;;;72;CHINCHEN ST;ISLINGTON;2296;233.9;M;20000426;20000607;100000;A;R;RESIDENCE;;DE;AC;;4382625;
C;008;212187;24;20030501 12:37;6/A/192668;
D;008;212187;24;20030501 12:37;P;;;;;;
D;008;212187;24;20030501 12:37;V;;;;;;
B;008;213705;25;20030501 12:37;;;59;COCKBURN LANE;LAMBTON;2299;311;M;20030116;20030228;245000;A;R;RESIDENCE;;FB;;;9526090;
C;008;213705;25;20030501 12:37;12//874637;
D;008;213705;25;20030501 12:37;P;;;;;;
D;008;213705;25;20030501 12:37;P;;;;;;
D;008;213705;25;20030501 12:37;V;;;;;;
B;008;213782;26;20030501 12:37;;;2;COLES ST;JESMOND;2299;;;20021203;20030117;182000;A;R;RESIDENCE;;JL;;;9543497;
C;008;213782;26;20030501 12:37;3//115;
D;008;213782;26;20030501 12:37;P;;;;;;
D;008;213782;26;20030501 12:37;V;;;;;;
B;008;213987;27;20030501 12:37;;;44;CONMURRA CCT;SHORTLAND;2307;626;M;20030304;20030408;261000;A;R;RESIDENCE;;JM;;;9529329;
C;008;213987;27;20030501 12:37;19//218289;
D;008;213987;27;20030501 12:37;P;;;;;;
D;008;213987;27;20030501 12:37;V;;;;;;
B;008;215585;28;20030501 12:37;;;61;CROUDACE ST;LAMBTON;2299;;;20030306;20030404;181000;A;R;RESIDENCE;;FK;;;9524543;
C;008;215585;28;20030501 12:37;38//9707;
D;008;215585;28;20030501 12:37;P;;;;;;
D;008;215585;28;20030501 12:37;P;;;;;;
D;008;215585;28;20030501 12:37;V;;;;;;
D;008;215585;28;20030501 12:37;V;;;;;;
B;008;215652;29;20030501 12:37;;;;CROUDACE ST;NEW LAMBTON;2305;847.3;M;20030212;20030404;650000;A;R;RESIDENCE;;FH;;;9521535;
C;008;215652;29;20030501 12:37;13//216739;
