A;008;20031201 11:10;PDANN;
B;008;201703;1;20031201 11:10;;;6;ACKERON ST;MAYFIELD;2304;;;20030628;20030829;259950;A;R;RESIDENCE;;JX;;0;AA161498;
C;008;201703;1;20031201 11:10;1//986637;
D;008;201703;1;20031201 11:10;P;;;;;;
D;008;201703;1;20031201 11:10;V;;;;;;
B;008;202230;2;20031201 11:10;;;80;ALDYTH ST;NEW LAMBTON;2305;455.3;M;20030526;20030702;285000;A;R;RESIDENCE;;FF;;0;AA185732;
C;008;202230;2;20031201 11:10;51//19869;
D;008;202230;2;20031201 11:10;P;;;;;;
D;008;202230;2;20031201 11:10;P;;;;;;
D;008;202230;2;20031201 11:10;V;;;;;;
D;008;202230;2;20031201 11:10;V;;;;;;
B;008;202587;3;20031201 11:10;;;18;ALLENDALE AVE;WALLSEND;2287;613.4;M;20031009;20031113;262950;A;R;RESIDENCE;;AE;;0;AA186853;
C;008;202587;3;20031201 11:10;11//242046;
D;008;202587;3;20031201 11:10;P;;;;;;
D;008;202587;3;20031201 11:10;P;;;;;;
D;008;202587;3;20031201 11:10;V;;;;;;
B;008;203803;4;20031201 11:10;;;62;ARIES WAY;ELERMORE VALE;2287;570;M;20031009;20031112;315000;A;R;RESIDENCE;;AL;;0;AA185451;
C;008;203803;4;20031201 11:10;121//259255;
D;008;203803;4;20031201 11:10;P;;;;;;
D;008;203803;4;20031201 11:10;P;;;;;;
D;008;203803;4;20031201 11:10;V;;;;;;
D;008;203803;4;20031201 11:10;V;;;;;;
B;008;204106;5;20031201 11:10;;;5;ASHER ST;GEORGETOWN;2298;520.3;M;20030710;20030814;324950;A;R;RESIDENCE;;JS;;0;AA159691;
C;008;204106;5;20031201 11:10;1//197645;
D;008;204106;5;20031201 11:10;P;;;;;;
D;008;204106;5;20031201 11:10;P;;;;;;
D;008;204106;5;20031201 11:10;V;;;;;;
D;008;204106;5;20031201 11:10;V;;;;;;
B;008;204378;6;20031201 11:10;;;20;AVONDALE RD;NEW LAMBTON;2305;;;20010314;20010412;194000;A;R;RESIDENCE;;FD;AC;0;7571110;
C;008;204378;6;20031201 11:10;B//333207 EST PASTURAGE RESERVE;
D;008;204378;6;20031201 11:10;P;;;;;;
D;008;204378;6;20031201 11:10;P;;;;;;
D;008;204378;6;20031201 11:10;V;;;;;;
B;008;204823;7;20031201 11:10;;;94;BAR BEACH AVE;THE JUNCTION;2291;;;20030821;20031110;660000;A;R;RESIDENCE;;HL;;0;AA174045;
C;008;204823;7;20031201 11:10;15/M/95003;
D;008;204823;7;20031201 11:10;P;;;;;;
D;008;204823;7;20031201 11:10;P;;;;;;
D;008;204823;7;20031201 11:10;V;;;;;;
B;008;204953;8;20031201 11:10;;;3 A;BARDIA RD;SHORTLAND;2307;732.8;M;20031008;20031112;275000;A;R;RESIDENCE;;JM;;0;AA170220;
C;008;204953;8;20031201 11:10;51//718790;
D;008;204953;8;20031201 11:10;P;;;;;;
D;008;204953;8;20031201 11:10;V;;;;;;
B;008;205640;9;20031201 11:10;;;21;BELFORD ST;BROADMEADOW;2292;576;M;20030702;20030827;315000;A;R;RESIDENCE;;FT;;0;4403854;
C;008;205640;9;20031201 11:10;1//1061555;
B;008;205810;10;20031201 11:10;;5;50;BELMORE ST;ADAMSTOWN;2289;;;20030912;20030912;166500;;R;RESIDENCE;5;;;0;AA154275;
C;008;205810;10;20031201 11:10;5//SP 22342;
D;008;205810;10;20031201 11:10;P;;;;;;
D;008;205810;10;20031201 11:10;P;;;;;;
D;008;205810;10;20031201 11:10;V;;;;;;
B;008;206080;11;20031201 11:10;;;4;BERKELEY ST;MAYFIELD;2304;409.7;M;20030902;20031014;265000;A;R;RESIDENCE;;JD;;0;AA145945;
C;008;206080;11;20031201 11:10;13/B/9980;
D;008;206080;11;20031201 11:10;P;;;;;;
D;008;206080;11;20031201 11:10;V;;;;;;
B;008;206273;12;20031201 11:10;;;23;BERNICE CRES;WARATAH WEST;2298;1251.58;M;20030917;20031022;200000;A;R;RESIDENCE;;JP;;0;AA159886;
C;008;206273;12;20031201 11:10;123//218092;
D;008;206273;12;20031201 11:10;P;;;;;;
D;008;206273;12;20031201 11:10;V;;;;;;
B;008;206329;13;20031201 11:10;;;101;BERRICO AVE;MARYLAND;2287;704.2;M;20030924;20031029;120000;A;V;VACANT LAND;;AA;;0;AA168067;
C;008;206329;13;20031201 11:10;701//881252;
D;008;206329;13;20031201 11:10;P;;;;;;
D;008;206329;13;20031201 11:10;P;;;;;;
D;008;206329;13;20031201 11:10;V;;;;;;
D;008;206329;13;20031201 11:10;V;;;;;;
B;008;207449;14;20031201 11:10;;;2;WENTWORTH ST;WALLSEND;2287;614;M;20030516;20030709;217000;A;R;RESIDENCE;;AD;AC;0;9827757;
C;008;207449;14;20031201 11:10;1//784229;
D;008;207449;14;20031201 11:10;P;;;;;;
D;008;207449;14;20031201 11:10;P;;;;;;
D;008;207449;14;20031201 11:10;V;;;;;;
D;008;207449;14;20031201 11:10;V;;;;;;
B;008;207493;15;20031201 11:10;;3;10;BOURKE ST;ADAMSTOWN;2289;;;20031002;20031113;210000;;R;RESIDENCE;3;;;0;AA179567;
C;008;207493;15;20031201 11:10;3//SP 6992;
D;008;207493;15;20031201 11:10;P;;;;;;
D;008;207493;15;20031201 11:10;V;;;;;;
B;008;207574;16;20031201 11:10;;;57;BOURKE ST;CARRINGTON;2294;;;20030917;20031022;250000;A;R;RESIDENCE;;DC;;0;AA156411;
C;008;207574;16;20031201 11:10;B//375605;
D;008;207574;16;20031201 11:10;P;;;;;;
D;008;207574;16;20031201 11:10;P;;;;;;
D;008;207574;16;20031201 11:10;V;;;;;;
B;008;207996;17;20031201 11:10;;;8;BRIDGE ST;HAMILTON;2303;177;M;20030919;20031031;365000;A;R;RESIDENCE;;FS;;0;AA149325;
C;008;207996;17;20031201 11:10;350//1059259;
D;008;207996;17;20031201 11:10;P;;;;;;
D;008;207996;17;20031201 11:10;P;;;;;;
D;008;207996;17;20031201 11:10;V;;;;;;
D;008;207996;17;20031201 11:10;V;;;;;;
B;008;209097;18;20031201 11:10;;6;87;BRUNKER RD;BROADMEADOW;2292;;;20031003;20031107;325000;;R;RESIDENCE;6;;;0;AA157940;
