A;002;20031216 12:00;PDANN;
B;002;21187;1;20031216 12:00;;;44;SHERIFF ST;CLARENCE TOWN;2421;2007;M;20031009;20031120;265000;A;R;RESIDENCE;;AC;;0;AA201000;
C;002;21187;1;20031216 12:00;272//630680;
D;002;21187;1;20031216 12:00;P;;;;;;
D;002;21187;1;20031216 12:00;V;;;;;;
D;002;21187;1;20031216 12:00;V;;;;;;
B;002;21539;2;20031216 12:00;;;277;DOWLING ST;DUNGOG;2420;577;M;20031016;20031127;129000;A;R;RESIDENCE;;AD;;0;AA227867;
C;002;21539;2;20031216 12:00;62//747453;
D;002;21539;2;20031216 12:00;P;;;;;;
D;002;21539;2;20031216 12:00;P;;;;;;
D;002;21539;2;20031216 12:00;P;;;;;;
D;002;21539;2;20031216 12:00;P;;;;;;
D;002;21539;2;20031216 12:00;V;;;;;;
D;002;21539;2;20031216 12:00;V;;;;;;
B;002;22323;3;20031216 12:00;;;24;WILLIAM ST;PATERSON;2421;1012;M;20030901;20031013;230000;A;R;RESIDENCE;;AP;;0;AA215666;
C;002;22323;3;20031216 12:00;65//752467;
D;002;22323;3;20031216 12:00;P;;;;;;
D;002;22323;3;20031216 12:00;V;;;;;;
B;002;22478;4;20031216 12:00;;;50;DURHAM RD;EAST GRESFORD;2311;735.8;M;20030923;20031111;105000;A;R;RESIDENCE;;AG;;0;AA204096;
C;002;22478;4;20031216 12:00;10//38414;
D;002;22478;4;20031216 12:00;P;;;;;;
D;002;22478;4;20031216 12:00;V;;;;;;
B;002;22512;5;20031216 12:00;;;44;PARK ST;EAST GRESFORD;2311;1220;M;20031021;20031205;82500;B;3;SHOP;;BB;;0;AA235585;
C;002;22512;5;20031216 12:00;32//11562;
D;002;22512;5;20031216 12:00;P;;;;;;
D;002;22512;5;20031216 12:00;V;;;;;;
B;002;22512;6;20031216 12:00;;;44;PARK ST;EAST GRESFORD;2311;1220;M;20031021;20031205;82500;B;3;SHOP;;BB;;0;AA235586;
C;002;22512;6;20031216 12:00;32//11562;
D;002;22512;6;20031216 12:00;P;;;;;;
D;002;22512;6;20031216 12:00;V;;;;;;
B;002;22860;7;20031216 12:00;;;52;HORNS CROSSING RD;VACY;2421;2.1;H;20031010;20031114;395000;R;R;RESIDENCE;;RH;;0;AA192323;
C;002;22860;7;20031216 12:00;4//710263;
D;002;22860;7;20031216 12:00;P;;;;;;
D;002;22860;7;20031216 12:00;P;;;;;;
D;002;22860;7;20031216 12:00;V;;;;;;
B;002;23850;8;20031216 12:00;;;17;TANNA RD;GLEN MARTIN;2321;4.31;H;20031016;20031117;365000;R;R;RESIDENCE;;RB;;0;AA204953;
C;002;23850;8;20031216 12:00;2//262696;
D;002;23850;8;20031216 12:00;P;;;;;;
D;002;23850;8;20031216 12:00;P;;;;;;
D;002;23850;8;20031216 12:00;V;;;;;;
B;002;24262;9;20031216 12:00;;;33;SALISBURY RD;DUNGOG;2420;2.044;H;20030818;20031120;420000;R;R;RESIDENCE;;RK;;0;AA197980;
C;002;24262;9;20031216 12:00;1//573331;
D;002;24262;9;20031216 12:00;P;;;;;;
D;002;24262;9;20031216 12:00;P;;;;;;
D;002;24262;9;20031216 12:00;V;;;;;;
D;002;24262;9;20031216 12:00;V;;;;;;
B;002;24279;10;20031216 12:00;;;670;FOSTERTON RD;DUNGOG;2420;2.299;H;20031020;20031117;405000;R;R;RESIDENCE;;RP;;0;AA195455;
C;002;24279;10;20031216 12:00;1//568347;
D;002;24279;10;20031216 12:00;P;;;;;;
D;002;24279;10;20031216 12:00;V;;;;;;
D;002;24279;10;20031216 12:00;V;;;;;;
B;002;24358;11;20031216 12:00;;;;CHICHESTER DAM RD;BANDON GROVE;2420;3828;M;20031107;20031121;345000;R;R;RESIDENCE;;RL;;0;AA210212;
C;002;24358;11;20031216 12:00;7//285347;
D;002;24358;11;20031216 12:00;P;;;;;;
D;002;24358;11;20031216 12:00;P;;;;;;
D;002;24358;11;20031216 12:00;V;;;;;;
D;002;24358;11;20031216 12:00;V;;;;;;
B;002;2960733;12;20031216 12:00;;;;ORANGE GROVE RD;FOSTERTON;2420;84.01;H;20030919;20031031;650000;R;3;FARM;;RR;;0;AA203159;
C;002;2960733;12;20031216 12:00;1//122957 9, 31//753169 25//1045158;
D;002;2960733;12;20031216 12:00;P;;;;;;
D;002;2960733;12;20031216 12:00;V;;;;;;
D;002;2960733;12;20031216 12:00;V;;;;;;
B;002;3050463;13;20031216 12:00;;;754;GLEN WILLIAM RD;GLEN WILLIAM;2321;6.905;H;20021031;20031009;395000;;R;RESIDENCE;;;;0;AA57502;
C;002;3050463;13;20031216 12:00;102//1058804;
D;002;3050463;13;20031216 12:00;P;;;;;;
D;002;3050463;13;20031216 12:00;P;;;;;;
D;002;3050463;13;20031216 12:00;V;;;;;;
D;002;3050463;13;20031216 12:00;V;;;;;;
B;002;3050464;14;20031216 12:00;;;750;GLEN WILLIAM RD;GLEN WILLIAM;2321;69.04;H;20021031;20031010;120000;;V;VACANT LAND;;;;0;AA94226;
C;002;3050464;14;20031216 12:00;103//1058804;
D;002;3050464;14;20031216 12:00;P;;;;;;
D;002;3050464;14;20031216 12:00;P;;;;;;
D;002;3050464;14;20031216 12:00;V;;;;;;
D;002;3050464;14;20031216 12:00;V;;;;;;
D;002;3050464;14;20031216 12:00;V;;;;;;
D;002;3050464;14;20031216 12:00;V;;;;;;
Z;77;14;14;47;
