A;010;20030801 12:05;PDANN;
B;010;262813;1;20030801 12:05;;;50;SCOTT ST;WALLALONG;2320;1441;M;20030411;20030526;250000;A;R;RESIDENCE;;HW;;0;9789236;
C;010;262813;1;20030801 12:05;161//806193;
D;010;262813;1;20030801 12:05;P;;;;;;
D;010;262813;1;20030801 12:05;P;;;;;;
D;010;262813;1;20030801 12:05;V;;;;;;
B;010;263452;2;20030801 12:05;;;3 A;FITZROY ST;ANNA BAY;2316;306.8;M;20030613;20030725;380000;A;R;RESIDENCE;;GD;;0;9829935;
C;010;263452;2;20030801 12:05;2//1012469;
D;010;263452;2;20030801 12:05;P;;;;;;
D;010;263452;2;20030801 12:05;V;;;;;;
B;010;263516;3;20030801 12:05;;;3;HANSON AVE;ANNA BAY;2316;676.1;M;20030305;20030610;245000;A;V;VACANT LAND;;GE;;0;9784946;
C;010;263516;3;20030801 12:05;122//262247;
D;010;263516;3;20030801 12:05;P;;;;;;
D;010;263516;3;20030801 12:05;P;;;;;;
D;010;263516;3;20030801 12:05;V;;;;;;
D;010;263516;3;20030801 12:05;V;;;;;;
B;010;263595;4;20030801 12:05;;;14;LANTRY PL;ANNA BAY;2316;656.3;M;20030611;20030718;320000;A;R;RESIDENCE;;GF;;0;9827200;
C;010;263595;4;20030801 12:05;99//817496;
D;010;263595;4;20030801 12:05;P;;;;;;
D;010;263595;4;20030801 12:05;P;;;;;;
D;010;263595;4;20030801 12:05;V;;;;;;
B;010;264603;5;20030801 12:05;;;22;BARRINGUM CL;MEDOWIE;2318;919.2;M;20030131;20030307;97000;A;V;VACANT LAND;;HM;;0;9798382;
C;010;264603;5;20030801 12:05;53//815722;
D;010;264603;5;20030801 12:05;P;;;;;;
D;010;264603;5;20030801 12:05;P;;;;;;
D;010;264603;5;20030801 12:05;V;;;;;;
B;010;265172;6;20030801 12:05;;;5;CREIGHTON DR;MEDOWIE;2318;661.5;M;20030219;20030410;195000;A;R;RESIDENCE;;HM;;0;9806773;
C;010;265172;6;20030801 12:05;9//813700;
D;010;265172;6;20030801 12:05;P;;;;;;
D;010;265172;6;20030801 12:05;P;;;;;;
D;010;265172;6;20030801 12:05;V;;;;;;
B;010;265199;7;20030801 12:05;;;10;CREIGHTON DR;MEDOWIE;2318;560;M;20030516;20030620;205000;A;R;RESIDENCE;;HM;;0;9806245;
C;010;265199;7;20030801 12:05;49//813700;
D;010;265199;7;20030801 12:05;P;;;;;;
D;010;265199;7;20030801 12:05;V;;;;;;
D;010;265199;7;20030801 12:05;V;;;;;;
B;010;265326;8;20030801 12:05;;;12 A;FAIRLANDS RD;MEDOWIE;2318;3.543;H;20030306;20030417;500000;R;R;RESIDENCE;;RS;;0;9811285;
C;010;265326;8;20030801 12:05;101//865165;
D;010;265326;8;20030801 12:05;P;;;;;;
D;010;265326;8;20030801 12:05;P;;;;;;
D;010;265326;8;20030801 12:05;V;;;;;;
D;010;265326;8;20030801 12:05;V;;;;;;
B;010;265402;9;20030801 12:05;;;58;FERODALE RD;MEDOWIE;2318;1.229;H;20030312;20030711;390000;R;3;;;SE;;0;9801800;
C;010;265402;9;20030801 12:05;1//243518;
D;010;265402;9;20030801 12:05;P;;;;;;
D;010;265402;9;20030801 12:05;P;;;;;;
D;010;265402;9;20030801 12:05;V;;;;;;
B;010;265578;10;20030801 12:05;;;3;GLANMORGAN AVE;MEDOWIE;2318;600;M;20030505;20030610;265000;A;R;RESIDENCE;;HM;;0;9789181;
C;010;265578;10;20030801 12:05;160//1010345;
D;010;265578;10;20030801 12:05;P;;;;;;
D;010;265578;10;20030801 12:05;P;;;;;;
D;010;265578;10;20030801 12:05;V;;;;;;
B;010;265579;11;20030801 12:05;;;5;GLANMORGAN AVE;MEDOWIE;2318;600;M;20030414;20030627;265000;A;R;RESIDENCE;;HM;;0;9819423;
C;010;265579;11;20030801 12:05;161//1010345;
D;010;265579;11;20030801 12:05;P;;;;;;
D;010;265579;11;20030801 12:05;V;;;;;;
B;010;266175;12;20030801 12:06;;;49;LISADELL RD;MEDOWIE;2318;2.023;H;20030621;20030725;320000;R;R;RESIDENCE;;YC;;0;9828654;
C;010;266175;12;20030801 12:06;B//382636;
D;010;266175;12;20030801 12:06;P;;;;;;
D;010;266175;12;20030801 12:06;P;;;;;;
D;010;266175;12;20030801 12:06;V;;;;;;
B;010;266320;13;20030801 12:06;;;48;MELIA CL;MEDOWIE;2318;725;M;20030612;20030717;195000;A;R;RESIDENCE;;HM;;0;9816380;
C;010;266320;13;20030801 12:06;230//700216;
D;010;266320;13;20030801 12:06;P;;;;;;
D;010;266320;13;20030801 12:06;P;;;;;;
D;010;266320;13;20030801 12:06;V;;;;;;
D;010;266320;13;20030801 12:06;V;;;;;;
B;010;266364;14;20030801 12:06;;;19;NORTHVIEW CCT;MEDOWIE;2318;612.1;M;20030509;20030630;260000;A;R;RESIDENCE;;HM;;0;9761682;
C;010;266364;14;20030801 12:06;180//1010345;
D;010;266364;14;20030801 12:06;P;;;;;;
D;010;266364;14;20030801 12:06;V;;;;;;
B;010;266365;15;20030801 12:06;;;21;NORTHVIEW CCT;MEDOWIE;2318;612.1;M;20020828;20020828;46000;A;V;VACANT LAND;;HM;;0;9818048;
C;010;266365;15;20030801 12:06;181//1010345;
D;010;266365;15;20030801 12:06;P;;;;;;
D;010;266365;15;20030801 12:06;P;;;;;;
D;010;266365;15;20030801 12:06;V;;;;;;
B;010;266514;16;20030801 12:06;;;30;ROSEWOOD DR;MEDOWIE;2318;557.1;M;20030613;20030715;197000;A;R;RESIDENCE;;HM;;0;9814859;
C;010;266514;16;20030801 12:06;21//812979;
D;010;266514;16;20030801 12:06;P;;;;;;
D;010;266514;16;20030801 12:06;P;;;;;;
D;010;266514;16;20030801 12:06;V;;;;;;
B;010;266631;17;20030801 12:06;;;7;SETTLERS CL;MEDOWIE;2318;3987.4;M;20030521;20030710;475000;R;R;RESIDENCE;;YA;;0;9826568;
C;010;266631;17;20030801 12:06;35//831313;
D;010;266631;17;20030801 12:06;P;;;;;;
D;010;266631;17;20030801 12:06;P;;;;;;
D;010;266631;17;20030801 12:06;V;;;;;;
D;010;266631;17;20030801 12:06;V;;;;;;
B;010;266662;18;20030801 12:06;;;41;SILVER WATTLE DR;MEDOWIE;2318;735.5;M;20030619;20030711;255000;A;R;RESIDENCE;;HM;;0;9826584;
C;010;266662;18;20030801 12:06;162//246947;
D;010;266662;18;20030801 12:06;P;;;;;;
D;010;266662;18;20030801 12:06;P;;;;;;
D;010;266662;18;20030801 12:06;V;;;;;;
B;010;266908;19;20030801 12:06;;;5;WADE CL;MEDOWIE;2318;1.097;H;20030410;20030528;537000;R;R;RESIDENCE;;YC;;0;9803974;
C;010;266908;19;20030801 12:06;1//832252;
D;010;266908;19;20030801 12:06;P;;;;;;
D;010;266908;19;20030801 12:06;P;;;;;;
D;010;266908;19;20030801 12:06;V;;;;;;
B;010;267060;20;20030801 12:06;;;5;BRAID RD;FERN BAY;2295;;;20030512;20030711;190000;A;R;RESIDENCE;;HF;;0;9792123;
C;010;267060;20;20030801 12:06;90//38010;
D;010;267060;20;20030801 12:06;P;;;;;;
D;010;267060;20;20030801 12:06;P;;;;;;
D;010;267060;20;20030801 12:06;V;;;;;;
B;010;267624;21;20030801 12:06;;;10;LEGANA CL;FINGAL BAY;2315;807.6;M;20030515;20030709;530000;A;R;RESIDENCE;;FX;;0;9787187;
C;010;267624;21;20030801 12:06;35//727701;
D;010;267624;21;20030801 12:06;P;;;;;;
D;010;267624;21;20030801 12:06;V;;;;;;
B;010;268630;22;20030801 12:06;;;14;RIVERSIDE DR;KARUAH;2324;518.5;M;20030411;20030422;150000;A;R;RESIDENCE;;HN;;0;9807711;
C;010;268630;22;20030801 12:06;753//11741;
D;010;268630;22;20030801 12:06;P;;;;;;
D;010;268630;22;20030801 12:06;V;;;;;;
D;010;268630;22;20030801 12:06;V;;;;;;
B;010;268691;23;20030801 12:06;;;40;ROUND HILL CRES;KARUAH;2324;492;M;20030625;20030718;185000;A;R;RESIDENCE;;HN;;0;9821426;
C;010;268691;23;20030801 12:06;1//803664;
D;010;268691;23;20030801 12:06;P;;;;;;
D;010;268691;23;20030801 12:06;P;;;;;;
D;010;268691;23;20030801 12:06;V;;;;;;
B;010;268895;24;20030801 12:06;;17;4 A;BLANCH ST;LEMON TREE PASSAGE;2319;;;20030528;20030709;195000;;R;RESIDENCE;17;;;0;9791042;
C;010;268895;24;20030801 12:06;17//SP 46224;
D;010;268895;24;20030801 12:06;P;;;;;;
D;010;268895;24;20030801 12:06;V;;;;;;
D;010;268895;24;20030801 12:06;V;;;;;;
B;010;269036;25;20030801 12:06;;;19;COOK PDE;LEMON TREE PASSAGE;2319;227.6;M;20030521;20030625;280000;B;R;RESIDENCE;;BX;;0;9811378;
C;010;269036;25;20030801 12:06;;
D;010;269036;25;20030801 12:06;P;;;;;;
D;010;269036;25;20030801 12:06;V;;;;;;
B;010;269211;26;20030801 12:06;;;72;FRANCIS AVE;LEMON TREE PASSAGE;2319;562.8;M;20030521;20030707;295000;A;R;RESIDENCE;;FL;;0;9804232;
C;010;269211;26;20030801 12:06;47//214619;
D;010;269211;26;20030801 12:06;P;;;;;;
D;010;269211;26;20030801 12:06;P;;;;;;
D;010;269211;26;20030801 12:06;V;;;;;;
D;010;269211;26;20030801 12:06;V;;;;;;
B;010;269349;27;20030801 12:06;;;76;GOULD DR;LEMON TREE PASSAGE;2319;619.7;M;20030606;20030704;190000;A;R;RESIDENCE;;FL;;0;9816580;
C;010;269349;27;20030801 12:06;138//223671;
D;010;269349;27;20030801 12:06;P;;;;;;
D;010;269349;27;20030801 12:06;V;;;;;;
D;010;269349;27;20030801 12:06;V;;;;;;
B;010;269716;28;20030801 12:06;;;136;LEMON TREE PASSAGE RD;LEMON TREE PASSAGE;2319;556.4;M;20030519;20030717;240000;A;R;RESIDENCE;;FL;;0;9820094;
C;010;269716;28;20030801 12:06;242//753194;
D;010;269716;28;20030801 12:06;P;;;;;;
D;010;269716;28;20030801 12:06;P;;;;;;
D;010;269716;28;20030801 12:06;V;;;;;;
D;010;269716;28;20030801 12:06;V;;;;;;
B;010;269882;29;20030801 12:06;;;4;NORTHUMBERLAND AVE;LEMON TREE PASSAGE;2319;657.6;M;20030523;20030704;235000;A;R;RESIDENCE;;FL;;0;9826019;
C;010;269882;29;20030801 12:06;45//229011;
D;010;269882;29;20030801 12:06;P;;;;;;
D;010;269882;29;20030801 12:06;P;;;;;;
D;010;269882;29;20030801 12:06;V;;;;;;
D;010;269882;29;20030801 12:06;V;;;;;;
B;010;269991;30;20030801 12:06;;;3;ROBERT CRES;LEMON TREE PASSAGE;2319;518.5;M;20030606;20030704;307500;A;R;RESIDENCE;;FL;;0;9798491;
C;010;269991;30;20030801 12:06;77//225672;
D;010;269991;30;20030801 12:06;P;;;;;;
D;010;269991;30;20030801 12:06;P;;;;;;
D;010;269991;30;20030801 12:06;V;;;;;;
D;010;269991;30;20030801 12:06;V;;;;;;
B;010;270078;31;20030801 12:06;;;17;TORPEY AVE;LEMON TREE PASSAGE;2319;;;20030604;20030709;270000;A;R;RESIDENCE;;FL;;0;9826879;
C;010;270078;31;20030801 12:06;157//229621;
D;010;270078;31;20030801 12:06;P;;;;;;
D;010;270078;31;20030801 12:06;V;;;;;;
D;010;270078;31;20030801 12:06;V;;;;;;
B;010;270295;32;20030801 12:06;;;20;FAIRLANDS RD;MALLABULA;2319;585.3;M;20030529;20030703;273000;A;R;RESIDENCE;;FM;;0;9808638;
C;010;270295;32;20030801 12:06;313//11392;
D;010;270295;32;20030801 12:06;P;;;;;;
D;010;270295;32;20030801 12:06;P;;;;;;
D;010;270295;32;20030801 12:06;V;;;;;;
D;010;270295;32;20030801 12:06;V;;;;;;
B;010;270433;33;20030801 12:06;;;18;STRATHMORE RD;MALLABULA;2319;891.6;M;20030522;20030703;249000;A;R;RESIDENCE;;FM;;0;9799673;
C;010;270433;33;20030801 12:06;145//11392;
D;010;270433;33;20030801 12:06;P;;;;;;
D;010;270433;33;20030801 12:06;P;;;;;;
D;010;270433;33;20030801 12:06;V;;;;;;
B;010;270466;34;20030801 12:06;;;10;TANILBA RD;MALLABULA;2319;518.5;M;20030719;20030719;36095;A;V;VACANT LAND;;FM;;0;9812138;
C;010;270466;34;20030801 12:06;107//17187;
D;010;270466;34;20030801 12:06;P;;;;;;
D;010;270466;34;20030801 12:06;P;;;;;;
D;010;270466;34;20030801 12:06;P;;;;;;
D;010;270466;34;20030801 12:06;V;;;;;;
D;010;270466;34;20030801 12:06;V;;;;;;
B;010;270771;35;20030801 12:06;;2;4;ARMIDALE AVE;NELSON BAY;2315;;;20030522;20030704;255000;;R;RESIDENCE;2;;;0;9784554;
C;010;270771;35;20030801 12:06;2//SP 36171;
D;010;270771;35;20030801 12:06;P;;;;;;
D;010;270771;35;20030801 12:06;P;;;;;;
D;010;270771;35;20030801 12:06;V;;;;;;
D;010;270771;35;20030801 12:06;V;;;;;;
B;010;271533;36;20030801 12:06;;19;9;DONALD ST;NELSON BAY;2315;;;20030520;20030625;300000;;R;RESIDENCE;19;;;0;9803078;
C;010;271533;36;20030801 12:06;19//SP 20624;
D;010;271533;36;20030801 12:06;P;;;;;;
D;010;271533;36;20030801 12:06;V;;;;;;
D;010;271533;36;20030801 12:06;V;;;;;;
B;010;271820;37;20030801 12:06;;;76;GALOOLA DR;NELSON BAY;2315;;;20030404;20030516;345000;A;R;RESIDENCE;;GX;;0;9807346;
C;010;271820;37;20030801 12:06;108//9165;
D;010;271820;37;20030801 12:06;P;;;;;;
D;010;271820;37;20030801 12:06;P;;;;;;
D;010;271820;37;20030801 12:06;V;;;;;;
B;010;271941;38;20030801 12:06;;;58;GOVERNMENT RD;NELSON BAY;2315;701.9;M;20030129;20030313;410000;A;R;RESIDENCE;;GV;;0;9783695;
C;010;271941;38;20030801 12:06;73//27081;
