A;004;20030204 12:08;PDANN;
B;004;96027;1;20030204 12:08;;;40;ARCADIA ST;ARCADIA VALE;2283;645;M;20021105;20021105;424000;A;R;RESIDENCE;;ME;;;9309095;
C;004;96027;1;20030204 12:08;348//13129;
D;004;96027;1;20030204 12:08;P;;;;;;
D;004;96027;1;20030204 12:08;P;;;;;;
D;004;96027;1;20030204 12:08;V;;;;;;
D;004;96027;1;20030204 12:08;V;;;;;;
B;004;96114;2;20030204 12:08;;;7;DONNELLY RD;ARCADIA VALE;2283;;;20021104;20021216;337000;A;R;RESIDENCE;;ME;;;9315255;
C;004;96114;2;20030204 12:08;258//13129;
D;004;96114;2;20030204 12:08;P;;;;;;
D;004;96114;2;20030204 12:08;V;;;;;;
D;004;96114;2;20030204 12:08;V;;;;;;
B;004;96163;3;20030204 12:08;;;40;FERN ST;ARCADIA VALE;2283;727.2;M;20021209;20030120;108000;A;R;RESIDENCE;;ME;;;9332708;
C;004;96163;3;20030204 12:08;287//13129;
D;004;96163;3;20030204 12:08;P;;;;;;
D;004;96163;3;20030204 12:08;P;;;;;;
D;004;96163;3;20030204 12:08;V;;;;;;
D;004;96163;3;20030204 12:08;V;;;;;;
B;004;96195;4;20030204 12:08;;;7;FERN ST;ARCADIA VALE;2283;999.1;M;20021112;20021220;310000;A;R;RESIDENCE;;ME;;;9286434;
C;004;96195;4;20030204 12:08;329//13129;
D;004;96195;4;20030204 12:08;P;;;;;;
D;004;96195;4;20030204 12:08;V;;;;;;
B;004;96241;5;20030204 12:08;;;4;GLADE ST;ARCADIA VALE;2283;493.2;M;20021118;20021211;160000;A;R;RESIDENCE;;ME;AC;;9230454;
C;004;96241;5;20030204 12:08;558//13129;
D;004;96241;5;20030204 12:08;P;;;;;;
D;004;96241;5;20030204 12:08;P;;;;;;
D;004;96241;5;20030204 12:08;V;;;;;;
D;004;96241;5;20030204 12:08;V;;;;;;
B;004;96276;6;20030204 12:08;;;16;GLEN AVE;ARCADIA VALE;2283;613.4;M;20021125;20030106;275000;A;R;RESIDENCE;;ME;;;9291567;
C;004;96276;6;20030204 12:08;375//13129;
D;004;96276;6;20030204 12:08;P;;;;;;
D;004;96276;6;20030204 12:08;P;;;;;;
D;004;96276;6;20030204 12:08;V;;;;;;
D;004;96276;6;20030204 12:08;V;;;;;;
B;004;96422;7;20030204 12:08;;;14;ELIZABETH ST;ARGENTON;2284;;;20021119;20021216;180000;A;R;RESIDENCE;;CB;AC;;9238409;
C;004;96422;7;20030204 12:08;15/2/12348;
D;004;96422;7;20030204 12:08;P;;;;;;
D;004;96422;7;20030204 12:08;P;;;;;;
D;004;96422;7;20030204 12:08;V;;;;;;
B;004;96747;8;20030204 12:08;;;31;PARK AVE;ARGENTON;2284;;;20020923;20021122;175000;A;V;VACANT LAND;;CB;AV;;9258378;
C;004;96747;8;20030204 12:08;28//12245;
D;004;96747;8;20030204 12:08;P;;;;;;
D;004;96747;8;20030204 12:08;P;;;;;;
D;004;96747;8;20030204 12:08;V;;;;;;
B;004;96924;9;20030204 12:08;;;17;VICTORIA ST;ARGENTON;2284;;;20021114;20021219;172000;A;R;RESIDENCE;;CB;AC;;9254857;
C;004;96924;9;20030204 12:08;6//15177;
D;004;96924;9;20030204 12:08;P;;;;;;
D;004;96924;9;20030204 12:08;P;;;;;;
D;004;96924;9;20030204 12:08;V;;;;;;
B;004;97112;10;20030204 12:08;;;8;AVONDALE RD;COORANBONG;2265;827.8;M;20021125;20030117;212000;A;3;;;NJ;;;9308503;
C;004;97112;10;20030204 12:08;1//588877;
D;004;97112;10;20030204 12:08;P;;;;;;
D;004;97112;10;20030204 12:08;P;;;;;;
D;004;97112;10;20030204 12:08;V;;;;;;
B;004;97119;11;20030204 12:08;;;;AVONDALE RD;COORANBONG;2265;;;20021112;20021206;138000;A;R;RESIDENCE;;NJ;AC;;9234838;
C;004;97119;11;20030204 12:08;PT 22//881354;
D;004;97119;11;20030204 12:08;P;;;;;;
D;004;97119;11;20030204 12:08;P;;;;;;
D;004;97119;11;20030204 12:08;V;;;;;;
D;004;97119;11;20030204 12:08;V;;;;;;
B;004;97120;12;20030204 12:08;;;18 A;AVONDALE RD;COORANBONG;2265;;;20021112;20021206;138000;A;R;RESIDENCE;;NJ;AC;;9234838;
C;004;97120;12;20030204 12:08;PT 22//881354;
D;004;97120;12;20030204 12:08;P;;;;;;
D;004;97120;12;20030204 12:08;P;;;;;;
D;004;97120;12;20030204 12:08;V;;;;;;
D;004;97120;12;20030204 12:08;V;;;;;;
B;004;97203;13;20030204 12:08;;;5;CLIFFORD AVE;COORANBONG;2265;743.1;M;20021101;20030115;277000;A;R;RESIDENCE;;NJ;;;9297604;
C;004;97203;13;20030204 12:08;20//246011;
D;004;97203;13;20030204 12:08;P;;;;;;
D;004;97203;13;20030204 12:08;P;;;;;;
D;004;97203;13;20030204 12:08;V;;;;;;
D;004;97203;13;20030204 12:08;V;;;;;;
B;004;97431;14;20030204 12:08;;;18;KENNEDY CL;COORANBONG;2265;644.1;M;20021218;20021218;65000;A;V;VACANT LAND;;NJ;;;9252893;
C;004;97431;14;20030204 12:08;2//865588;
D;004;97431;14;20030204 12:08;P;;;;;;
D;004;97431;14;20030204 12:08;V;;;;;;
B;004;97559;15;20030204 12:08;;;24;CORREA CT;TORONTO;2283;811.9;M;20021024;20021121;83000;A;V;VACANT LAND;;FY;;;9313260;
C;004;97559;15;20030204 12:08;432//1006267;
D;004;97559;15;20030204 12:08;P;;;;;;
D;004;97559;15;20030204 12:08;V;;;;;;
B;004;97592;16;20030204 12:08;;;10;GREVILLEA CL;TORONTO;2283;1307;M;20020531;20020628;67000;A;V;VACANT LAND;;FY;AV;;9258355;
C;004;97592;16;20030204 12:08;417//1006267;
D;004;97592;16;20030204 12:08;P;;;;;;
D;004;97592;16;20030204 12:08;V;;;;;;
B;004;97771;17;20030204 12:08;;;43;CARLISLE ROW;FISHING POINT;2283;796.7;M;20021218;20030116;250000;A;R;RESIDENCE;;MG;;;9303586;
C;004;97771;17;20030204 12:08;12//548109;
D;004;97771;17;20030204 12:08;P;;;;;;
D;004;97771;17;20030204 12:08;V;;;;;;
B;004;97798;18;20030204 12:08;;;9;CHELSEA CL;BALMORAL;2283;923.3;M;20021101;20021210;248000;A;R;RESIDENCE;;MC;AC;;9230688;
C;004;97798;18;20030204 12:08;138//562883;
D;004;97798;18;20030204 12:08;P;;;;;;
D;004;97798;18;20030204 12:08;V;;;;;;
B;004;97926;19;20030204 12:08;;;14;KINGSLAND AVE;BALMORAL;2283;733.5;M;20020822;20021010;78500;A;R;RESIDENCE;;MC;AC;;9254398;
C;004;97926;19;20030204 12:08;68//553008;
D;004;97926;19;20030204 12:08;P;;;;;;
D;004;97926;19;20030204 12:08;P;;;;;;
D;004;97926;19;20030204 12:08;V;;;;;;
D;004;97926;19;20030204 12:08;V;;;;;;
B;004;98058;20;20030204 12:08;;;7;WOODLANDS AVE;BALMORAL;2283;1050;M;20021203;20021220;219000;A;R;RESIDENCE;;MC;;;9309034;
C;004;98058;20;20030204 12:08;83//553012;
D;004;98058;20;20030204 12:08;P;;;;;;
D;004;98058;20;20030204 12:08;P;;;;;;
D;004;98058;20;20030204 12:08;V;;;;;;
B;004;98150;21;20030204 12:08;;;25;ALBERT ST;BELMONT;2280;632.3;M;20021111;20021204;220000;A;R;RESIDENCE;;ZJ;AC;;9225896;
C;004;98150;21;20030204 12:08;42//14314;
D;004;98150;21;20030204 12:08;P;;;;;;
D;004;98150;21;20030204 12:08;P;;;;;;
D;004;98150;21;20030204 12:08;V;;;;;;
D;004;98150;21;20030204 12:08;V;;;;;;
B;004;98285;22;20030204 12:08;;;42;ARLINGTON ST;BELMONT NORTH;2280;613.4;M;20021118;20021220;169950;A;R;RESIDENCE;;JE;AC;;9267133;
C;004;98285;22;20030204 12:08;17//28480;
D;004;98285;22;20030204 12:08;P;;;;;;
D;004;98285;22;20030204 12:08;P;;;;;;
D;004;98285;22;20030204 12:08;V;;;;;;
B;004;98567;23;20030204 12:08;;;2;BRABHAM CL;BELMONT NORTH;2280;676.6;M;20021118;20021220;248000;A;R;RESIDENCE;;JE;AC;;9268982;
C;004;98567;23;20030204 12:08;39//239325;
D;004;98567;23;20030204 12:08;P;;;;;;
D;004;98567;23;20030204 12:08;P;;;;;;
D;004;98567;23;20030204 12:08;V;;;;;;
B;004;98794;24;20030204 12:08;;;16;CALVERTON CRES;BELMONT NORTH;2280;714.5;M;20021205;20030122;241000;A;R;RESIDENCE;;JF;;;9325820;
C;004;98794;24;20030204 12:08;38//241833;
D;004;98794;24;20030204 12:08;P;;;;;;
D;004;98794;24;20030204 12:08;P;;;;;;
D;004;98794;24;20030204 12:08;V;;;;;;
B;004;99106;25;20030204 12:08;;;22;CROWN ST;BELMONT;2280;600.7;M;20021015;20021126;325000;A;R;RESIDENCE;;JA;AC;;9268989;
C;004;99106;25;20030204 12:08;53//15770;
D;004;99106;25;20030204 12:08;P;;;;;;
D;004;99106;25;20030204 12:08;P;;;;;;
D;004;99106;25;20030204 12:08;V;;;;;;
B;004;99222;26;20030204 12:08;;;20;DANIEL ST;BELMONT;2280;739.8;M;20021010;20021206;302000;A;R;RESIDENCE;;JA;AC;;9258578;
C;004;99222;26;20030204 12:08;70//15770;
D;004;99222;26;20030204 12:08;P;;;;;;
D;004;99222;26;20030204 12:08;P;;;;;;
D;004;99222;26;20030204 12:08;V;;;;;;
D;004;99222;26;20030204 12:08;V;;;;;;
B;004;99377;27;20030204 12:08;;;3;EDGAR ST;BELMONT;2280;;;20020417;20020529;176050;A;R;RESIDENCE;;JA;;;9306211;
C;004;99377;27;20030204 12:08;B//315341;
D;004;99377;27;20030204 12:08;P;;;;;;
D;004;99377;27;20030204 12:08;V;;;;;;
B;004;99381;28;20030204 12:08;;;5;ELLEN ST;BELMONT SOUTH;2280;;;20021024;20021128;244000;A;R;RESIDENCE;;JH;AC;;9256670;
C;004;99381;28;20030204 12:08;8/A/1091;
D;004;99381;28;20030204 12:08;P;;;;;;
D;004;99381;28;20030204 12:08;P;;;;;;
D;004;99381;28;20030204 12:08;V;;;;;;
D;004;99381;28;20030204 12:08;V;;;;;;
B;004;99554;29;20030204 12:08;;;20;ESPERANCE ST;JEWELLS;2280;613.3;M;20021127;20021220;275000;A;R;RESIDENCE;;JF;;;9314977;
C;004;99554;29;20030204 12:08;368//249201;
D;004;99554;29;20030204 12:08;P;;;;;;
D;004;99554;29;20030204 12:08;V;;;;;;
D;004;99554;29;20030204 12:08;V;;;;;;
B;004;99594;30;20030204 12:08;;;66 A;EVANS ST;BELMONT;2280;435.8;M;20021118;20021223;204950;A;R;RESIDENCE;;JA;;;9312342;
C;004;99594;30;20030204 12:08;282//853780;
D;004;99594;30;20030204 12:08;P;;;;;;
D;004;99594;30;20030204 12:08;V;;;;;;
B;004;99611;31;20030204 12:08;;;34;EVANS ST;BELMONT;2280;512.2;M;20021106;20021211;247000;A;R;RESIDENCE;;ZJ;AC;;9282304;
C;004;99611;31;20030204 12:08;26//14314;
D;004;99611;31;20030204 12:08;P;;;;;;
D;004;99611;31;20030204 12:08;V;;;;;;
D;004;99611;31;20030204 12:08;V;;;;;;
D;004;99611;31;20030204 12:08;V;;;;;;
B;004;99683;32;20030204 12:08;;;9;FAIRBURN CL;JEWELLS;2280;828.1;M;20020910;20021108;230000;A;R;RESIDENCE;;JF;AC;;9225597;
C;004;99683;32;20030204 12:08;9//255063;
D;004;99683;32;20030204 12:08;P;;;;;;
D;004;99683;32;20030204 12:08;P;;;;;;
D;004;99683;32;20030204 12:08;V;;;;;;
D;004;99683;32;20030204 12:08;V;;;;;;
B;004;99704;33;20030204 12:08;;;43;FENCOTT DR;JEWELLS;2280;761;M;20021030;20030110;235000;A;R;RESIDENCE;;JF;;;9317635;
C;004;99704;33;20030204 12:08;197//246099;
D;004;99704;33;20030204 12:08;P;;;;;;
D;004;99704;33;20030204 12:08;P;;;;;;
D;004;99704;33;20030204 12:08;V;;;;;;
B;004;99832;34;20030204 12:08;;;38;FLORAVILLE RD;BELMONT NORTH;2280;626;M;20021205;20030115;212000;A;R;RESIDENCE;;JE;;;9309159;
C;004;99832;34;20030204 12:08;4//27945;
D;004;99832;34;20030204 12:08;P;;;;;;
D;004;99832;34;20030204 12:08;V;;;;;;
D;004;99832;34;20030204 12:08;V;;;;;;
B;004;99836;35;20030204 12:08;;;30;FLORAVILLE RD;BELMONT NORTH;2280;594.4;M;20021204;20021213;220000;A;R;RESIDENCE;;JE;AC;;9240880;
C;004;99836;35;20030204 12:08;1//31701;
D;004;99836;35;20030204 12:08;P;;;;;;
D;004;99836;35;20030204 12:08;V;;;;;;
B;004;99843;36;20030204 12:08;;2;1;LENTARA RD;BELMONT NORTH;2280;;;20020923;20021218;160000;;R;RESIDENCE;2;;AC;;9235647;
C;004;99843;36;20030204 12:08;2//43786;
D;004;99843;36;20030204 12:08;P;;;;;;
D;004;99843;36;20030204 12:08;P;;;;;;
D;004;99843;36;20030204 12:08;V;;;;;;
B;004;100034;37;20030204 12:08;;;17;GILSMERE ST;JEWELLS;2280;;;20021015;20021104;155000;A;R;RESIDENCE;;JF;AC;;9156775;
