A;001;20031103 14:02;PDANN;
B;001;60;1;20031103 14:02;;;84;ABERDARE RD;ABERDARE;2325;1012;M;20030724;20030919;205000;A;R;RESIDENCE;;GA;;0;AA60565;
C;001;60;1;20031103 14:02;13/39/758002;
D;001;60;1;20031103 14:02;P;;;;;;
D;001;60;1;20031103 14:02;P;;;;;;
D;001;60;1;20031103 14:02;V;;;;;;
B;001;116;2;20031103 14:02;;;27;ABERDARE RD;CESSNOCK;2325;1012;M;20030605;20030801;169000;A;R;RESIDENCE;;GA;;0;AA60203;
C;001;116;2;20031103 14:02;11/2/758002;
D;001;116;2;20031103 14:02;P;;;;;;
D;001;116;2;20031103 14:02;P;;;;;;
D;001;116;2;20031103 14:02;V;;;;;;
B;001;125;3;20031103 14:02;;;45;ABERDARE RD;CESSNOCK;2325;;;20030821;20031002;240000;A;R;RESIDENCE;;GA;;0;AA56750;
C;001;125;3;20031103 14:02;7/3/758002;
D;001;125;3;20031103 14:02;P;;;;;;
D;001;125;3;20031103 14:02;V;;;;;;
D;001;125;3;20031103 14:02;V;;;;;;
D;001;125;3;20031103 14:02;V;;;;;;
D;001;125;3;20031103 14:02;V;;;;;;
D;001;125;3;20031103 14:02;V;;;;;;
B;001;247;4;20031103 14:02;;;11;CALEDONIAN ST;ABERDARE;2325;505.8;M;20030828;20031009;197000;A;R;RESIDENCE;;GA;;0;AA97115;
C;001;247;4;20031103 14:02;11//623222;
D;001;247;4;20031103 14:02;P;;;;;;
D;001;247;4;20031103 14:02;V;;;;;;
B;001;418;5;20031103 14:02;;;100;CONGEWAI ST;ABERDARE;2325;1012;M;20030428;20031016;150000;A;R;RESIDENCE;;GA;;0;AA102907;
C;001;418;5;20031103 14:02;17/18/758002;
D;001;418;5;20031103 14:02;P;;;;;;
D;001;418;5;20031103 14:02;V;;;;;;
D;001;418;5;20031103 14:02;V;;;;;;
B;001;1070;6;20031103 14:02;;1;28;LINKS AVE;CESSNOCK;2325;;;20030821;20031016;275000;;R;RESIDENCE;2;;;0;AA83903;
C;001;1070;6;20031103 14:02;2//SP 56188;
D;001;1070;6;20031103 14:02;P;;;;;;
D;001;1070;6;20031103 14:02;P;;;;;;
D;001;1070;6;20031103 14:02;V;;;;;;
B;001;1139;7;20031103 14:02;;;17;MAYFIELD ST;CESSNOCK;2325;;;20030916;20031015;215000;A;R;RESIDENCE;;GB;;0;AA79503;
C;001;1139;7;20031103 14:02;5/H/4805;
D;001;1139;7;20031103 14:02;P;;;;;;
D;001;1139;7;20031103 14:02;P;;;;;;
D;001;1139;7;20031103 14:02;V;;;;;;
B;001;1263;8;20031103 14:02;;;5;MILLFIELD ST;CESSNOCK;2325;664.8;M;20020712;20020830;62000;A;R;RESIDENCE;;GB;;0;9976246;
C;001;1263;8;20031103 14:02;7//861116;
D;001;1263;8;20031103 14:02;P;;;;;;
D;001;1263;8;20031103 14:02;P;;;;;;
D;001;1263;8;20031103 14:02;V;;;;;;
B;001;1434;9;20031103 14:02;;;149;NORTHCOTE ST;ABERDARE;2325;512.18;M;20030903;20031008;83000;A;V;VACANT LAND;;GA;;0;AA56678;
C;001;1434;9;20031103 14:02;370//755215;
D;001;1434;9;20031103 14:02;P;;;;;;
D;001;1434;9;20031103 14:02;V;;;;;;
B;001;1480;10;20031103 14:02;;;;OAKEY CREEK RD;POKOLBIN;2320;4074;M;20030602;20031008;200000;A;V;VACANT LAND;;GT;;0;AA60172;
C;001;1480;10;20031103 14:02;39//270158;
D;001;1480;10;20031103 14:02;P;;;;;;
D;001;1480;10;20031103 14:02;P;;;;;;
D;001;1480;10;20031103 14:02;V;;;;;;
B;001;1621;11;20031103 14:02;;;8;RAWSON ST;ABERDARE;2325;;;20030829;20031010;199500;A;R;RESIDENCE;;GA;;0;AA77477;
C;001;1621;11;20031103 14:02;B//100315;
D;001;1621;11;20031103 14:02;P;;;;;;
D;001;1621;11;20031103 14:02;P;;;;;;
D;001;1621;11;20031103 14:02;V;;;;;;
B;001;1905;12;20031103 14:02;;;69;VINCENT ST;CESSNOCK;2325;436.2;M;20030902;20031015;465000;B;3;SHOP;;CA;;0;AA67561;
C;001;1905;12;20031103 14:02;4//835450;
D;001;1905;12;20031103 14:02;P;;;;;;
D;001;1905;12;20031103 14:02;P;;;;;;
D;001;1905;12;20031103 14:02;P;;;;;;
D;001;1905;12;20031103 14:02;P;;;;;;
D;001;1905;12;20031103 14:02;V;;;;;;
B;001;2983;13;20031103 14:02;;;49;OLNEY ST;ELLALONG;2325;1011;M;20030813;20031008;85000;A;R;RESIDENCE;;FD;;0;AA74805;
C;001;2983;13;20031103 14:02;91//878153;
D;001;2983;13;20031103 14:02;P;;;;;;
D;001;2983;13;20031103 14:02;P;;;;;;
D;001;2983;13;20031103 14:02;V;;;;;;
D;001;2983;13;20031103 14:02;V;;;;;;
B;001;3030;14;20031103 14:02;;;16;HECLA ST;ELLALONG;2325;2023;M;20030902;20031007;135000;A;V;VACANT LAND;;FD;;0;AA64820;
C;001;3030;14;20031103 14:02;8/10/758382;
D;001;3030;14;20031103 14:02;P;;;;;;
D;001;3030;14;20031103 14:02;P;;;;;;
D;001;3030;14;20031103 14:02;V;;;;;;
B;001;3033;15;20031103 14:02;;;45;CHURCH ST;ELLALONG;2325;2024;M;20030911;20031002;148000;A;V;VACANT LAND;;FD;;0;AA69490;
