A;003;20030801 12:03;PDANN;
B;003;25265;1;20030801 12:03;;;8;ABELIA PL;UMINA;2257;524.8;M;20030415;20030527;390000;A;R;RESIDENCE;;GG;;0;9815191;
C;003;25265;1;20030801 12:03;161//241876;
D;003;25265;1;20030801 12:03;P;;;;;;
D;003;25265;1;20030801 12:03;V;;;;;;
B;003;26187;2;20030801 12:03;;;74;ALBION ST;UMINA;2257;537.5;M;20030527;20030625;365000;A;R;RESIDENCE;;MA;;0;9809532;
C;003;26187;2;20030801 12:03;222//9103;
D;003;26187;2;20030801 12:03;P;;;;;;
D;003;26187;2;20030801 12:03;P;;;;;;
D;003;26187;2;20030801 12:03;V;;;;;;
B;003;26891;3;20030801 12:03;;15;64;ALTHORP ST;EAST GOSFORD;2250;;;20030516;20030627;285000;;R;RESIDENCE;15;;;0;9796464;
C;003;26891;3;20030801 12:03;15//SP 61262;
D;003;26891;3;20030801 12:03;P;;;;;;
D;003;26891;3;20030801 12:03;P;;;;;;
D;003;26891;3;20030801 12:03;V;;;;;;
B;003;27132;4;20030801 12:03;;;24;ANGUS AVE;WYOMING;2250;581.7;M;20030611;20030711;282000;A;R;RESIDENCE;;FB;;0;9806763;
C;003;27132;4;20030801 12:03;123//225928;
D;003;27132;4;20030801 12:03;P;;;;;;
D;003;27132;4;20030801 12:03;P;;;;;;
D;003;27132;4;20030801 12:03;V;;;;;;
D;003;27132;4;20030801 12:03;V;;;;;;
B;003;27292;5;20030801 12:03;;;8;APANIE AVE;NARARA;2250;708.2;M;20030519;20030701;330000;A;R;RESIDENCE;;FB;;0;9796360;
C;003;27292;5;20030801 12:03;5//242075;
D;003;27292;5;20030801 12:03;P;;;;;;
D;003;27292;5;20030801 12:03;P;;;;;;
D;003;27292;5;20030801 12:03;V;;;;;;
D;003;27292;5;20030801 12:03;V;;;;;;
B;003;27512;6;20030801 12:03;;;16;ARDEN AVE;AVOCA BEACH;2251;980.1;M;20020705;20030710;620000;A;R;RESIDENCE;;FR;;0;9828787;
C;003;27512;6;20030801 12:03;631//16791;
