A;RTSALEDATA;620;20190114 01:17;VALNET;
B;620;1256541;1;20190114 01:17;;4;9;OPORTO RD;MUDGEE;2850;;;20181127;20190108;265000;;R;RESIDENCE;7;;;0;AN983889;
C;620;1256541;1;20190114 01:17;7/SP46351;
D;620;1256541;1;20190114 01:17;P;;;;;;
D;620;1256541;1;20190114 01:17;P;;;;;;
D;620;1256541;1;20190114 01:17;V;;;;;;
B;620;1261204;2;20190114 01:17;GREEN VALLEY;;221;OLD GRATTAI RD;ERUDGERE;2850;10.29;H;20181128;20190108;535000;R5;3;FARM;;RRC;;0;AN983901;
C;620;1261204;2;20190114 01:17;5/247383;
D;620;1261204;2;20190114 01:17;P;;;;;;
D;620;1261204;2;20190114 01:17;P;;;;;;
D;620;1261204;2;20190114 01:17;V;;;;;;
D;620;1261204;2;20190114 01:17;V;;;;;;
B;620;4182145;3;20190114 01:17;;;;DOUGHERTYS JUNCTION RD;HARGRAVES;2850;80.33;H;20181109;20190104;122500;;3;FARM;;;;0;AN979568;
C;620;4182145;3;20190114 01:17;59/756867;
D;620;4182145;3;20190114 01:17;P;;;;;;
D;620;4182145;3;20190114 01:17;P;;;;;;
D;620;4182145;3;20190114 01:17;P;;;;;;
D;620;4182145;3;20190114 01:17;P;;;;;;
D;620;4182145;3;20190114 01:17;V;;;;;;
D;620;4182145;3;20190114 01:17;V;;;;;;
B;620;4182190;4;20190114 01:17;;;;WOODBURN RD;MEBUL;2852;131.2;H;20181010;20181017;200000;;V;VACANT LAND;;;;0;AN945698;
C;620;4182190;4;20190114 01:17;86/750752;
D;620;4182190;4;20190114 01:17;P;;;;;;
D;620;4182190;4;20190114 01:17;V;;;;;;
B;620;4182194;5;20190114 01:17;THE ARM;;377;GROWEE RD;GROWEE;2849;412.053;H;20181031;20181122;1000000;;3;RURAL;;;;0;AN953641;
C;620;4182194;5;20190114 01:17;1/46480 1, 3, 5, 6, 7, 8, 9, 29, 51, 52, 59, 60, 77, 78, 79, 80, 81, 1;
C;620;4182194;5;20190114 01:17;31, 147, 160, 161, 198, 225, 226/755432;
D;620;4182194;5;20190114 01:17;P;;;;;;
D;620;4182194;5;20190114 01:17;P;;;;;;
D;620;4182194;5;20190114 01:17;P;;;;;;
D;620;4182194;5;20190114 01:17;V;;;;;;
B;620;4182195;6;20190114 01:17;THE BLOCK;;;GROWEE RD;GROWEE;2849;178.78;H;20181031;20181122;500000;;3;RURAL;;;;0;AN953851;
C;620;4182195;6;20190114 01:17;35, 63, 127, 140, 165, 201, 210, 211/755432;
D;620;4182195;6;20190114 01:17;P;;;;;;
D;620;4182195;6;20190114 01:17;V;;;;;;
B;620;4182197;7;20190114 01:17;;;215;BLACK LEAD LANE;GULGONG;2852;5.059;H;20181204;20181220;235000;;V;VACANT LAND;;;;0;AN959807;
C;620;4182197;7;20190114 01:17;243/755434;
D;620;4182197;7;20190114 01:17;P;;;;;;
D;620;4182197;7;20190114 01:17;P;;;;;;
D;620;4182197;7;20190114 01:17;V;;;;;;
B;620;4182199;8;20190114 01:17;;;;BLACK LEAD LANE;GULGONG;2852;2.04;H;20181112;20181221;219000;;V;VACANT LAND;;;;0;AN964253;
C;620;4182199;8;20190114 01:17;3492/1108506;
D;620;4182199;8;20190114 01:17;P;;;;;;
D;620;4182199;8;20190114 01:17;P;;;;;;
