A;RTSALEDATA;608;20250908 01:09;VALNET;
B;608;1202197;1;20250908 01:09;;;39;CEDAR DR;LLANARTH;2795;900.9;M;20250715;20250902;775000;R1;R;RESIDENCE;;AAW;;;AV386626;
C;608;1202197;1;20250908 01:09;59/868617;
D;608;1202197;1;20250908 01:09;P;;;;;;
D;608;1202197;1;20250908 01:09;P;;;;;;
D;608;1202197;1;20250908 01:09;V;;;;;;
D;608;1202197;1;20250908 01:09;V;;;;;;
B;608;1202545;2;20250908 01:09;;;11;COMMONWEALTH ST;WEST BATHURST;2795;815.7;M;20250718;20250829;555000;R2;R;RESIDENCE;;ALD;;;AV375330;
C;608;1202545;2;20250908 01:09;4/512326;
D;608;1202545;2;20250908 01:09;P;;;;;;
D;608;1202545;2;20250908 01:09;V;;;;;;
B;608;1207850;3;20250908 01:09;;;209;PEEL ST;BATHURST;2795;448.9;M;20250724;20250904;710000;R1;R;RESIDENCE;;AAC;;;AV392676;
C;608;1207850;3;20250908 01:09;1/501191;
D;608;1207850;3;20250908 01:09;P;;;;;;
D;608;1207850;3;20250908 01:09;P;;;;;;
D;608;1207850;3;20250908 01:09;V;;;;;;
B;608;1207861;4;20250908 01:09;;;163;PEEL ST;BATHURST;2795;354.9;M;20250729;20250902;350000;R1;R;RESIDENCE;;AAC;;;AV385288;
C;608;1207861;4;20250908 01:09;A/158043;
D;608;1207861;4;20250908 01:09;P;;;;;;
D;608;1207861;4;20250908 01:09;V;;;;;;
B;608;1201022;5;20250908 01:09;;;11;MOORSHEAD PL;KELSO;2795;;;20250718;20250829;455000;;R;RESIDENCE;34;;;;AV377448;
C;608;1201022;5;20250908 01:09;34/SP36581;
D;608;1201022;5;20250908 01:09;P;;;;;;
D;608;1201022;5;20250908 01:09;P;;;;;;
D;608;1201022;5;20250908 01:09;V;;;;;;
D;608;1201022;5;20250908 01:09;V;;;;;;
B;608;1206364;6;20250908 01:09;;;17;LEWINS ST;SOUTH BATHURST;2795;490.7;M;20250805;20250902;630000;R1;R;RESIDENCE;;AAS;;;AV386150;
C;608;1206364;6;20250908 01:09;B/402532;
D;608;1206364;6;20250908 01:09;P;;;;;;
D;608;1206364;6;20250908 01:09;P;;;;;;
D;608;1206364;6;20250908 01:09;V;;;;;;
D;608;1206364;6;20250908 01:09;V;;;;;;
B;608;1203883;7;20250908 01:09;;;40;GEORGE ST;BATHURST;2795;2831;M;20250805;20250829;4715000;E2;R;RESIDENCE;;EBF;;;AV375876;
C;608;1203883;7;20250908 01:09;1/610837;
D;608;1203883;7;20250908 01:09;P;;;;;;
D;608;1203883;7;20250908 01:09;V;;;;;;
B;608;2965747;8;20250908 01:09;;;9;OPAL CT;KELSO;2795;1250;M;20250807;20250903;868000;R1;R;RESIDENCE;;AAK;;;AV389388;
C;608;2965747;8;20250908 01:09;65/1049051;
D;608;2965747;8;20250908 01:09;P;;;;;;
D;608;2965747;8;20250908 01:09;P;;;;;;
D;608;2965747;8;20250908 01:09;V;;;;;;
D;608;2965747;8;20250908 01:09;V;;;;;;
B;608;4178805;9;20250908 01:09;;;23;NEWLANDS CRES;KELSO;2795;1446;M;20250520;20250829;1280000;R1;R;RESIDENCE;;AAK;;;AV377388;
C;608;4178805;9;20250908 01:09;206/1249293;
D;608;4178805;9;20250908 01:09;P;;;;;;
D;608;4178805;9;20250908 01:09;V;;;;;;
B;608;3059027;10;20250908 01:09;;;19;MARRIOTT AVE;KELSO;2795;979.6;M;20250723;20250903;935000;R1;R;RESIDENCE;;AAK;;;AV388642;
C;608;3059027;10;20250908 01:09;507/1063439;
D;608;3059027;10;20250908 01:09;P;;;;;;
D;608;3059027;10;20250908 01:09;P;;;;;;
D;608;3059027;10;20250908 01:09;V;;;;;;
B;608;4567382;11;20250908 01:09;;;366;LIMEKILNS RD;KELSO;2795;2.002;H;20250731;20250904;379000;RU1;V;VACANT LAND;;RRA;;;AV392658;
C;608;4567382;11;20250908 01:09;53/1308413;
D;608;4567382;11;20250908 01:09;P;;;;;;
D;608;4567382;11;20250908 01:09;V;;;;;;
B;608;4599314;12;20250908 01:09;;;3;YETHOLME DR;WALANG;2795;35.37;H;20250718;20250902;1050000;RU1;R;RESIDENCE;;CCA;;;AV385559;
C;608;4599314;12;20250908 01:09;42/1313899;
D;608;4599314;12;20250908 01:09;P;;;;;;
D;608;4599314;12;20250908 01:09;P;;;;;;
D;608;4599314;12;20250908 01:09;V;;;;;;
D;608;4599314;12;20250908 01:09;V;;;;;;
B;608;4548836;13;20250908 01:09;;;;GRAHAM DR;KELSO;2795;750;M;20250731;20250904;322000;R1;V;VACANT LAND;;AAK;;;AV391488;
C;608;4548836;13;20250908 01:09;191/1304669;
D;608;4548836;13;20250908 01:09;P;;;;;;
D;608;4548836;13;20250908 01:09;V;;;;;;
D;608;4548836;13;20250908 01:09;V;;;;;;
D;608;4548836;13;20250908 01:09;V;;;;;;
B;608;4548837;14;20250908 01:09;;;;GRAHAM DR;KELSO;2795;750;M;20250731;20250904;324000;R1;V;VACANT LAND;;AAK;;;AV391485;
C;608;4548837;14;20250908 01:09;192/1304669;
D;608;4548837;14;20250908 01:09;P;;;;;;
D;608;4548837;14;20250908 01:09;V;;;;;;
D;608;4548837;14;20250908 01:09;V;;;;;;
D;608;4548837;14;20250908 01:09;V;;;;;;
B;608;3179662;15;20250908 01:09;;;25;RANKIN ST;BATHURST;2795;450;M;20240730;20250901;760000;R1;R;RESIDENCE;;AAC;;;AV381143;
C;608;3179662;15;20250908 01:09;1/1082596;
D;608;3179662;15;20250908 01:09;P;;;;;;
D;608;3179662;15;20250908 01:09;V;;;;;;
B;608;3628625;16;20250908 01:09;;;44;COMMONWEALTH ST;WEST BATHURST;2795;369.21;M;20250721;20250901;435000;R1;R;RESIDENCE;;AAE;;;AV380916;
C;608;3628625;16;20250908 01:09;10/1173253;
D;608;3628625;16;20250908 01:09;P;;;;;;
D;608;3628625;16;20250908 01:09;V;;;;;;
B;608;4480509;17;20250908 01:09;;3;40;HAMPDEN PARK RD;KELSO;2795;767.9;M;20250825;20250901;170500;;V;VACANT LAND;3;;;;AV380600;
C;608;4480509;17;20250908 01:09;3/SP105950;
D;608;4480509;17;20250908 01:09;P;;;;;;
D;608;4480509;17;20250908 01:09;V;;;;;;
B;608;4304793;18;20250908 01:09;;;5 A;DARLING ST;EGLINTON;2795;433.6;M;20250724;20250904;730000;R1;R;RESIDENCE;;AAT;;;AV392256;
C;608;4304793;18;20250908 01:09;80/1265424;
D;608;4304793;18;20250908 01:09;P;;;;;;
D;608;4304793;18;20250908 01:09;P;;;;;;
D;608;4304793;18;20250908 01:09;V;;;;;;
Z;91;18;18;53;
