A;RTSALEDATA;083;20250908 01:06;VALNET;
B;083;678440;1;20250908 01:06;;;44;ALEXANDRA ST;HUNTERS HILL;2110;206.4;M;20250407;20250707;2250000;R2;R;RESIDENCE;;ECC;;;AV220332;
C;083;678440;1;20250908 01:06;1/1038248;
D;083;678440;1;20250908 01:06;P;;;;;;
D;083;678440;1;20250908 01:06;V;;;;;;
B;083;680860;2;20250908 01:06;;;6;MANNING RD;GLADESVILLE;2111;587.4;M;20250806;20250903;2230000;R2;R;RESIDENCE;;EAG;;;AV388822;
C;083;680860;2;20250908 01:06;38/C/13260;
D;083;680860;2;20250908 01:06;P;;;;;;
D;083;680860;2;20250908 01:06;V;;;;;;
D;083;680860;2;20250908 01:06;V;;;;;;
Z;11;2;2;5;
