A;RTSALEDATA;103;20191021 01:04;VALNET;
B;103;1155468;1;20191021 01:04;;1;2;HENRY FRY PL;WOONONA;2517;;;20190917;20191014;660000;;R;RESIDENCE;1;;;0;AP604143;
C;103;1155468;1;20191021 01:04;1/SP62824;
D;103;1155468;1;20191021 01:04;P;;;;;;
D;103;1155468;1;20191021 01:04;V;;;;;;
D;103;1155468;1;20191021 01:04;V;;;;;;
D;103;1155468;1;20191021 01:04;V;;;;;;
D;103;1155468;1;20191021 01:04;V;;;;;;
B;103;1160729;2;20191021 01:04;;;33;KAPOOKA AVE;DAPTO;2530;607;M;20190830;20191011;500000;R2;R;RESIDENCE;;ABA;;0;AP601337;
C;103;1160729;2;20191021 01:04;223/29165;
D;103;1160729;2;20191021 01:04;P;;;;;;
D;103;1160729;2;20191021 01:04;V;;;;;;
B;103;1163690;3;20191021 01:04;;;88;KRUGER AVE;WINDANG;2528;548.5;M;20190904;20191011;770000;R2;R;RESIDENCE;;ABD;;0;AP600038;
C;103;1163690;3;20191021 01:04;215/800954;
D;103;1163690;3;20191021 01:04;P;;;;;;
D;103;1163690;3;20191021 01:04;P;;;;;;
D;103;1163690;3;20191021 01:04;V;;;;;;
D;103;1163690;3;20191021 01:04;V;;;;;;
B;103;1155608;4;20191021 01:04;;;90;HERTFORD ST;BERKELEY;2506;632.3;M;20190724;20191014;470000;R2;R;RESIDENCE;;ABE;;0;AP604027;
C;103;1155608;4;20191021 01:04;1536/222998;
D;103;1155608;4;20191021 01:04;P;;;;;;
D;103;1155608;4;20191021 01:04;V;;;;;;
B;103;1171854;5;20191021 01:04;;;14;MOUNTAIN VIEW TCE;AVONDALE;2530;1.539;H;20190729;20191014;1675000;E4;R;RESIDENCE;;PAH;;0;AP605400;
C;103;1171854;5;20191021 01:04;4/270170;
D;103;1171854;5;20191021 01:04;P;;;;;;
D;103;1171854;5;20191021 01:04;V;;;;;;
B;103;1158363;6;20191021 01:04;;;14;ILLAWON ST;BERKELEY;2506;822;M;20190913;20191011;463000;R2;R;RESIDENCE;;ABE;;0;AP599020;
C;103;1158363;6;20191021 01:04;493/36770;
D;103;1158363;6;20191021 01:04;P;;;;;;
D;103;1158363;6;20191021 01:04;V;;;;;;
B;103;1169388;7;20191021 01:04;;;69;MARSHALL ST;DAPTO;2530;803;M;20190812;20191014;640000;R3;R;RESIDENCE;;ABT;;0;AP604444;
C;103;1169388;7;20191021 01:04;B/157844;
D;103;1169388;7;20191021 01:04;P;;;;;;
D;103;1169388;7;20191021 01:04;V;;;;;;
B;103;1172031;8;20191021 01:04;;;90;MOUNT KEIRA RD;WEST WOLLONGONG;2500;765.1;M;20190712;20191014;775000;R2;R;RESIDENCE;;AAT;;0;AP605331;
C;103;1172031;8;20191021 01:04;4/708905;
D;103;1172031;8;20191021 01:04;P;;;;;;
D;103;1172031;8;20191021 01:04;V;;;;;;
D;103;1172031;8;20191021 01:04;V;;;;;;
B;103;1169675;9;20191021 01:04;;2;35;MATTHEWS ST;WOLLONGONG;2500;;;20190828;20191009;616000;;R;RESIDENCE;2;;;0;AP594088;
C;103;1169675;9;20191021 01:04;2/SP61617;
D;103;1169675;9;20191021 01:04;P;;;;;;
D;103;1169675;9;20191021 01:04;P;;;;;;
D;103;1169675;9;20191021 01:04;V;;;;;;
B;103;1172490;10;20191021 01:04;;;58;MURPHYS AVE;KEIRAVILLE;2500;1970;M;20181010;20191010;1200000;R2;R;RESIDENCE;;AAS;;0;AP597448;
C;103;1172490;10;20191021 01:04;3/589693;
