A;RTSALEDATA;271;20201228 01:03;VALNET;
B;271;743597;1;20201228 01:03;;8;2 B;KANGAROO ST;MANLY;2095;;;20201031;20201222;923000;;R;RESIDENCE;8;;;0;AQ684391;
C;271;743597;1;20201228 01:03;8/SP2940;
D;271;743597;1;20201228 01:03;P;;;;;;
D;271;743597;1;20201228 01:03;V;;;;;;
D;271;743597;1;20201228 01:03;V;;;;;;
B;271;735674;2;20201228 01:03;;1;2 B;ASHBURNER ST;MANLY;2095;;;20201120;20201221;895000;;R;RESIDENCE;1;;;0;AQ675126;
C;271;735674;2;20201228 01:03;1/SP49702;
D;271;735674;2;20201228 01:03;P;;;;;;
D;271;735674;2;20201228 01:03;P;;;;;;
D;271;735674;2;20201228 01:03;V;;;;;;
B;271;741189;3;20201228 01:03;;2;10;EUSTACE ST;MANLY;2095;;;20201107;20201218;1005000;;R;RESIDENCE;2;;;0;AQ669557;
C;271;741189;3;20201228 01:03;2/SP422;
D;271;741189;3;20201228 01:03;P;;;;;;
D;271;741189;3;20201228 01:03;V;;;;;;
D;271;741189;3;20201228 01:03;V;;;;;;
B;271;741480;4;20201228 01:03;;9;15;FAIRLIGHT ST;FAIRLIGHT;2094;;;20201111;20201222;700000;;R;RESIDENCE;9;;;0;AQ685022;
C;271;741480;4;20201228 01:03;9/SP6457;
D;271;741480;4;20201228 01:03;P;;;;;;
D;271;741480;4;20201228 01:03;V;;;;;;
D;271;741480;4;20201228 01:03;V;;;;;;
B;271;741863;5;20201228 01:03;;;24;FRENCHS FOREST RD;SEAFORTH;2092;447.7;M;20201107;20201218;1510000;R1;R;RESIDENCE;;RAD;;0;AQ665424;
C;271;741863;5;20201228 01:03;12/12499;
D;271;741863;5;20201228 01:03;P;;;;;;
D;271;741863;5;20201228 01:03;P;;;;;;
D;271;741863;5;20201228 01:03;V;;;;;;
D;271;741863;5;20201228 01:03;V;;;;;;
