A;RTSALEDATA;259;20190520 01:06;VALNET;
B;259;338748;1;20190520 01:06;;;191;BUFF POINT AVE;BUFF POINT;2262;582.5;M;20190404;20190516;415000;R2;R;RESIDENCE;;WHE;;0;AP257745;
C;259;338748;1;20190520 01:06;9/260282;
D;259;338748;1;20190520 01:06;P;;;;;;
D;259;338748;1;20190520 01:06;V;;;;;;
B;259;330761;2;20190520 01:06;;;4;ACE CRES;TUGGERAH;2259;2023;M;20190402;20190514;2272000;IN2;3;COMMERCIAL;;WNJ;;0;AP250251;
C;259;330761;2;20190520 01:06;50/245988;
D;259;330761;2;20190520 01:06;P;;;;;;
D;259;330761;2;20190520 01:06;V;;;;;;
B;259;336076;3;20190520 01:06;;;187;BIRDWOOD DR;BLUE HAVEN;2262;809.4;M;20190411;20190516;470000;R2;R;RESIDENCE;;WWG;;0;AP256398;
C;259;336076;3;20190520 01:06;105/218002;
D;259;336076;3;20190520 01:06;P;;;;;;
D;259;336076;3;20190520 01:06;V;;;;;;
D;259;336076;3;20190520 01:06;V;;;;;;
B;259;339190;4;20190520 01:06;;;41;BUNGARY RD;NORAH HEAD;2263;815.7;M;20190306;20190513;985000;R2;R;RESIDENCE;;WHH;;0;AP248061;
C;259;339190;4;20190520 01:06;13/3/758779;
D;259;339190;4;20190520 01:06;P;;;;;;
D;259;339190;4;20190520 01:06;P;;;;;;
D;259;339190;4;20190520 01:06;V;;;;;;
D;259;339190;4;20190520 01:06;V;;;;;;
B;259;336564;5;20190520 01:06;;;5;BOMADERRY CRES;GLENNING VALLEY;2261;726.2;M;20190411;20190516;665000;R1;R;RESIDENCE;;WFE;;0;AP257579;
C;259;336564;5;20190520 01:06;10/792378;
D;259;336564;5;20190520 01:06;P;;;;;;
D;259;336564;5;20190520 01:06;V;;;;;;
D;259;336564;5;20190520 01:06;V;;;;;;
B;259;337498;6;20190520 01:06;;2;15;BRICKENDON AVE;MARDI;2259;;;20190409;20190510;385000;;R;RESIDENCE;2;;;0;AP245784;
C;259;337498;6;20190520 01:06;2/SP52502;
D;259;337498;6;20190520 01:06;P;;;;;;
D;259;337498;6;20190520 01:06;V;;;;;;
D;259;337498;6;20190520 01:06;V;;;;;;
B;259;335247;7;20190520 01:06;;;7;BELYANDO CRES;BLUE HAVEN;2262;605.8;M;20190331;20190513;475000;R1;R;RESIDENCE;;WFP;;0;AP246922;
C;259;335247;7;20190520 01:06;226/874320;
D;259;335247;7;20190520 01:06;P;;;;;;
D;259;335247;7;20190520 01:06;P;;;;;;
D;259;335247;7;20190520 01:06;V;;;;;;
B;259;337917;8;20190520 01:06;;;88;BROOKE AVE;KILLARNEY VALE;2261;474.2;M;20190307;20190510;575000;R2;R;RESIDENCE;;WGC;;0;AP243627;
C;259;337917;8;20190520 01:06;294/27040;
D;259;337917;8;20190520 01:06;P;;;;;;
D;259;337917;8;20190520 01:06;V;;;;;;
D;259;337917;8;20190520 01:06;V;;;;;;
