A;RTSALEDATA;135;20190218 01:12;VALNET;
B;135;4157911;1;20190218 01:12;;904;17;WENTWORTH PL;WENTWORTH POINT;2127;;;20150917;20190131;759200;;R;RESIDENCE;170;;;0;AP50637;
C;135;4157911;1;20190218 01:12;170/SP97390;
D;135;4157911;1;20190218 01:12;P;;;;;;
D;135;4157911;1;20190218 01:12;V;;;;;;
B;135;4157911;2;20190218 01:12;;1502;17;WENTWORTH PL;WENTWORTH POINT;2127;;;20150903;20181220;756560;;R;RESIDENCE;267;;;0;AP52567;
C;135;4157911;2;20190218 01:12;267/SP97390;
D;135;4157911;2;20190218 01:12;P;;;;;;
D;135;4157911;2;20190218 01:12;V;;;;;;
B;135;4157911;3;20190218 01:12;;1606;17;WENTWORTH PL;WENTWORTH POINT;2127;;;20150914;20190211;1378800;;R;RESIDENCE;286;;;0;AP56313;
C;135;4157911;3;20190218 01:12;286/SP97390;
D;135;4157911;3;20190218 01:12;P;;;;;;
D;135;4157911;3;20190218 01:12;P;;;;;;
D;135;4157911;3;20190218 01:12;V;;;;;;
B;135;4157911;4;20190218 01:12;;1703;17;WENTWORTH PL;WENTWORTH POINT;2127;;;20150910;20190107;997640;;R;RESIDENCE;298;;;0;AP60048;
C;135;4157911;4;20190218 01:12;298/SP97390;
D;135;4157911;4;20190218 01:12;P;;;;;;
D;135;4157911;4;20190218 01:12;V;;;;;;
B;135;4154096;5;20190218 01:12;;;3;CARTER ST;LIDCOMBE;2141;;;20181220;20190131;520000;;R;RESIDENCE;93;;;0;AP48764;
C;135;4154096;5;20190218 01:12;93/SP98202;
D;135;4154096;5;20190218 01:12;P;;;;;;
D;135;4154096;5;20190218 01:12;V;;;;;;
B;135;4175349;6;20190218 01:12;;;93;AUBURN RD;AUBURN;2144;;;20170502;20181204;595000;;R;RESIDENCE;12;;;0;AP48819;
C;135;4175349;6;20190218 01:12;12/SP97827;
D;135;4175349;6;20190218 01:12;P;;;;;;
D;135;4175349;6;20190218 01:12;V;;;;;;
B;135;4175349;7;20190218 01:12;;203;93;AUBURN RD;AUBURN;2144;;;20141115;20190206;385000;;R;RESIDENCE;18;;;0;AP47270;
C;135;4175349;7;20190218 01:12;18/SP97827;
D;135;4175349;7;20190218 01:12;P;;;;;;
D;135;4175349;7;20190218 01:12;P;;;;;;
D;135;4175349;7;20190218 01:12;V;;;;;;
B;135;4175349;8;20190218 01:12;;;93;AUBURN RD;AUBURN;2144;;;20181121;20190124;1020838;;R;RESIDENCE;110;;;0;AP58508;
C;135;4175349;8;20190218 01:12;110/SP97827;
D;135;4175349;8;20190218 01:12;P;;;;;;
D;135;4175349;8;20190218 01:12;V;;;;;;
B;135;4175349;9;20190218 01:12;;;93;AUBURN RD;AUBURN;2144;;;20181121;20190124;1042354;;R;RESIDENCE;111;;;0;AP58529;
C;135;4175349;9;20190218 01:12;111/SP97827;
D;135;4175349;9;20190218 01:12;P;;;;;;
D;135;4175349;9;20190218 01:12;V;;;;;;
B;135;4175349;10;20190218 01:12;;;93;AUBURN RD;AUBURN;2144;;;20181121;20190124;1042354;;R;RESIDENCE;211;;;0;AP58529;
C;135;4175349;10;20190218 01:12;211/SP97827;
D;135;4175349;10;20190218 01:12;P;;;;;;
D;135;4175349;10;20190218 01:12;V;;;;;;
B;135;4175349;11;20190218 01:12;;;93;AUBURN RD;AUBURN;2144;;;20181121;20190124;1020838;;R;RESIDENCE;218;;;0;AP58508;
C;135;4175349;11;20190218 01:12;218/SP97827;
D;135;4175349;11;20190218 01:12;P;;;;;;
D;135;4175349;11;20190218 01:12;V;;;;;;
B;135;4183617;12;20190218 01:12;;;7;CARTER ST;LIDCOMBE;2141;;;20181213;20190207;667000;;R;RESIDENCE;189;;;0;AP57336;
C;135;4183617;12;20190218 01:12;189/SP98716;
D;135;4183617;12;20190218 01:12;P;;;;;;
D;135;4183617;12;20190218 01:12;V;;;;;;
B;135;4183617;13;20190218 01:12;E G53;53;7;CARTER ST;LIDCOMBE;2141;;;20180817;20190201;970000;;R;RESIDENCE;4;;;0;AP44446;
C;135;4183617;13;20190218 01:12;4/SP98716;
D;135;4183617;13;20190218 01:12;P;;;;;;
D;135;4183617;13;20190218 01:12;P;;;;;;
D;135;4183617;13;20190218 01:12;V;;;;;;
B;135;4183617;14;20190218 01:12;;153;7;CARTER ST;LIDCOMBE;2141;;;20180508;20190207;632610;;R;RESIDENCE;11;;;0;AP55207;
C;135;4183617;14;20190218 01:12;11/SP98716;
D;135;4183617;14;20190218 01:12;P;;;;;;
D;135;4183617;14;20190218 01:12;V;;;;;;
B;135;4183617;15;20190218 01:12;;251;7;CARTER ST;LIDCOMBE;2141;;;20180502;20190205;839000;;R;RESIDENCE;15;;;0;AP56763;
C;135;4183617;15;20190218 01:12;15/SP98716;
D;135;4183617;15;20190218 01:12;P;;;;;;
D;135;4183617;15;20190218 01:12;V;;;;;;
B;135;4183617;16;20190218 01:12;E 456;;7;CARTER ST;LIDCOMBE;2141;;;20180613;20190201;861000;;R;RESIDENCE;31;;;0;AP49653;
C;135;4183617;16;20190218 01:12;31/SP98716;
D;135;4183617;16;20190218 01:12;P;;;;;;
D;135;4183617;16;20190218 01:12;V;;;;;;
B;135;4183617;17;20190218 01:12;E 555;;7;CARTER ST;LIDCOMBE;2141;;;20181204;20190131;774660;;R;RESIDENCE;37;;;0;AP48210;
C;135;4183617;17;20190218 01:12;37/SP98716;
D;135;4183617;17;20190218 01:12;P;;;;;;
D;135;4183617;17;20190218 01:12;P;;;;;;
D;135;4183617;17;20190218 01:12;V;;;;;;
B;135;4183617;18;20190218 01:12;E 650;;7;CARTER ST;LIDCOMBE;2141;;;20180525;20190201;1093000;;R;RESIDENCE;40;;;0;AP54692;
C;135;4183617;18;20190218 01:12;40/SP98716;
D;135;4183617;18;20190218 01:12;P;;;;;;
D;135;4183617;18;20190218 01:12;V;;;;;;
B;135;4183617;19;20190218 01:12;E 652;;7;CARTER ST;LIDCOMBE;2141;;;20180419;20190204;835000;;R;RESIDENCE;42;;;0;AP52928;
C;135;4183617;19;20190218 01:12;42/SP98716;
D;135;4183617;19;20190218 01:12;P;;;;;;
D;135;4183617;19;20190218 01:12;V;;;;;;
B;135;4183617;20;20190218 01:12;;850;7;CARTER ST;LIDCOMBE;2141;;;20180723;20190211;1111111;;R;RESIDENCE;54;;;0;AP56066;
C;135;4183617;20;20190218 01:12;54/SP98716;
D;135;4183617;20;20190218 01:12;P;;;;;;
D;135;4183617;20;20190218 01:12;V;;;;;;
B;135;4183617;21;20190218 01:12;E 1050;;7;CARTER ST;LIDCOMBE;2141;;;20180924;20190204;1108000;;R;RESIDENCE;68;;;0;AP52652;
C;135;4183617;21;20190218 01:12;68/SP98716;
D;135;4183617;21;20190218 01:12;P;;;;;;
D;135;4183617;21;20190218 01:12;V;;;;;;
B;135;4183617;22;20190218 01:12;;1051;7;CARTER ST;LIDCOMBE;2141;;;20180813;20190205;810000;;R;RESIDENCE;69;;;0;AP52676;
C;135;4183617;22;20190218 01:12;69/SP98716;
D;135;4183617;22;20190218 01:12;P;;;;;;
D;135;4183617;22;20190218 01:12;V;;;;;;
B;135;4183617;23;20190218 01:12;F G67;;7;CARTER ST;LIDCOMBE;2141;;;20180831;20190208;599000;;R;RESIDENCE;96;;;0;AP63206;
C;135;4183617;23;20190218 01:12;96/SP98716;
D;135;4183617;23;20190218 01:12;P;;;;;;
D;135;4183617;23;20190218 01:12;V;;;;;;
B;135;4183617;24;20190218 01:12;F 268;;7;CARTER ST;LIDCOMBE;2141;;;20180907;20190204;599000;;R;RESIDENCE;116;;;0;AP52818;
C;135;4183617;24;20190218 01:12;116/SP98716;
D;135;4183617;24;20190218 01:12;P;;;;;;
D;135;4183617;24;20190218 01:12;P;;;;;;
D;135;4183617;24;20190218 01:12;V;;;;;;
B;135;4183617;25;20190218 01:12;F 270;;7;CARTER ST;LIDCOMBE;2141;;;20180424;20190201;600000;;R;RESIDENCE;118;;;0;AP49612;
C;135;4183617;25;20190218 01:12;118/SP98716;
D;135;4183617;25;20190218 01:12;P;;;;;;
D;135;4183617;25;20190218 01:12;V;;;;;;
