A;RTSALEDATA;708;20190218 01:16;VALNET;
B;708;2037040;1;20190218 01:16;GATEWAY APARTMENTS;28;1;MURRAY ST;PYRMONT;2009;;;20181010;20190208;2675000;;R;RESIDENCE;28;;;0;AP50663;
C;708;2037040;1;20190218 01:16;28/SP60306;
D;708;2037040;1;20190218 01:16;P;;;;;;
D;708;2037040;1;20190218 01:16;P;;;;;;
D;708;2037040;1;20190218 01:16;V;;;;;;
B;708;2040300;2;20190218 01:16;PENFOLD HOUSE;3;86;PITT ST;SYDNEY;2000;;;20190121;20190211;1300000;;3;COMMERCIAL;3;;;0;AP55081;
C;708;2040300;2;20190218 01:16;3/SP58208;
D;708;2040300;2;20190218 01:16;P;;;;;;
D;708;2040300;2;20190218 01:16;V;;;;;;
B;708;2028499;3;20190218 01:16;OXFORD TOWERS;55;194;GOULBURN ST;SURRY HILLS;2010;;;20181218;20190208;390000;;R;RESIDENCE;55;;;0;AP52047;
C;708;2028499;3;20190218 01:16;55/SP43251;
D;708;2028499;3;20190218 01:16;P;;;;;;
D;708;2028499;3;20190218 01:16;V;;;;;;
B;708;2859417;4;20190218 01:16;;37 A;252;BOTANY RD;ALEXANDRIA;2015;;;20181129;20190211;735000;;R;RESIDENCE;37;;;0;AP53906;
C;708;2859417;4;20190218 01:16;37/SP65772;
D;708;2859417;4;20190218 01:16;P;;;;;;
D;708;2859417;4;20190218 01:16;P;;;;;;
D;708;2859417;4;20190218 01:16;V;;;;;;
D;708;2859417;4;20190218 01:16;V;;;;;;
B;708;4168292;5;20190218 01:16;;1202;38;YORK ST;SYDNEY;2000;;;20150310;20190118;529000;;R;RESIDENCE;39;;;0;AP55419;
C;708;4168292;5;20190218 01:16;39/SP98524;
D;708;4168292;5;20190218 01:16;P;;;;;;
D;708;4168292;5;20190218 01:16;V;;;;;;
B;708;4168292;6;20190218 01:16;;1407;38;YORK ST;SYDNEY;2000;;;20131116;20190123;925000;;R;RESIDENCE;59;;;0;AP58613;
C;708;4168292;6;20190218 01:16;59/SP98524;
D;708;4168292;6;20190218 01:16;P;;;;;;
D;708;4168292;6;20190218 01:16;P;;;;;;
D;708;4168292;6;20190218 01:16;V;;;;;;
B;708;4168292;7;20190218 01:16;;1407;38;YORK ST;SYDNEY;2000;;;20150408;20190123;1180000;;R;RESIDENCE;59;;;0;AP58614;
C;708;4168292;7;20190218 01:16;59/SP98524;
D;708;4168292;7;20190218 01:16;P;;;;;;
D;708;4168292;7;20190218 01:16;P;;;;;;
D;708;4168292;7;20190218 01:16;V;;;;;;
D;708;4168292;7;20190218 01:16;V;;;;;;
D;708;4168292;7;20190218 01:16;V;;;;;;
D;708;4168292;7;20190218 01:16;V;;;;;;
B;708;4168292;8;20190218 01:16;;1407;38;YORK ST;SYDNEY;2000;;;20181002;20190123;1300000;;R;RESIDENCE;59;;;0;AP58615;
C;708;4168292;8;20190218 01:16;59/SP98524;
D;708;4168292;8;20190218 01:16;P;;;;;;
D;708;4168292;8;20190218 01:16;V;;;;;;
D;708;4168292;8;20190218 01:16;V;;;;;;
D;708;4168292;8;20190218 01:16;V;;;;;;
D;708;4168292;8;20190218 01:16;V;;;;;;
B;708;4168292;9;20190218 01:16;;1505;38;YORK ST;SYDNEY;2000;;;20131116;20190204;692000;;R;RESIDENCE;64;;;0;AP52641;
C;708;4168292;9;20190218 01:16;64/SP98524;
D;708;4168292;9;20190218 01:16;P;;;;;;
D;708;4168292;9;20190218 01:16;P;;;;;;
D;708;4168292;9;20190218 01:16;V;;;;;;
B;708;4168292;10;20190218 01:16;;2404;38;YORK ST;SYDNEY;2000;;;20131210;20190131;734000;;R;RESIDENCE;122;;;0;AP47589;
C;708;4168292;10;20190218 01:16;122/SP98524;
D;708;4168292;10;20190218 01:16;P;;;;;;
D;708;4168292;10;20190218 01:16;V;;;;;;
B;708;4168292;11;20190218 01:16;;2501;38;YORK ST;SYDNEY;2000;;;20131116;20190214;635000;;R;RESIDENCE;125;;;0;AP63966;
C;708;4168292;11;20190218 01:16;125/SP98524;
D;708;4168292;11;20190218 01:16;P;;;;;;
D;708;4168292;11;20190218 01:16;V;;;;;;
B;708;4168292;12;20190218 01:16;;2805;38;YORK ST;SYDNEY;2000;;;20131116;20190130;1155000;;R;RESIDENCE;147;;;0;AP39313;
C;708;4168292;12;20190218 01:16;147/SP98524;
D;708;4168292;12;20190218 01:16;P;;;;;;
D;708;4168292;12;20190218 01:16;V;;;;;;
B;708;4168292;13;20190218 01:16;;2906;38;YORK ST;SYDNEY;2000;;;20131220;20190213;1135000;;R;RESIDENCE;154;;;0;AP60465;
C;708;4168292;13;20190218 01:16;154/SP98524;
D;708;4168292;13;20190218 01:16;P;;;;;;
D;708;4168292;13;20190218 01:16;V;;;;;;
B;708;4168292;14;20190218 01:16;;3402;38;YORK ST;SYDNEY;2000;;;20131116;20190208;2135000;;R;RESIDENCE;176;;;0;AP51977;
C;708;4168292;14;20190218 01:16;176/SP98524;
D;708;4168292;14;20190218 01:16;P;;;;;;
D;708;4168292;14;20190218 01:16;V;;;;;;
B;708;4161973;15;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;15;M;20161209;20190211;1185000;;R;RESIDENCE;5;;;0;AP53888;
C;708;4161973;15;20190218 01:16;5/SP97916;
D;708;4161973;15;20190218 01:16;P;;;;;;
D;708;4161973;15;20190218 01:16;P;;;;;;
D;708;4161973;15;20190218 01:16;V;;;;;;
B;708;4161973;16;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;13;M;20161116;20190213;1180000;;R;RESIDENCE;7;;;0;AP59240;
C;708;4161973;16;20190218 01:16;7/SP97916;
D;708;4161973;16;20190218 01:16;P;;;;;;
D;708;4161973;16;20190218 01:16;V;;;;;;
B;708;4161973;17;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;15;M;20161224;20190211;1160000;;R;RESIDENCE;8;;;0;AP53814;
C;708;4161973;17;20190218 01:16;8/SP97916;
D;708;4161973;17;20190218 01:16;P;;;;;;
D;708;4161973;17;20190218 01:16;P;;;;;;
D;708;4161973;17;20190218 01:16;P;;;;;;
D;708;4161973;17;20190218 01:16;V;;;;;;
B;708;4161973;18;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;15;M;20161216;20190211;1200000;;R;RESIDENCE;9;;;0;AP53766;
C;708;4161973;18;20190218 01:16;9/SP97916;
D;708;4161973;18;20190218 01:16;P;;;;;;
D;708;4161973;18;20190218 01:16;P;;;;;;
D;708;4161973;18;20190218 01:16;V;;;;;;
B;708;4161973;19;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;15;M;20170316;20190211;1375000;;R;RESIDENCE;12;;;0;AP53868;
C;708;4161973;19;20190218 01:16;12/SP97916;
D;708;4161973;19;20190218 01:16;P;;;;;;
D;708;4161973;19;20190218 01:16;V;;;;;;
B;708;4161973;20;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;13;M;20181010;20190208;100000;;3;CARSPACE;17;;;0;AP50987;
C;708;4161973;20;20190218 01:16;17/SP97916;
D;708;4161973;20;20190218 01:16;P;;;;;;
D;708;4161973;20;20190218 01:16;V;;;;;;
B;708;4161973;21;20190218 01:16;;;9 C;GIBBONS ST;REDFERN;2016;14;M;20170913;20190208;758000;;R;RESIDENCE;26;;;0;AP61297;
C;708;4161973;21;20190218 01:16;26/SP97916;
D;708;4161973;21;20190218 01:16;P;;;;;;
