A;RTSALEDATA;158;20251110 01:08;VALNET;
B;158;1741870;1;20251110 01:08;;;3;SMITH ST;GENEVA;2474;1214;M;20250807;20251105;560000;R1;R;RESIDENCE;;AAB;;;AV580615;
C;158;1741870;1;20251110 01:08;6/4/7628;
D;158;1741870;1;20251110 01:08;P;;;;;;
D;158;1741870;1;20251110 01:08;V;;;;;;
B;158;1743276;2;20251110 01:08;;;72;TOOLOOM ST;MALLANGANEE;2469;1201;M;20250901;20251031;485000;RU5;R;RESIDENCE;;VVG;;;AV569996;
C;158;1743276;2;20251110 01:08;75/752395;
D;158;1743276;2;20251110 01:08;P;;;;;;
D;158;1743276;2;20251110 01:08;V;;;;;;
B;158;1740747;3;20251110 01:08;;2;6;GENEVA ST;KYOGLE;2474;;;20250925;20251106;340000;;R;RESIDENCE;2;;;;AV585808;
C;158;1740747;3;20251110 01:08;2/SP16365;
D;158;1740747;3;20251110 01:08;P;;;;;;
D;158;1740747;3;20251110 01:08;V;;;;;;
D;158;1740747;3;20251110 01:08;V;;;;;;
B;158;1741014;4;20251110 01:08;;;4;BUNDOCK ST;KYOGLE;2474;938.4;M;20251007;20251031;475000;R1;R;RESIDENCE;;AAA;;;AV570775;
C;158;1741014;4;20251110 01:08;1/360774;
D;158;1741014;4;20251110 01:08;P;;;;;;
D;158;1741014;4;20251110 01:08;P;;;;;;
D;158;1741014;4;20251110 01:08;V;;;;;;
B;158;1743630;5;20251110 01:08;;;181;WARRAZAMBIL CREEK RD;LYNCHS CREEK;2474;63.81;H;20251017;20251105;1350000;RU1;R;RESIDENCE;;RRX;;;AV580350;
C;158;1743630;5;20251110 01:08;1/626324;
D;158;1743630;5;20251110 01:08;P;;;;;;
D;158;1743630;5;20251110 01:08;V;;;;;;
B;158;4362630;6;20251110 01:08;;;364;BOORABEE CREEK RD;BOORABEE PARK;2480;42.17;H;20250930;20251104;960000;RU1;R;RESIDENCE;;RRD;;;AV578705;
C;158;4362630;6;20251110 01:08;11/858528;
D;158;4362630;6;20251110 01:08;P;;;;;;
D;158;4362630;6;20251110 01:08;P;;;;;;
D;158;4362630;6;20251110 01:08;V;;;;;;
Z;29;6;6;15;
