A;RTSALEDATA;575;20191230 01:03;VALNET;
B;575;3461240;1;20191230 01:03;;;24;BINDARI AVE;GLENFIELD PARK;2650;889;M;20191127;20191220;412500;R1;R;RESIDENCE;;RCX;;0;AP794877;
C;575;3461240;1;20191230 01:03;132/1137814;
D;575;3461240;1;20191230 01:03;P;;;;;;
D;575;3461240;1;20191230 01:03;P;;;;;;
D;575;3461240;1;20191230 01:03;V;;;;;;
D;575;3461240;1;20191230 01:03;V;;;;;;
B;575;4164895;2;20191230 01:03;;;29;GASNIER LOOP;BOOROOMA;2650;681.4;M;20191218;20191220;145000;R1;V;VACANT LAND;;BRM;;0;AP794224;
C;575;4164895;2;20191230 01:03;644/1241474;
D;575;4164895;2;20191230 01:03;P;;;;;;
D;575;4164895;2;20191230 01:03;V;;;;;;
B;575;4213927;3;20191230 01:03;;;2;TURRAMIA CRES;GOBBAGOMBALIN;2650;887.8;M;20191218;20191220;170000;R1;V;VACANT LAND;;ESR;;0;AP800514;
C;575;4213927;3;20191230 01:03;96/1253593;
D;575;4213927;3;20191230 01:03;P;;;;;;
D;575;4213927;3;20191230 01:03;P;;;;;;
D;575;4213927;3;20191230 01:03;V;;;;;;
B;575;4213950;4;20191230 01:03;;;50;COPPABELLA DR;GOBBAGOMBALIN;2650;653.8;M;20191205;20191220;145000;R1;R;RESIDENCE;;ESR;;0;AP795906;
C;575;4213950;4;20191230 01:03;119/1253593;
D;575;4213950;4;20191230 01:03;P;;;;;;
D;575;4213950;4;20191230 01:03;P;;;;;;
D;575;4213950;4;20191230 01:03;V;;;;;;
B;575;4150458;5;20191230 01:03;;;100;LAKEHAVEN DR;LAKE ALBERT;2650;1988;M;20191118;20191223;450000;R5;R;RESIDENCE;;LHV;;0;AP801133;
C;575;4150458;5;20191230 01:03;23/1235752;
D;575;4150458;5;20191230 01:03;P;;;;;;
D;575;4150458;5;20191230 01:03;P;;;;;;
D;575;4150458;5;20191230 01:03;V;;;;;;
B;575;4150471;6;20191230 01:03;;;10;LAKESEND PL;LAKE ALBERT;2650;1768;M;20191211;20191220;300000;R5;V;VACANT LAND;;LHV;;0;AP793669;
C;575;4150471;6;20191230 01:03;29/1235752;
D;575;4150471;6;20191230 01:03;P;;;;;;
D;575;4150471;6;20191230 01:03;V;;;;;;
B;575;4250434;7;20191230 01:03;;;14;JADE PL;ESTELLA;2650;750.6;M;20191014;20191220;155000;R1;R;RESIDENCE;;ESN;;0;AP793217;
C;575;4250434;7;20191230 01:03;7/1254806;
D;575;4250434;7;20191230 01:03;P;;;;;;
D;575;4250434;7;20191230 01:03;P;;;;;;
D;575;4250434;7;20191230 01:03;V;;;;;;
B;575;4229721;8;20191230 01:03;;;1;JUMBUCK DR;GOBBAGOMBALIN;2650;335.4;M;20191114;20191220;385000;R1;R;RESIDENCE;;ESR;;0;AP794243;
C;575;4229721;8;20191230 01:03;3/286844;
D;575;4229721;8;20191230 01:03;P;;;;;;
