A;RTSALEDATA;062;20190121 01:10;VALNET;
B;062;4184035;1;20190121 01:10;;;;LEAHYS LANE;JERILDERIE;2716;2.442;H;20180806;20181126;1675;;V;VACANT LAND;;;;0;AN931899;
C;062;4184035;1;20190121 01:10;1/1247894;
D;062;4184035;1;20190121 01:10;P;;;;;;
D;062;4184035;1;20190121 01:10;P;;;;;;
D;062;4184035;1;20190121 01:10;V;;;;;;
B;062;4184038;2;20190121 01:10;;;;OLD URANA RD;JERILDERIE;2716;32.945;H;20180503;20180919;22268;;V;VACANT LAND;;;;0;AN941101;
C;062;4184038;2;20190121 01:10;1, 2, 3, 4, 5, 6/1244680;
D;062;4184038;2;20190121 01:10;P;;;;;;
D;062;4184038;2;20190121 01:10;V;;;;;;
B;062;535779;3;20190121 01:10;;;45;MAHONGA ST;JERILDERIE;2716;1013;M;20181204;20190115;150000;RU5;R;RESIDENCE;;ZA1;;0;AN996851;
C;062;535779;3;20190121 01:10;1/348360;
D;062;535779;3;20190121 01:10;P;;;;;;
D;062;535779;3;20190121 01:10;P;;;;;;
D;062;535779;3;20190121 01:10;V;;;;;;
Z;16;3;3;8;
