A;RTSALEDATA;222;20191209 01:02;VALNET;
B;222;2472774;1;20191209 01:02;;;;FORD ST;RYDAL;2790;758.8;M;20191011;20191203;10000;RU5;V;VACANT LAND;;ZRY;;0;AP734639;
C;222;2472774;1;20191209 01:02;2/951705;
D;222;2472774;1;20191209 01:02;P;;;;;;
D;222;2472774;1;20191209 01:02;V;;;;;;
B;222;2465557;2;20191209 01:02;;;38;HASSANS WALLS RD;LITHGOW;2790;1226.52;M;20191112;20191205;584000;R1;R;RESIDENCE;;AAA;;0;AP739384;
C;222;2465557;2;20191209 01:02;149/8229;
D;222;2465557;2;20191209 01:02;P;;;;;;
D;222;2465557;2;20191209 01:02;P;;;;;;
D;222;2465557;2;20191209 01:02;V;;;;;;
B;222;2465599;3;20191209 01:02;;;128;HASSANS WALLS RD;LITHGOW;2790;822;M;20191113;20191205;500000;R1;R;RESIDENCE;;AAA;;0;AP740588;
C;222;2465599;3;20191209 01:02;24/5255;
D;222;2465599;3;20191209 01:02;P;;;;;;
D;222;2465599;3;20191209 01:02;V;;;;;;
B;222;2463841;4;20191209 01:02;;;6;BEAUFORT ST;LITTLETON;2790;682.9;M;20191024;20191205;403000;R1;R;RESIDENCE;;AAL;;0;AP740680;
C;222;2463841;4;20191209 01:02;20/J/19972;
D;222;2463841;4;20191209 01:02;P;;;;;;
D;222;2463841;4;20191209 01:02;P;;;;;;
D;222;2463841;4;20191209 01:02;V;;;;;;
D;222;2463841;4;20191209 01:02;V;;;;;;
B;222;2466504;5;20191209 01:02;;;34;LITHGOW ST;LITHGOW;2790;499.5;M;20191015;20191203;340000;B4;R;RESIDENCE;;BFC;;0;AP732621;
C;222;2466504;5;20191209 01:02;4/A/4070;
D;222;2466504;5;20191209 01:02;P;;;;;;
D;222;2466504;5;20191209 01:02;P;;;;;;
D;222;2466504;5;20191209 01:02;V;;;;;;
B;222;1281242;6;20191209 01:02;WARRUGA;;313;NOOLA RD;BOGEE;2849;43.49;H;20190719;20191202;690000;RU1;R;RESIDENCE;;NRM;;0;AP727648;
C;222;1281242;6;20191209 01:02;3/804669;
D;222;1281242;6;20191209 01:02;P;;;;;;
D;222;1281242;6;20191209 01:02;P;;;;;;
D;222;1281242;6;20191209 01:02;V;;;;;;
B;222;3159979;7;20191209 01:02;;;16;ROBERTSON ST;BOWENFELS;2790;972.5;M;20191031;20191129;650000;R2;R;RESIDENCE;;AAS;;0;AP723146;
C;222;3159979;7;20191209 01:02;407/1079446;
D;222;3159979;7;20191209 01:02;P;;;;;;
D;222;3159979;7;20191209 01:02;P;;;;;;
D;222;3159979;7;20191209 01:02;V;;;;;;
D;222;3159979;7;20191209 01:02;V;;;;;;
B;222;3332870;8;20191209 01:02;;;18;SIDEY PL;WALLERAWANG;2845;798;M;20191023;20191204;117000;R2;V;VACANT LAND;;AWA;;0;AP737532;
C;222;3332870;8;20191209 01:02;118/1115190;
D;222;3332870;8;20191209 01:02;P;;;;;;
D;222;3332870;8;20191209 01:02;V;;;;;;
D;222;3332870;8;20191209 01:02;V;;;;;;
B;222;3939956;9;20191209 01:02;;;EXELSIOR Q;MCDONALDS HOLE RD;ROUND SWAMP;2846;20.23;H;20190117;20190902;152626;;3;COMMERCIAL(111/75575;;;;0;AP507022;
C;222;3939956;9;20191209 01:02;111/755757;
D;222;3939956;9;20191209 01:02;P;;;;;;
D;222;3939956;9;20191209 01:02;V;;;;;;
Z;46;9;9;26;
