A;001;20011109 11:28;CDIXON;
B;001;160;1;20011109 11:28;;;105;ABERDARE RD;ABERDARE;2325;735.7;M;20010420;20010517;27500;A;V;VACANT LAND;;GA;AV;;7801855;
C;001;160;1;20011109 11:28;1//812615;
D;001;160;1;20011109 11:28;P;;;;;;
D;001;160;1;20011109 11:28;P;;;;;;
D;001;160;1;20011109 11:28;V;;;;;;
B;001;848;2;20011109 11:28;;;75;GRETA ST;ABERDARE;2325;482.3;M;20010614;20010707;69000;A;R;RESIDENCE;;GA;AC;;7845931;
C;001;848;2;20011109 11:28;1//848506;
D;001;848;2;20011109 11:28;P;;;;;;
D;001;848;2;20011109 11:28;V;;;;;;
D;001;848;2;20011109 11:28;V;;;;;;
B;001;853;3;20011109 11:28;;;51;HALL ST;CESSNOCK;2325;404.7;M;20010710;20010821;105000;A;R;RESIDENCE;;GB;AC;;7892341;
C;001;853;3;20011109 11:28;B//343654;
D;001;853;3;20011109 11:28;P;;;;;;
D;001;853;3;20011109 11:28;V;;;;;;
B;001;908;4;20011109 11:28;;;17;HARRIS ST;CESSNOCK;2325;;;20010618;20010726;68000;A;R;RESIDENCE;;GB;AC;;7838690;
C;001;908;4;20011109 11:28;5/G/4805;
D;001;908;4;20011109 11:28;P;;;;;;
D;001;908;4;20011109 11:28;V;;;;;;
B;001;1276;5;20011109 11:28;;;7;MULBRING ST;CESSNOCK;2325;684;M;20000601;20001214;32500;A;V;VACANT LAND;;GA;AV;;7842343;
C;001;1276;5;20011109 11:28;3//1020145;
D;001;1276;5;20011109 11:28;P;;;;;;
D;001;1276;5;20011109 11:28;V;;;;;;
B;001;1435;6;20011109 11:28;;;151;NORTHCOTE ST;ABERDARE;2325;796.7;M;20010704;20010810;65000;A;R;RESIDENCE;;GA;AC;;7890044;
C;001;1435;6;20011109 11:28;371//755215;
D;001;1435;6;20011109 11:28;P;;;;;;
D;001;1435;6;20011109 11:28;P;;;;;;
D;001;1435;6;20011109 11:28;V;;;;;;
B;001;1681;7;20011109 11:28;;;129;RAWSON ST;ABERDARE;2325;;;20010706;20010727;62000;A;R;RESIDENCE;;GA;AC;;7859018;
C;001;1681;7;20011109 11:28;7/35/758002;
