A;002;20010822 13:30;CDIXON;
B;002;20842;1;20010822 13:30;;;;DUKE ST;CLARENCE TOWN;2321;1069;M;20010306;20010412;187000;A;R;;;AC;;;7570787;
C;002;20842;1;20010822 13:30;112//1007410;
D;002;20842;1;20010822 13:30;P;;;;;;
D;002;20842;1;20010822 13:30;V;;;;;;
D;002;20842;1;20010822 13:30;V;;;;;;
B;002;20994;2;20010822 13:30;;;24;LOWE ST;CLARENCE TOWN;2321;2023;M;20010420;20010525;150000;A;R;;;AC;;;7653545;
C;002;20994;2;20010822 13:30;15/21/758250;
D;002;20994;2;20010822 13:30;P;;;;;;
D;002;20994;2;20010822 13:30;V;;;;;;
D;002;20994;2;20010822 13:30;V;;;;;;
B;002;21205;3;20010822 13:30;;;26;ABBOTT LANE;DUNGOG;2420;822;M;20010328;20010509;26000;A;V;;;AD;;;7608076;
C;002;21205;3;20010822 13:30;4//239529;
D;002;21205;3;20010822 13:30;P;;;;;;
D;002;21205;3;20010822 13:30;P;;;;;;
D;002;21205;3;20010822 13:30;V;;;;;;
B;002;21263;4;20010822 13:30;;;82;ABELARD ST;DUNGOG;2420;758.8;M;20010128;20010128;0;A;R;;;AD;;;7573417;
C;002;21263;4;20010822 13:30;1//9390;
D;002;21263;4;20010822 13:30;P;;;;;;
D;002;21263;4;20010822 13:30;V;;;;;;
D;002;21263;4;20010822 13:30;V;;;;;;
B;002;21382;5;20010822 13:30;;;46;CHAPMAN ST;DUNGOG;2420;973.8;M;20001214;20010314;115000;A;R;;;AD;;;7607642;
C;002;21382;5;20010822 13:30;1//798280;
D;002;21382;5;20010822 13:30;P;;;;;;
D;002;21382;5;20010822 13:30;P;;;;;;
D;002;21382;5;20010822 13:30;V;;;;;;
B;002;21412;6;20010822 13:30;;;77;CHAPMAN ST;DUNGOG;2420;502.8;M;20010420;20010523;97500;A;R;;;AD;;;7652167;
C;002;21412;6;20010822 13:30;10//586614;
D;002;21412;6;20010822 13:30;P;;;;;;
D;002;21412;6;20010822 13:30;P;;;;;;
D;002;21412;6;20010822 13:30;V;;;;;;
B;002;21510;7;20010822 13:30;;;;DOWLING ST;DUNGOG;2420;122.1;M;20000630;20000630;45000;B;3;COMMERCIAL ;;BA;;;7589002;
C;002;21510;7;20010822 13:30;2//20610;
D;002;21510;7;20010822 13:30;P;;;;;;
D;002;21510;7;20010822 13:30;V;;;;;;
D;002;21510;7;20010822 13:30;V;;;;;;
B;002;21598;8;20010822 13:30;;;;ELOIZA ST;DUNGOG;2420;965.1;M;20010319;20010514;106000;A;R;;;AD;;;7641556;
C;002;21598;8;20010822 13:30;4//578893;
D;002;21598;8;20010822 13:30;P;;;;;;
D;002;21598;8;20010822 13:30;V;;;;;;
B;002;21764;9;20010822 13:30;;;;HOOKE ST;DUNGOG;2420;1201;M;20010306;20010409;84500;A;3;NULL;;AD;;;7584649;
C;002;21764;9;20010822 13:30;1//199264;
D;002;21764;9;20010822 13:30;P;;;;;;
D;002;21764;9;20010822 13:30;V;;;;;;
B;002;21810;10;20010822 13:30;;;;HOSPITAL RD;DUNGOG;2420;5489;M;20010420;20010516;155000;A;R;;;AD;;;7648374;
C;002;21810;10;20010822 13:30;196//752457;
D;002;21810;10;20010822 13:30;P;;;;;;
D;002;21810;10;20010822 13:30;P;;;;;;
D;002;21810;10;20010822 13:30;V;;;;;;
D;002;21810;10;20010822 13:30;V;;;;;;
B;002;21999;11;20010822 13:30;;;76;MARY ST;DUNGOG;2420;2023;M;20010409;20010504;86000;A;R;;;AD;;;7595456;
C;002;21999;11;20010822 13:30;6/26/758366;
D;002;21999;11;20010822 13:30;P;;;;;;
D;002;21999;11;20010822 13:30;P;;;;;;
D;002;21999;11;20010822 13:30;V;;;;;;
D;002;21999;11;20010822 13:30;V;;;;;;
B;002;22465;12;20010822 13:30;;;75;DURHAM RD;EAST GRESFORD;2311;809.4;M;20010430;20010430;0;A;R;;;AG;;;7589153;
C;002;22465;12;20010822 13:30;1//197326;
D;002;22465;12;20010822 13:30;P;;;;;;
D;002;22465;12;20010822 13:30;V;;;;;;
B;002;22656;13;20010822 13:30;;;;LOSTOCK RD HOUSE NO: LOT 3;GRESFORD;2311;3421;M;20010508;20010508;0;A;R;;;AG;;;7591877;
C;002;22656;13;20010822 13:30;3//553941;
D;002;22656;13;20010822 13:30;P;;;;;;
D;002;22656;13;20010822 13:30;V;;;;;;
B;002;22931;14;20010822 13:30;;;;BLACK ROCK RD;MARTINS CREEK;2420;6.199;H;20010405;20010517;115000;R;R;;;RH;;;7636066;
C;002;22931;14;20010822 13:30;1536//814696;
D;002;22931;14;20010822 13:30;P;;;;;;
D;002;22931;14;20010822 13:30;P;;;;;;
D;002;22931;14;20010822 13:30;V;;;;;;
B;002;23317;15;20010822 13:30;;;;;;;4.14;H;20010327;20010501;215000;R;V;;;RH;;;7611151;
C;002;23317;15;20010822 13:30;71//630102;
D;002;23317;15;20010822 13:30;P;;;;;;
D;002;23317;15;20010822 13:30;P;;;;;;
D;002;23317;15;20010822 13:30;V;;;;;;
B;002;23482;16;20010822 13:30;;;813;PINEBRUSH RD;ALISON;2420;56.31;H;20010430;20010430;0;R;3;FARM ;;RR;;;7594334;
C;002;23482;16;20010822 13:30;45//6253 1//329165 4//875842;
D;002;23482;16;20010822 13:30;P;;;;;;
D;002;23482;16;20010822 13:30;V;;;;;;
B;002;23558;17;20010822 13:30;;;;;;;3.207;H;20010329;20010329;0;R;R;;;RH;;;7634517;
C;002;23558;17;20010822 13:30;1//338704;
D;002;23558;17;20010822 13:30;P;;;;;;
D;002;23558;17;20010822 13:30;P;;;;;;
D;002;23558;17;20010822 13:30;P;;;;;;
B;002;23672;18;20010822 13:30;;;;;;;101.1;H;20010329;20010329;135000;R;3;FARM ;;RS;;;7625619;
C;002;23672;18;20010822 13:30;9//4321 1//170953;
D;002;23672;18;20010822 13:30;P;;;;;;
D;002;23672;18;20010822 13:30;P;;;;;;
D;002;23672;18;20010822 13:30;P;;;;;;
D;002;23672;18;20010822 13:30;V;;;;;;
D;002;23672;18;20010822 13:30;V;;;;;;
B;002;24282;19;20010822 13:30;;;;FOSTERTON RD;DUNGOG;2420;13.65;H;20010516;20010516;0;R;3;NULL;;RC;;;7615680;
C;002;24282;19;20010822 13:30;1//591921;
D;002;24282;19;20010822 13:30;P;;;;;;
D;002;24282;19;20010822 13:30;P;;;;;;
D;002;24282;19;20010822 13:30;V;;;;;;
B;002;24306;20;20010822 13:30;;;;;;;10.22;H;20000915;20000915;0;R;3;;;RC;;;7165074;
C;002;24306;20;20010822 13:30;3, 4//1016811;
D;002;24306;20;20010822 13:30;P;;;;;;
D;002;24306;20;20010822 13:30;P;;;;;;
D;002;24306;20;20010822 13:30;P;;;;;;
D;002;24306;20;20010822 13:30;V;;;;;;
B;002;24668;21;20010822 13:30;;;64;WILLIAMS RIVER CL;CLARENCE TOWN;2321;6.214;H;20010321;20010525;0;R;3;HOBBY FARM ;;RP;;;7655625;
C;002;24668;21;20010822 13:30;4//791047;
D;002;24668;21;20010822 13:30;P;;;;;;
D;002;24668;21;20010822 13:30;P;;;;;;
D;002;24668;21;20010822 13:30;V;;;;;;
D;002;24668;21;20010822 13:30;V;;;;;;
B;002;24721;22;20010822 13:30;;;27;ANGELA CL;CLARENCE TOWN;2321;2.8;H;20010329;20010515;175000;R;R;;;RB;;;7621814;
C;002;24721;22;20010822 13:30;2//800829;
D;002;24721;22;20010822 13:30;P;;;;;;
D;002;24721;22;20010822 13:30;P;;;;;;
D;002;24721;22;20010822 13:30;V;;;;;;
B;002;24822;23;20010822 13:30;;;9;ERRINGHI ST;CLARENCE TOWN;2321;9371;M;20010206;20010323;180000;R;R;;;RA;;;7582951;
C;002;24822;23;20010822 13:30;80//262192;
D;002;24822;23;20010822 13:30;P;;;;;;
D;002;24822;23;20010822 13:30;P;;;;;;
D;002;24822;23;20010822 13:30;V;;;;;;
B;002;25114;24;20010822 13:30;;;3573;CLARENCETOWN RD;BROOKFIELD;2420;3.078;H;20010410;20010508;228000;R;R;;;RB;;;7599602;
C;002;25114;24;20010822 13:30;31//789514;
D;002;25114;24;20010822 13:30;P;;;;;;
D;002;25114;24;20010822 13:30;P;;;;;;
D;002;25114;24;20010822 13:30;V;;;;;;
D;002;25114;24;20010822 13:30;V;;;;;;
B;002;25153;25;20010822 13:30;;;1154;EAST SEAHAM RD;CLARENCE TOWN;2321;4.503;H;20010214;20010316;231000;R;R;;;RB;RR;;7500076;
C;002;25153;25;20010822 13:30;52//740432;
D;002;25153;25;20010822 13:30;P;;;;;;
D;002;25153;25;20010822 13:30;V;;;;;;
B;002;25172;26;20010822 13:30;;;698;LIMEBURNERS CREEK RD;CLARENCE TOWN;2321;4.976;H;20010418;20010508;260000;R;R;;;RB;;;7604560;
C;002;25172;26;20010822 13:30;103//622588;
D;002;25172;26;20010822 13:30;P;;;;;;
D;002;25172;26;20010822 13:30;P;;;;;;
D;002;25172;26;20010822 13:30;V;;;;;;
B;002;2825010;27;20010822 13:30;;;;FISHERS HILL;VACY;2421;88.03;H;20001018;20001018;0;R;V;;;RD;;;7566950;
C;002;2825010;27;20010822 13:30;52//259693;
B;002;2825031;28;20010822 13:30;KARINGAL;;;SALISBURY RD;BENDOLBA;2420;192.86;H;20010108;20010216;800000;R;3;FARM;;RS;;;7426306;
C;002;2825031;28;20010822 13:30;50//753201 1//829408;
D;002;2825031;28;20010822 13:30;P;;;;;;
Z;138;28;28;80;
