A;007;20011109 10:42;CDIXON;
B;007;195379;1;20011109 10:42;;;;;MUSWELLBROOK;2333;40.58;H;20010710;20010730;100000;R;V;VACANT LAND;;RL;RV;;7847531;
C;007;195379;1;20011109 10:42;312//609634;
D;007;195379;1;20011109 10:42;P;;;;;;
D;007;195379;1;20011109 10:42;P;;;;;;
D;007;195379;1;20011109 10:42;V;;;;;;
B;007;195595;2;20011109 10:42;;;6;BRIGHT ST;DENMAN;2328;1467;M;20010703;20010815;146000;A;R;RESIDENCE;;DG;AC;;7864698;
C;007;195595;2;20011109 10:42;14/31/758351;
D;007;195595;2;20011109 10:42;P;;;;;;
D;007;195595;2;20011109 10:42;P;;;;;;
D;007;195595;2;20011109 10:42;V;;;;;;
D;007;195595;2;20011109 10:42;V;;;;;;
B;007;195641;3;20011109 10:42;;;10;FANTANA WAY;DENMAN;2328;703.3;M;20010604;20010704;100000;A;R;RESIDENCE;;DG;AC;;7818759;
C;007;195641;3;20011109 10:42;13//264521;
D;007;195641;3;20011109 10:42;P;;;;;;
D;007;195641;3;20011109 10:42;V;;;;;;
D;007;195641;3;20011109 10:42;V;;;;;;
B;007;196004;4;20011109 10:42;;;63;PAXTON ST;DENMAN;2328;996.4;M;20010618;20010629;25000;A;R;RESIDENCE;;DG;AC;;7864069;
C;007;196004;4;20011109 10:42;783//622476;
D;007;196004;4;20011109 10:42;P;;;;;;
D;007;196004;4;20011109 10:42;P;;;;;;
D;007;196004;4;20011109 10:42;V;;;;;;
D;007;196004;4;20011109 10:42;V;;;;;;
D;007;196004;4;20011109 10:42;V;;;;;;
D;007;196004;4;20011109 10:42;V;;;;;;
B;007;196638;5;20011109 10:42;;;;;MUSWELLBROOK;2333;47.9;H;20010607;20010810;1150000;P;3;FARM/RURAL;;RD;MC;;7881978;
C;007;196638;5;20011109 10:42;1453//628493;
D;007;196638;5;20011109 10:42;P;;;;;;
D;007;196638;5;20011109 10:42;P;;;;;;
D;007;196638;5;20011109 10:42;P;;;;;;
D;007;196638;5;20011109 10:42;P;;;;;;
D;007;196638;5;20011109 10:42;V;;;;;;
D;007;196638;5;20011109 10:42;V;;;;;;
B;007;196962;6;20011109 10:42;;;;;MUSWELLBROOK;2333;128.2;H;20010709;20010812;155000;R;3;LAND AND IMPR;;RJ;RR;;7853399;
C;007;196962;6;20011109 10:42;13//842072;
D;007;196962;6;20011109 10:42;P;;;;;;
D;007;196962;6;20011109 10:42;P;;;;;;
D;007;196962;6;20011109 10:42;V;;;;;;
B;007;197056;7;20011109 10:42;;;63;ABERDEEN ST;MUSWELLBROOK;2333;670.3;M;20010702;20010813;103500;A;R;RESIDENCE;;AN;AC;;7864980;
C;007;197056;7;20011109 10:42;9//38246;
D;007;197056;7;20011109 10:42;P;;;;;;
D;007;197056;7;20011109 10:42;P;;;;;;
D;007;197056;7;20011109 10:42;V;;;;;;
D;007;197056;7;20011109 10:42;V;;;;;;
B;007;197134;8;20011109 10:42;;;65;ACACIA DR;MUSWELLBROOK;2333;648;M;20010713;20010803;150000;A;R;RESIDENCE;;AL;AC;;7889328;
C;007;197134;8;20011109 10:42;4077//794059;
D;007;197134;8;20011109 10:42;P;;;;;;
D;007;197134;8;20011109 10:42;P;;;;;;
D;007;197134;8;20011109 10:42;V;;;;;;
D;007;197134;8;20011109 10:42;V;;;;;;
B;007;197362;9;20011109 10:42;;;18;BEECH ST;MUSWELLBROOK;2333;720.7;M;20010705;20010731;80000;A;R;RESIDENCE;;AL;AC;;7830885;
C;007;197362;9;20011109 10:42;1064//262816;
D;007;197362;9;20011109 10:42;P;;;;;;
D;007;197362;9;20011109 10:42;P;;;;;;
D;007;197362;9;20011109 10:42;V;;;;;;
D;007;197362;9;20011109 10:42;V;;;;;;
B;007;198036;10;20011109 10:42;;;1;CASUARINA CL;MUSWELLBROOK;2333;660;M;20010705;20010815;190000;A;3;FLATS;;AL;XA;;7869539;
C;007;198036;10;20011109 10:42;2028//263131;
D;007;198036;10;20011109 10:42;P;;;;;;
D;007;198036;10;20011109 10:42;P;;;;;;
D;007;198036;10;20011109 10:42;V;;;;;;
B;007;198134;11;20011109 10:42;;;34;CLARET AVE;MUSWELLBROOK;2333;1042;M;20010711;20010817;55000;A;V;VACANT LAND;;AM;AV;;7888780;
