A;001;20011203 12:56;CDIXON;
B;001;3;1;20011203 12:56;;;186;ABERDARE RD;ABERDARE;2325;1012;M;20011022;20011116;74500;A;R;RESIDENCE;;GA;;;8152323;
C;001;3;1;20011203 12:56;44//755215;
D;001;3;1;20011203 12:56;P;;;;;;
D;001;3;1;20011203 12:56;P;;;;;;
D;001;3;1;20011203 12:56;V;;;;;;
B;001;48;2;20011203 12:56;;;108;ABERDARE RD;ABERDARE;2325;1012;M;20011004;20011115;120000;A;R;RESIDENCE;;GA;;;8129132;
C;001;48;2;20011203 12:56;12/38/758002;
D;001;48;2;20011203 12:56;P;;;;;;
D;001;48;2;20011203 12:56;P;;;;;;
D;001;48;2;20011203 12:56;V;;;;;;
D;001;48;2;20011203 12:56;V;;;;;;
B;001;238;3;20011203 12:56;;;18;CABERNET GR;CESSNOCK;2325;781.9;M;20010913;20011017;45000;A;V;VACANT LAND;;GS;;;8079151;
C;001;238;3;20011203 12:56;315//1002052;
D;001;238;3;20011203 12:56;P;;;;;;
D;001;238;3;20011203 12:56;V;;;;;;
B;001;246;4;20011203 12:56;;;2;CABERNET GR;CESSNOCK;2325;824.4;M;20010824;20010926;240000;A;R;RESIDENCE;;GS;;;8110466;
C;001;246;4;20011203 12:56;307//1002052;
D;001;246;4;20011203 12:56;P;;;;;;
D;001;246;4;20011203 12:56;P;;;;;;
D;001;246;4;20011203 12:56;V;;;;;;
B;001;912;5;20011203 12:56;;;25;HARRIS ST;CESSNOCK;2325;;;20010908;20011019;90000;A;R;RESIDENCE;;GB;AC;;8058365;
C;001;912;5;20011203 12:56;32/D/4528;
D;001;912;5;20011203 12:56;P;;;;;;
D;001;912;5;20011203 12:56;P;;;;;;
D;001;912;5;20011203 12:56;V;;;;;;
B;001;1112;6;20011203 12:56;;;2;SIXTH ST;CESSNOCK;2325;809.4;M;20010829;20011026;65000;A;R;RESIDENCE;;GB;;;8129973;
C;001;1112;6;20011203 12:56;1/G/4308;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;P;;;;;;
D;001;1112;6;20011203 12:56;V;;;;;;
B;001;1275;7;20011203 12:56;;;9;MULBRING ST;CESSNOCK;2325;684;M;20010814;20011024;33000;A;V;VACANT LAND;;GA;;;8089499;
C;001;1275;7;20011203 12:56;2//1020145;
D;001;1275;7;20011203 12:56;P;;;;;;
D;001;1275;7;20011203 12:56;P;;;;;;
D;001;1275;7;20011203 12:56;P;;;;;;
D;001;1275;7;20011203 12:56;V;;;;;;
B;001;1276;8;20011203 12:56;;;7;MULBRING ST;CESSNOCK;2325;684;M;20010814;20011017;33000;A;R;RESIDENCE;;GA;;;8101557;
C;001;1276;8;20011203 12:56;3//1020145;
D;001;1276;8;20011203 12:56;P;;;;;;
D;001;1276;8;20011203 12:56;P;;;;;;
D;001;1276;8;20011203 12:56;P;;;;;;
D;001;1276;8;20011203 12:56;V;;;;;;
B;001;1440;9;20011203 12:56;;;161;NORTHCOTE ST;ABERDARE;2325;935.8;M;20011009;20011101;165000;A;R;RESIDENCE;;GA;;;8107000;
C;001;1440;9;20011203 12:56;376//755215;
D;001;1440;9;20011203 12:56;P;;;;;;
D;001;1440;9;20011203 12:56;P;;;;;;
D;001;1440;9;20011203 12:56;V;;;;;;
B;001;1518;10;20011203 12:56;;;;QUARRYBYLONG ST;CESSNOCK;2325;449.4;M;20011004;20011115;31000;A;V;VACANT LAND;;GB;;;8122582;
C;001;1518;10;20011203 12:56;72//1018252;
D;001;1518;10;20011203 12:56;P;;;;;;
D;001;1518;10;20011203 12:56;P;;;;;;
D;001;1518;10;20011203 12:56;V;;;;;;
B;001;1555;11;20011203 12:56;;;134;RAWSON ST;ABERDARE;2325;;;20010917;20011029;67500;A;R;RESIDENCE;;GA;;;8079597;
C;001;1555;11;20011203 12:56;14/34/758002;
D;001;1555;11;20011203 12:56;P;;;;;;
D;001;1555;11;20011203 12:56;P;;;;;;
D;001;1555;11;20011203 12:56;V;;;;;;
D;001;1555;11;20011203 12:56;V;;;;;;
B;001;1782;12;20011203 12:56;;;36;VERNON ST;CESSNOCK;2325;;;20011030;20011122;50000;A;R;RESIDENCE;;GA;;;8148230;
C;001;1782;12;20011203 12:56;A//382225;
D;001;1782;12;20011203 12:56;P;;;;;;
D;001;1782;12;20011203 12:56;P;;;;;;
D;001;1782;12;20011203 12:56;V;;;;;;
D;001;1782;12;20011203 12:56;V;;;;;;
B;001;1998;13;20011203 12:56;;;9;ARMIDALE ST;ABERMAIN;2326;729.2;M;20010921;20011023;77000;A;R;RESIDENCE;;HA;;;8079761;
C;001;1998;13;20011203 12:56;91//808066;
D;001;1998;13;20011203 12:56;P;;;;;;
D;001;1998;13;20011203 12:56;V;;;;;;
B;001;2096;14;20011203 12:56;;;155;CESSNOCK RD;ABERMAIN;2326;;;20011018;20011105;95000;A;R;RESIDENCE;;HA;;;8101750;
C;001;2096;14;20011203 12:56;18/A/4748;
D;001;2096;14;20011203 12:56;P;;;;;;
D;001;2096;14;20011203 12:56;P;;;;;;
D;001;2096;14;20011203 12:56;V;;;;;;
B;001;2293;15;20011203 12:56;;;17;ELIZABETH ST;ABERMAIN;2326;551.2;M;20010910;20011029;84500;A;R;RESIDENCE;;HA;;;8093956;
C;001;2293;15;20011203 12:56;1//727402;
D;001;2293;15;20011203 12:56;P;;;;;;
D;001;2293;15;20011203 12:56;P;;;;;;
D;001;2293;15;20011203 12:56;V;;;;;;
B;001;2403;16;20011203 12:56;;;61;HARLE ST;ABERMAIN;2326;;;20010720;20010831;63000;A;R;RESIDENCE;;HA;AC;;8055459;
C;001;2403;16;20011203 12:56;61/F/4748;
D;001;2403;16;20011203 12:56;P;;;;;;
D;001;2403;16;20011203 12:56;V;;;;;;
B;001;2429;17;20011203 12:56;;;119;HARLE ST;ABERMAIN;2326;;;20010625;20010705;75000;A;R;RESIDENCE;;HA;;;8106425;
C;001;2429;17;20011203 12:56;29, 30/F/4748;
D;001;2429;17;20011203 12:56;P;;;;;;
D;001;2429;17;20011203 12:56;P;;;;;;
D;001;2429;17;20011203 12:56;V;;;;;;
B;001;2539;18;20011203 12:56;;;16;LISMORE ST;ABERMAIN;2326;;;20010910;20011022;90000;A;R;RESIDENCE;;HA;;;8153313;
C;001;2539;18;20011203 12:56;3/26/758004;
D;001;2539;18;20011203 12:56;P;;;;;;
D;001;2539;18;20011203 12:56;V;;;;;;
D;001;2539;18;20011203 12:56;V;;;;;;
