A;004;20011203 12:58;CDIXON;
B;004;95986;1;20011203 12:58;;;81;ALEXANDER PDE;ARCADIA VALE;2283;626;M;20010919;20011024;450000;A;R;RESIDENCE;;MB;AC;;8094512;
C;004;95986;1;20011203 12:58;93//13129;
D;004;95986;1;20011203 12:58;P;;;;;;
D;004;95986;1;20011203 12:58;V;;;;;;
B;004;95991;2;20011203 12:58;;;89;ALEXANDER PDE;ARCADIA VALE;2283;739.8;M;20010815;20010914;312500;A;V;VACANT LAND;;MB;AV;;8075333;
C;004;95991;2;20011203 12:58;97//13129;
D;004;95991;2;20011203 12:58;P;;;;;;
D;004;95991;2;20011203 12:58;P;;;;;;
D;004;95991;2;20011203 12:58;V;;;;;;
D;004;95991;2;20011203 12:58;V;;;;;;
B;004;96352;3;20011203 12:58;;;32;MACQUARIE ST;ARCADIA VALE;2283;714.5;M;20011004;20011108;125000;A;R;RESIDENCE;;ME;;;8148145;
C;004;96352;3;20011203 12:58;576//13129;
D;004;96352;3;20011203 12:58;P;;;;;;
D;004;96352;3;20011203 12:58;P;;;;;;
D;004;96352;3;20011203 12:58;V;;;;;;
D;004;96352;3;20011203 12:58;V;;;;;;
B;004;96377;4;20011203 12:58;;;9;PARK ST;ARCADIA VALE;2283;853.6;M;20011017;20011108;110000;A;V;VACANT LAND;;ME;;;8120284;
C;004;96377;4;20011203 12:58;343//13129;
D;004;96377;4;20011203 12:58;P;;;;;;
D;004;96377;4;20011203 12:58;P;;;;;;
D;004;96377;4;20011203 12:58;V;;;;;;
D;004;96377;4;20011203 12:58;V;;;;;;
B;004;96447;5;20011203 12:58;;;509;LAKE RD;ARGENTON;2284;752.5;M;20011117;20011117;157500;B;3;OFFICE;;TK;;;8139667;
C;004;96447;5;20011203 12:58;5/J/8993;
D;004;96447;5;20011203 12:58;P;;;;;;
D;004;96447;5;20011203 12:58;P;;;;;;
D;004;96447;5;20011203 12:58;V;;;;;;
D;004;96447;5;20011203 12:58;V;;;;;;
D;004;96447;5;20011203 12:58;V;;;;;;
D;004;96447;5;20011203 12:58;V;;;;;;
B;004;96466;6;20011203 12:58;;;;LAKE RD;ARGENTON;2284;342.2;M;20010918;20011031;120000;A;R;RESIDENCE;;CA;AC;;8089248;
C;004;96466;6;20011203 12:58;1//834902;
D;004;96466;6;20011203 12:58;P;;;;;;
D;004;96466;6;20011203 12:58;V;;;;;;
D;004;96466;6;20011203 12:58;V;;;;;;
B;004;96564;7;20011203 12:58;;;454;LAKE RD;ARGENTON;2284;;;20010802;20010906;136000;A;R;RESIDENCE;;CA;AC;;8112850;
C;004;96564;7;20011203 12:58;A//363931;
D;004;96564;7;20011203 12:58;P;;;;;;
D;004;96564;7;20011203 12:58;V;;;;;;
