A;003;20010822 13:41;CDIXON;
B;003;25283;1;20010822 13:41;;;12;ACACIA RD;KARIONG;2250;2.673;H;20010312;20010423;397000;R;V;;;RA;;;7605451;
C;003;25283;1;20010822 13:41;B//101045;
D;003;25283;1;20010822 13:41;P;;;;;;
D;003;25283;1;20010822 13:41;P;;;;;;
D;003;25283;1;20010822 13:41;P;;;;;;
D;003;25283;1;20010822 13:41;P;;;;;;
D;003;25283;1;20010822 13:41;V;;;;;;
B;003;25369;2;20010822 13:41;;;17;ADELAIDE AVE;UMINA;2257;556.4;M;20010214;20010328;202500;A;R;;;FU;;;7621786;
C;003;25369;2;20010822 13:41;150//9894;
D;003;25369;2;20010822 13:41;P;;;;;;
D;003;25369;2;20010822 13:41;P;;;;;;
D;003;25369;2;20010822 13:41;V;;;;;;
B;003;25412;3;20010822 13:41;;;38;ADELAIDE ST;EAST GOSFORD;2250;670.3;M;20001223;20010330;235000;A;R;;;MD;;;7619748;
C;003;25412;3;20010822 13:41;B//158751;
D;003;25412;3;20010822 13:41;P;;;;;;
D;003;25412;3;20010822 13:41;V;;;;;;
B;003;25413;4;20010822 13:41;;1;36;ADELAIDE ST;EAST GOSFORD;2250;;;20001016;20001016;0;;3;NULL;1;;;;7600522;
C;003;25413;4;20010822 13:41;1//SP 49796;
D;003;25413;4;20010822 13:41;P;;;;;;
D;003;25413;4;20010822 13:41;V;;;;;;
D;003;25413;4;20010822 13:41;V;;;;;;
B;003;25602;5;20010822 13:41;;;97;ALAN ST;NIAGARA PARK;2250;841.7;M;20010328;20010509;228000;A;R;;;GK;;;7654171;
C;003;25602;5;20010822 13:41;11//777566;
D;003;25602;5;20010822 13:41;P;;;;;;
D;003;25602;5;20010822 13:41;P;;;;;;
D;003;25602;5;20010822 13:41;V;;;;;;
B;003;25606;6;20010822 13:41;;;100 E;ALAN ST;NIAGARA PARK;2250;1182;M;20010326;20010417;120000;A;V;;;GK;;;7585762;
C;003;25606;6;20010822 13:41;14//880321;
