A;007;20020109 09:48;PDANN;
B;007;195010;1;20020109 09:48;;;;;MUSWELLBROOK;2333;3990;M;20010306;20010327;50500;P;3;FARM;;PP;RR;;7532326;
C;007;195010;1;20020109 09:48;1//347593;
D;007;195010;1;20020109 09:48;P;;;;;;
D;007;195010;1;20020109 09:48;P;;;;;;
D;007;195010;1;20020109 09:48;V;;;;;;
B;007;195542;2;20020109 09:48;;;;;MUSWELLBROOK;2333;55.65;H;20010227;20010420;1750000;P;3;NULL;;RG;RP;;7570399;
C;007;195542;2;20020109 09:48;32//838536;
D;007;195542;2;20020109 09:48;P;;;;;;
D;007;195542;2;20020109 09:48;V;;;;;;
B;007;195933;3;20020109 09:48;;;11;PALACE ST;DENMAN;2328;1518;M;20010817;20010928;112000;A;R;RESIDENCE;;DH;AC;;7994393;
C;007;195933;3;20020109 09:48;8/26/758351;
D;007;195933;3;20020109 09:48;P;;;;;;
D;007;195933;3;20020109 09:48;V;;;;;;
B;007;195945;4;20020109 09:48;;;39;PALACE ST;DENMAN;2328;5141;M;20010710;20010803;187500;A;R;RESIDENCE;;DH;AC;;7898191;
C;007;195945;4;20020109 09:48;10, 11, 12/15/758351;
D;007;195945;4;20020109 09:48;P;;;;;;
D;007;195945;4;20020109 09:48;P;;;;;;
D;007;195945;4;20020109 09:48;V;;;;;;
B;007;196475;5;20020109 09:48;;;;;MUSWELLBROOK;2333;15.56;H;20010716;20010810;168000;P;3;FARM;;PL;RR;;7910204;
C;007;196475;5;20020109 09:48;4//113999 PT 11//750940;
D;007;196475;5;20020109 09:48;P;;;;;;
D;007;196475;5;20020109 09:48;P;;;;;;
D;007;196475;5;20020109 09:48;V;;;;;;
D;007;196475;5;20020109 09:48;V;;;;;;
B;007;196667;6;20020109 09:48;;;;;MUSWELLBROOK;2333;6070;M;20010815;20010928;145000;R;R;RESIDENCE;;RT;AC;;8013384;
C;007;196667;6;20020109 09:48;172, 173//752490;
D;007;196667;6;20020109 09:48;P;;;;;;
D;007;196667;6;20020109 09:48;P;;;;;;
D;007;196667;6;20020109 09:48;V;;;;;;
D;007;196667;6;20020109 09:48;V;;;;;;
B;007;196683;7;20020109 09:48;;;;;MUSWELLBROOK;2333;4.51;H;20010817;20010928;240000;R;R;RESIDENCE;;RH;RR;;8043486;
C;007;196683;7;20020109 09:48;34//830005;
D;007;196683;7;20020109 09:48;P;;;;;;
D;007;196683;7;20020109 09:48;P;;;;;;
D;007;196683;7;20020109 09:48;V;;;;;;
D;007;196683;7;20020109 09:48;V;;;;;;
B;007;197044;8;20020109 09:48;;;;ABERDEEN ST;MUSWELLBROOK;2333;1.977;H;20010913;20011005;250000;A;R;RESIDENCE;;AN;AC;;8037768;
C;007;197044;8;20020109 09:48;151//807625;
D;007;197044;8;20020109 09:48;P;;;;;;
D;007;197044;8;20020109 09:48;P;;;;;;
D;007;197044;8;20020109 09:48;V;;;;;;
D;007;197044;8;20020109 09:48;V;;;;;;
B;007;197143;9;20020109 09:48;;;45;ACACIA DR;MUSWELLBROOK;2333;818.2;M;20010821;20010920;110000;A;R;RESIDENCE;;AL;AC;;7993564;
C;007;197143;9;20020109 09:48;1051//262816;
D;007;197143;9;20020109 09:48;P;;;;;;
D;007;197143;9;20020109 09:48;V;;;;;;
B;007;197213;10;20020109 09:48;;;15;ADAMS ST;MUSWELLBROOK;2333;708.2;M;20010828;20010927;95000;A;R;RESIDENCE;;AC;AC;;8018286;
C;007;197213;10;20020109 09:48;108//229323;
D;007;197213;10;20020109 09:48;P;;;;;;
D;007;197213;10;20020109 09:48;V;;;;;;
D;007;197213;10;20020109 09:48;V;;;;;;
B;007;197227;11;20020109 09:48;;;6;ALMERIA GLEN;MUSWELLBROOK;2333;781.2;M;20010822;20010830;145000;A;R;RESIDENCE;;AM;AC;;7985214;
C;007;197227;11;20020109 09:48;279//263863;
D;007;197227;11;20020109 09:48;P;;;;;;
D;007;197227;11;20020109 09:48;P;;;;;;
D;007;197227;11;20020109 09:48;V;;;;;;
B;007;197340;12;20020109 09:48;;;29;BARRINGTON ST;MUSWELLBROOK;2333;689.2;M;20010831;20011002;92000;A;R;RESIDENCE;;AT;AC;;8060632;
C;007;197340;12;20020109 09:48;29//237998;
D;007;197340;12;20020109 09:48;P;;;;;;
D;007;197340;12;20020109 09:48;V;;;;;;
B;007;197935;13;20020109 09:48;;;29;CALGAROO AVE;MUSWELLBROOK;2333;662;M;20010723;20010831;70000;A;R;RESIDENCE;;AL;AC;;8039156;
C;007;197935;13;20020109 09:48;3081//263113;
D;007;197935;13;20020109 09:48;P;;;;;;
D;007;197935;13;20020109 09:48;V;;;;;;
D;007;197935;13;20020109 09:48;V;;;;;;
B;007;197995;14;20020109 09:48;;;68;CARL ST;MUSWELLBROOK;2333;581.7;M;20010627;20010716;83000;A;R;RESIDENCE;;AT;AC;;7862775;
C;007;197995;14;20020109 09:48;1//362823;
D;007;197995;14;20020109 09:48;P;;;;;;
D;007;197995;14;20020109 09:48;P;;;;;;
D;007;197995;14;20020109 09:48;V;;;;;;
B;007;198060;15;20020109 09:48;;;11;CHABLIS CL;MUSWELLBROOK;2333;1042;M;20010802;20011005;25000;A;V;VACANT LAND;;AM;AV;;8026087;
C;007;198060;15;20020109 09:48;197//263254;
D;007;198060;15;20020109 09:48;P;;;;;;
D;007;198060;15;20020109 09:48;P;;;;;;
D;007;198060;15;20020109 09:48;V;;;;;;
B;007;198065;16;20020109 09:48;;;16;CHARDANRAY ST;MUSWELLBROOK;2333;872.5;M;20010802;20010911;145000;A;R;RESIDENCE;;AW;AC;;7964423;
C;007;198065;16;20020109 09:48;92//261832;
D;007;198065;16;20020109 09:48;P;;;;;;
D;007;198065;16;20020109 09:48;P;;;;;;
D;007;198065;16;20020109 09:48;V;;;;;;
D;007;198065;16;20020109 09:48;V;;;;;;
B;007;198330;17;20020109 09:48;;;5;COUSINS ST;MUSWELLBROOK;2333;777.8;M;20010718;20010906;143000;A;R;RESIDENCE;;AT;AC;;8020968;
C;007;198330;17;20020109 09:48;63//237998;
D;007;198330;17;20020109 09:48;P;;;;;;
D;007;198330;17;20020109 09:48;P;;;;;;
D;007;198330;17;20020109 09:48;V;;;;;;
D;007;198330;17;20020109 09:48;V;;;;;;
B;007;198519;18;20020109 09:48;;;4;FLANDERS AVE;MUSWELLBROOK;2333;942.2;M;20010825;20010829;80000;B;R;RESIDENCE;;BB;AC;;7957165;
C;007;198519;18;20020109 09:48;1//229566;
D;007;198519;18;20020109 09:48;P;;;;;;
D;007;198519;18;20020109 09:48;P;;;;;;
D;007;198519;18;20020109 09:48;V;;;;;;
D;007;198519;18;20020109 09:48;V;;;;;;
B;007;198983;19;20020109 09:48;;;9;HUMPHRIES ST;MUSWELLBROOK;2333;689.2;M;20010822;20010926;128500;A;R;RESIDENCE;;AT;AC;;7990524;
C;007;198983;19;20020109 09:48;56//237998;
D;007;198983;19;20020109 09:48;P;;;;;;
D;007;198983;19;20020109 09:48;V;;;;;;
D;007;198983;19;20020109 09:48;V;;;;;;
B;007;199010;20;20020109 09:48;;;12;HUNTER'S TCE;MUSWELLBROOK;2333;2327;M;20010912;20011016;315000;A;R;RESIDENCE;;AF;AC;;8042451;
C;007;199010;20;20020109 09:48;1//784046;
D;007;199010;20;20020109 09:48;P;;;;;;
D;007;199010;20;20020109 09:48;P;;;;;;
D;007;199010;20;20020109 09:48;V;;;;;;
D;007;199010;20;20020109 09:48;V;;;;;;
B;007;199017;21;20020109 09:48;;;30;HUNTER'S TCE;MUSWELLBROOK;2333;1028;M;20010522;20010706;48500;A;R;RESIDENCE;;AF;AC;;7997610;
C;007;199017;21;20020109 09:48;782//618751;
D;007;199017;21;20020109 09:48;P;;;;;;
D;007;199017;21;20020109 09:48;P;;;;;;
D;007;199017;21;20020109 09:48;V;;;;;;
D;007;199017;21;20020109 09:48;V;;;;;;
B;007;199195;22;20020109 09:48;;;2;KEEGAN ST;MUSWELLBROOK;2333;959.2;M;20010402;20010601;62000;A;R;RESIDENCE;;AN;AC;;7680160;
C;007;199195;22;20020109 09:48;PT 10//15592;
D;007;199195;22;20020109 09:48;P;;;;;;
D;007;199195;22;20020109 09:48;P;;;;;;
D;007;199195;22;20020109 09:48;V;;;;;;
D;007;199195;22;20020109 09:48;V;;;;;;
B;007;199213;23;20020109 09:48;;;52;KING ST;MUSWELLBROOK;2333;1012;M;20010802;20010928;88000;A;R;RESIDENCE;;AT;AC;;8046882;
C;007;199213;23;20020109 09:48;21/2/11181;
D;007;199213;23;20020109 09:48;P;;;;;;
D;007;199213;23;20020109 09:48;V;;;;;;
D;007;199213;23;20020109 09:48;V;;;;;;
B;007;199394;24;20020109 09:48;;7;;MCCLINTOCK DR;MUSWELLBROOK;2333;;;20010831;20010906;58500;;R;RESIDENCE;7;;;;8045307;
C;007;199394;24;20020109 09:48;7//31245;
D;007;199394;24;20020109 09:48;P;;;;;;
D;007;199394;24;20020109 09:48;V;;;;;;
B;007;199417;25;20020109 09:48;;;18;MCCLINTOCK DR;MUSWELLBROOK;2333;1113;M;20010423;20010608;180000;A;R;RESIDENCE;;AC;AC;;7709226;
C;007;199417;25;20020109 09:48;30//258770;
D;007;199417;25;20020109 09:48;P;;;;;;
D;007;199417;25;20020109 09:48;P;;;;;;
D;007;199417;25;20020109 09:48;V;;;;;;
B;007;199646;26;20020109 09:48;;;3;MELALEUCA CL;MUSWELLBROOK;2333;609.2;M;20010911;20011012;122000;A;R;RESIDENCE;;AL;AC;;8031417;
C;007;199646;26;20020109 09:48;5046//711278;
D;007;199646;26;20020109 09:48;P;;;;;;
D;007;199646;26;20020109 09:48;V;;;;;;
D;007;199646;26;20020109 09:48;V;;;;;;
B;007;199665;27;20020109 09:48;;;6;MERLOT ST;MUSWELLBROOK;2333;812;M;20010723;20010914;116000;A;R;RESIDENCE;;AW;AC;;7994382;
C;007;199665;27;20020109 09:48;139//261833;
D;007;199665;27;20020109 09:48;P;;;;;;
D;007;199665;27;20020109 09:48;P;;;;;;
D;007;199665;27;20020109 09:48;V;;;;;;
B;007;199697;28;20020109 09:48;;;26;MITCHELL ST;MUSWELLBROOK;2333;916.9;M;20010721;20010910;210000;A;R;RESIDENCE;;AS;AC;;7987704;
C;007;199697;28;20020109 09:48;4/4/12251;
D;007;199697;28;20020109 09:48;P;;;;;;
D;007;199697;28;20020109 09:48;P;;;;;;
D;007;199697;28;20020109 09:48;V;;;;;;
D;007;199697;28;20020109 09:48;V;;;;;;
B;007;199874;29;20020109 09:48;;;28;PEPPERMINT RD;MUSWELLBROOK;2333;603;M;20010816;20010926;165000;A;V;VACANT LAND;;AL;RV;;7993801;
C;007;199874;29;20020109 09:48;2//715115;
D;007;199874;29;20020109 09:48;P;;;;;;
D;007;199874;29;20020109 09:48;V;;;;;;
B;007;200055;30;20020109 09:48;;;26;RIESLING ST;MUSWELLBROOK;2333;677.1;M;20010627;20010801;105000;A;R;RESIDENCE;;AW;AC;;7879547;
C;007;200055;30;20020109 09:48;157//261833;
D;007;200055;30;20020109 09:48;P;;;;;;
D;007;200055;30;20020109 09:48;P;;;;;;
D;007;200055;30;20020109 09:48;V;;;;;;
D;007;200055;30;20020109 09:48;V;;;;;;
B;007;200059;31;20020109 09:48;;;34;RIESLING ST;MUSWELLBROOK;2333;921;M;20010403;20010412;115500;A;R;RESIDENCE;;AW;AC;;7562029;
C;007;200059;31;20020109 09:48;161//261833;
