A;010;20011203 12:57;CDIXON;
B;010;262610;1;20011203 12:57;;;9;BOWALLA CL;WALLALONG;2320;9950;M;20010911;20011016;94950;R;V;VACANT LAND;;RA;RV;;8042388;
C;010;262610;1;20011203 12:57;11//1012617;
D;010;262610;1;20011203 12:57;P;;;;;;
D;010;262610;1;20011203 12:57;P;;;;;;
D;010;262610;1;20011203 12:57;V;;;;;;
B;010;262611;2;20011203 12:57;;;11;BOWALLA CL;WALLALONG;2320;1;H;20010911;20011011;99000;R;V;VACANT LAND;;RA;;;8130617;
C;010;262611;2;20011203 12:57;12//1012617;
D;010;262611;2;20011203 12:57;P;;;;;;
D;010;262611;2;20011203 12:57;P;;;;;;
D;010;262611;2;20011203 12:57;V;;;;;;
B;010;262699;3;20011203 12:57;;;117;HIGH ST;WALLALONG;2320;1614;M;20010915;20011019;175000;A;R;RESIDENCE;;HW;AC;;8042498;
C;010;262699;3;20011203 12:57;9/5/976226;
D;010;262699;3;20011203 12:57;P;;;;;;
D;010;262699;3;20011203 12:57;P;;;;;;
D;010;262699;3;20011203 12:57;V;;;;;;
B;010;262725;4;20011203 12:57;;;64;HIGH ST;WALLALONG;2320;988.1;M;20010907;20011012;129000;A;R;RESIDENCE;;HW;AC;;8073141;
C;010;262725;4;20011203 12:57;101//817184;
D;010;262725;4;20011203 12:57;P;;;;;;
D;010;262725;4;20011203 12:57;P;;;;;;
D;010;262725;4;20011203 12:57;V;;;;;;
D;010;262725;4;20011203 12:57;V;;;;;;
B;010;262788;5;20011203 12:57;;;32;ROSEBANK DR;WALLALONG;2320;7554;M;20010927;20011101;110000;R;V;VACANT LAND;;RA;;;8093892;
C;010;262788;5;20011203 12:57;304//879566;
D;010;262788;5;20011203 12:57;P;;;;;;
D;010;262788;5;20011203 12:57;P;;;;;;
D;010;262788;5;20011203 12:57;V;;;;;;
D;010;262788;5;20011203 12:57;V;;;;;;
B;010;262876;6;20011203 12:57;;;28;ANGLERS DR;ANNA BAY;2316;713.9;M;20010926;20011031;235000;A;R;RESIDENCE;;GF;;;8141377;
C;010;262876;6;20011203 12:57;409//852382;
D;010;262876;6;20011203 12:57;P;;;;;;
D;010;262876;6;20011203 12:57;P;;;;;;
D;010;262876;6;20011203 12:57;V;;;;;;
B;010;262882;7;20011203 12:57;;;16;ANGLERS DR;ANNA BAY;2316;1100;M;20010904;20011019;260000;A;R;RESIDENCE;;GF;AC;;8075868;
C;010;262882;7;20011203 12:57;219//842634;
D;010;262882;7;20011203 12:57;P;;;;;;
D;010;262882;7;20011203 12:57;P;;;;;;
D;010;262882;7;20011203 12:57;V;;;;;;
