A;008;20011109 11:32;CDIXON;
B;008;201642;1;20011109 11:33;;;77;ACACIA AVE;NORTH LAMBTON;2299;630.8;M;20010621;20010727;177000;A;R;RESIDENCE;;JK;AC;;7825042;
C;008;201642;1;20011109 11:33;3148//755247;
D;008;201642;1;20011109 11:33;P;;;;;;
D;008;201642;1;20011109 11:33;P;;;;;;
D;008;201642;1;20011109 11:33;V;;;;;;
B;008;201675;2;20011109 11:33;;;1;ACKERON ST;MAYFIELD;2304;488.2;M;20010709;20010810;170000;A;R;RESIDENCE;;JX;AC;;7871460;
C;008;201675;2;20011109 11:33;356//95385;
D;008;201675;2;20011109 11:33;P;;;;;;
D;008;201675;2;20011109 11:33;P;;;;;;
D;008;201675;2;20011109 11:33;V;;;;;;
B;008;201679;3;20011109 11:33;;;9;ACKERON ST;MAYFIELD;2304;488.1;M;20010314;20010531;149000;A;R;RESIDENCE;;JX;AC;;7773963;
C;008;201679;3;20011109 11:33;1//782135;
D;008;201679;3;20011109 11:33;P;;;;;;
D;008;201679;3;20011109 11:33;P;;;;;;
D;008;201679;3;20011109 11:33;V;;;;;;
D;008;201679;3;20011109 11:33;V;;;;;;
B;008;201720;4;20011109 11:33;;;24;ADA ST;WARATAH;2298;746.6;M;20010606;20010711;175000;A;R;RESIDENCE;;JQ;AC;;7822495;
C;008;201720;4;20011109 11:33;1//741760;
D;008;201720;4;20011109 11:33;P;;;;;;
D;008;201720;4;20011109 11:33;P;;;;;;
D;008;201720;4;20011109 11:33;V;;;;;;
B;008;201976;5;20011109 11:33;;;22;AJAX CL;MARYLAND;2287;633.3;M;20010619;20010727;130000;A;R;RESIDENCE;;AA;AC;;7893139;
C;008;201976;5;20011109 11:33;15//805266;
D;008;201976;5;20011109 11:33;P;;;;;;
D;008;201976;5;20011109 11:33;V;;;;;;
B;008;202033;6;20011109 11:33;;;33;ALBERT ST;WICKHAM;2293;;;20010618;20010730;120000;A;R;RESIDENCE;;DF;AC;;7883453;
C;008;202033;6;20011109 11:33;1//198862;
D;008;202033;6;20011109 11:33;P;;;;;;
D;008;202033;6;20011109 11:33;V;;;;;;
B;008;202245;7;20011109 11:33;;;67;ALDYTH ST;NEW LAMBTON;2305;;;20010628;20010814;230000;A;R;RESIDENCE;;FF;AC;;7870964;
C;008;202245;7;20011109 11:33;21//19695;
D;008;202245;7;20011109 11:33;P;;;;;;
D;008;202245;7;20011109 11:33;V;;;;;;
B;008;202383;8;20011109 11:33;;;36;ALFRED ST;NEWCASTLE EAST;2300;202.3;M;20001027;20001207;182000;A;R;RESIDENCE;;KF;AC;;7554284;
C;008;202383;8;20011109 11:33;PT 5, PT 6/B/382;
D;008;202383;8;20011109 11:33;P;;;;;;
D;008;202383;8;20011109 11:33;P;;;;;;
D;008;202383;8;20011109 11:33;V;;;;;;
D;008;202383;8;20011109 11:33;V;;;;;;
B;008;202413;9;20011109 11:33;;;7;ALFRED ST;WARATAH;2298;404.7;M;20010514;20010717;96000;A;R;RESIDENCE;;JQ;AC;;7840240;
C;008;202413;9;20011109 11:33;1//799108;
D;008;202413;9;20011109 11:33;P;;;;;;
D;008;202413;9;20011109 11:33;V;;;;;;
B;008;202688;10;20011109 11:33;;;11;ALLENWOOD CL;ELERMORE VALE;2287;1098;M;20010706;20010810;390000;A;R;RESIDENCE;;AJ;AC;;7861996;
C;008;202688;10;20011109 11:33;238//739442;
D;008;202688;10;20011109 11:33;P;;;;;;
D;008;202688;10;20011109 11:33;P;;;;;;
D;008;202688;10;20011109 11:33;V;;;;;;
B;008;202900;11;20011109 11:33;;;2;AMBER AVE;FLETCHER;2287;711.9;M;20010711;20010810;58500;A;V;VACANT LAND;;AP;AV;;7870331;
C;008;202900;11;20011109 11:33;301//868047;
D;008;202900;11;20011109 11:33;P;;;;;;
D;008;202900;11;20011109 11:33;V;;;;;;
B;008;203471;12;20011109 11:33;;;5;ANNA PL;WALLSEND;2287;585.7;M;20010405;20010709;158000;A;R;RESIDENCE;;AN;AC;;7825260;
C;008;203471;12;20011109 11:33;127//806709;
D;008;203471;12;20011109 11:33;P;;;;;;
D;008;203471;12;20011109 11:33;P;;;;;;
D;008;203471;12;20011109 11:33;V;;;;;;
B;008;203560;13;20011109 11:33;;;21;ANZAC PDE;THE HILL;2300;556.4;M;20010502;20010720;655000;A;R;RESIDENCE;;KD;AC;;7841838;
C;008;203560;13;20011109 11:33;B//155132;
D;008;203560;13;20011109 11:33;P;;;;;;
D;008;203560;13;20011109 11:33;P;;;;;;
D;008;203560;13;20011109 11:33;V;;;;;;
B;008;203868;14;20011109 11:33;;;21;ARMSTRONG ST;LAMBTON;2299;;;20010324;20010423;99000;A;R;RESIDENCE;;FA;AC;;7827187;
C;008;203868;14;20011109 11:33;192//36398;
D;008;203868;14;20011109 11:33;P;;;;;;
D;008;203868;14;20011109 11:33;V;;;;;;
B;008;203902;15;20011109 11:33;;;2;ARNOLD ST;MAYFIELD;2304;;;20010612;20010717;117000;A;R;RESIDENCE;;JD;AC;;7878649;
C;008;203902;15;20011109 11:33;15/D/2235;
D;008;203902;15;20011109 11:33;P;;;;;;
D;008;203902;15;20011109 11:33;P;;;;;;
D;008;203902;15;20011109 11:33;V;;;;;;
B;008;203903;16;20011109 11:33;;;4;ARNOLD ST;MAYFIELD;2304;;;20010605;20010712;118000;A;3;;;JD;AC;;7872229;
