A;011;20011109 10:42;CDIXON;
B;011;292339;1;20011109 10:42;;;;NEW ENGLAND HWY;SCONE;2337;6.88;H;20010725;20010824;260000;R;3;FARM;;HS;RR;;7892010;
C;011;292339;1;20011109 10:42;5//222256;
D;011;292339;1;20011109 10:42;P;;;;;;
D;011;292339;1;20011109 10:42;P;;;;;;
D;011;292339;1;20011109 10:42;V;;;;;;
D;011;292339;1;20011109 10:42;V;;;;;;
B;011;292599;2;20011109 10:42;;;73;BEDFORD ST;ABERDEEN;2336;1897;M;20010608;20010720;115000;A;R;RESIDENCE;;AA;AC;;7874161;
C;011;292599;2;20011109 10:42;6/28/758003;
D;011;292599;2;20011109 10:42;P;;;;;;
D;011;292599;2;20011109 10:42;P;;;;;;
D;011;292599;2;20011109 10:42;V;;;;;;
B;011;292720;3;20011109 10:42;;;123;GRAEME ST;ABERDEEN;2336;842;M;20010621;20010710;112000;A;R;RESIDENCE;;AA;AC;;7858155;
C;011;292720;3;20011109 10:42;83//261048;
D;011;292720;3;20011109 10:42;P;;;;;;
D;011;292720;3;20011109 10:42;V;;;;;;
B;011;293307;4;20011109 10:42;;;;NANDOWRA RD;MOOBI;2337;44;H;20010703;20010815;265000;R;3;FARM;;GP;RR;;7880655;
C;011;293307;4;20011109 10:42;1//863858;
D;011;293307;4;20011109 10:42;P;;;;;;
D;011;293307;4;20011109 10:42;P;;;;;;
D;011;293307;4;20011109 10:42;V;;;;;;
D;011;293307;4;20011109 10:42;V;;;;;;
B;011;293387;5;20011109 10:42;;;14;ASKIN CL;SCONE;2337;423;M;20010705;20010727;88000;A;R;RESIDENCE;;AD;AC;;7884213;
C;011;293387;5;20011109 10:42;1//825924;
D;011;293387;5;20011109 10:42;P;;;;;;
D;011;293387;5;20011109 10:42;P;;;;;;
D;011;293387;5;20011109 10:42;V;;;;;;
D;011;293387;5;20011109 10:42;V;;;;;;
B;011;293911;6;20011109 10:42;;;2;GUNSYND CL;SCONE;2337;2109;M;20010509;20010608;45000;R;V;VACANT LAND;;HG;RV;;7822682;
C;011;293911;6;20011109 10:42;14//864140;
D;011;293911;6;20011109 10:42;P;;;;;;
D;011;293911;6;20011109 10:42;V;;;;;;
B;011;293964;7;20011109 10:42;;;2;HONEYSUCKLE CRES;SCONE;2337;985.1;M;20010717;20010723;185000;A;3;UNIT;;AE;XA;;7875720;
C;011;293964;7;20011109 10:42;33//813932;
D;011;293964;7;20011109 10:42;P;;;;;;
D;011;293964;7;20011109 10:42;V;;;;;;
B;011;294628;8;20011109 10:42;;4;82;PARK ST;SCONE;2337;;;20010702;20010815;90000;;R;RESIDENCE;4;;;;7866661;
C;011;294628;8;20011109 10:42;4//21611;
D;011;294628;8;20011109 10:42;P;;;;;;
D;011;294628;8;20011109 10:42;P;;;;;;
D;011;294628;8;20011109 10:42;V;;;;;;
D;011;294628;8;20011109 10:42;V;;;;;;
B;011;295003;9;20011109 10:42;;;14;SEAWARD AVE;SCONE;2337;1380;M;20010618;20010727;135000;A;R;RESIDENCE;;AS;AC;;7818388;
C;011;295003;9;20011109 10:42;1//594148;
D;011;295003;9;20011109 10:42;P;;;;;;
D;011;295003;9;20011109 10:42;P;;;;;;
D;011;295003;9;20011109 10:42;V;;;;;;
B;011;295267;10;20011109 10:42;;;36;TOWARRI ST;SCONE;2337;1734;M;20010516;20010628;235000;A;R;RESIDENCE;;AS;AC;;7838498;
C;011;295267;10;20011109 10:42;924//825196;
D;011;295267;10;20011109 10:42;P;;;;;;
D;011;295267;10;20011109 10:42;P;;;;;;
D;011;295267;10;20011109 10:42;V;;;;;;
B;011;295322;11;20011109 10:42;;;19;WAREEMBA ST;SCONE;2337;832.6;M;20010711;20010727;140000;A;R;RESIDENCE;;AE;AC;;7819131;
C;011;295322;11;20011109 10:42;21//701318;
D;011;295322;11;20011109 10:42;P;;;;;;
D;011;295322;11;20011109 10:42;V;;;;;;
D;011;295322;11;20011109 10:42;V;;;;;;
B;011;2830855;12;20011109 10:42;;;83;GRAEME ST;ABERDEEN;2336;687.5;M;20010712;20010712;15000;;V;VACANT LAND;;;AV;;7818057;
C;011;2830855;12;20011109 10:42;43//1028254;
D;011;2830855;12;20011109 10:42;P;;;;;;
D;011;2830855;12;20011109 10:42;V;;;;;;
D;011;2830855;12;20011109 10:42;V;;;;;;
Z;63;12;12;37;
