A;001;20010822 12:43;CDIXON;
B;001;353;1;20010822 12:43;;;43;COLLIERY ST;ABERDARE;2325;528.8;M;20010323;20010504;100000;A;R;;;GA;;;7610331;
C;001;353;1;20010822 12:43;2//848506;
D;001;353;1;20010822 12:43;P;;;;;;
D;001;353;1;20010822 12:43;V;;;;;;
D;001;353;1;20010822 12:43;V;;;;;;
B;001;498;2;20010822 12:43;;;65;CONGEWAI ST;ABERDARE;2325;;;20010501;20010516;76500;A;R;;;GA;;;7629757;
C;001;498;2;20010822 12:43;3/24/758002;
D;001;498;2;20010822 12:43;P;;;;;;
D;001;498;2;20010822 12:43;P;;;;;;
D;001;498;2;20010822 12:43;V;;;;;;
D;001;498;2;20010822 12:43;V;;;;;;
B;001;1079;3;20010822 12:43;;;18;LINKS AVE;CESSNOCK;2325;660;M;20010321;20010521;60000;A;V;;;GS;;;7652074;
C;001;1079;3;20010822 12:43;26//844843;
D;001;1079;3;20010822 12:43;P;;;;;;
D;001;1079;3;20010822 12:43;V;;;;;;
B;001;1099;4;20010822 12:43;;;15;MCFARLANE ST;CESSNOCK;2325;;;20010316;20010427;99000;A;R;;;GB;;;7579069;
C;001;1099;4;20010822 12:43;2/C/4308;
D;001;1099;4;20010822 12:43;P;;;;;;
D;001;1099;4;20010822 12:43;P;;;;;;
D;001;1099;4;20010822 12:43;V;;;;;;
D;001;1099;4;20010822 12:43;V;;;;;;
B;001;1142;5;20010822 12:43;;;23;MAYFIELD ST;CESSNOCK;2325;;;20000501;20000606;95000;A;3;RESIDENCE;;GB;AC;;7504715;
C;001;1142;5;20010822 12:43;34/E/4528 SEC E LOT 34 DP 4528 20.12X40.23 VO 1842 FO 179;
D;001;1142;5;20010822 12:43;P;;;;;;
D;001;1142;5;20010822 12:43;P;;;;;;
D;001;1142;5;20010822 12:43;P;;;;;;
D;001;1142;5;20010822 12:43;P;;;;;;
D;001;1142;5;20010822 12:43;V;;;;;;
D;001;1142;5;20010822 12:43;V;;;;;;
B;001;1203;6;20010822 12:43;;;37;MELBOURNE ST;ABERDARE;2325;1012;M;20010329;20010511;65000;A;R;;;GA;;;7615284;
C;001;1203;6;20010822 12:43;4/16/758002;
D;001;1203;6;20010822 12:43;P;;;;;;
D;001;1203;6;20010822 12:43;P;;;;;;
D;001;1203;6;20010822 12:43;P;;;;;;
D;001;1203;6;20010822 12:43;V;;;;;;
D;001;1203;6;20010822 12:43;V;;;;;;
B;001;1281;7;20010822 12:43;;;162;NORTHCOTE ST;ABERDARE;2325;923.2;H;20010419;20010517;128000;A;R;;;GA;;;7632410;
C;001;1281;7;20010822 12:43;365//755215;
D;001;1281;7;20010822 12:43;P;;;;;;
D;001;1281;7;20010822 12:43;P;;;;;;
D;001;1281;7;20010822 12:43;V;;;;;;
B;001;1429;8;20010822 12:43;;;135;NORTHCOTE ST;ABERDARE;2325;1012;M;20010116;20010116;0;A;R;;;GA;;;7641118;
C;001;1429;8;20010822 12:43;6/34/758002;
D;001;1429;8;20010822 12:43;P;;;;;;
D;001;1429;8;20010822 12:43;V;;;;;;
B;001;1520;9;20010822 12:43;;;7;QUARRYBYLONG ST;CESSNOCK;2325;442.6;M;20010329;20010427;49000;A;R;;;GB;;;7617227;
C;001;1520;9;20010822 12:43;B//364648;
D;001;1520;9;20010822 12:43;P;;;;;;
D;001;1520;9;20010822 12:43;P;;;;;;
D;001;1520;9;20010822 12:43;V;;;;;;
B;001;1545;10;20010822 12:43;;;156;RAWSON ST;ABERDARE;2325;1012;M;20010316;20010406;104000;A;R;;;GA;AC;;7535752;
C;001;1545;10;20010822 12:43;381//755215 PH CESSNOCK POR 381;
D;001;1545;10;20010822 12:43;P;;;;;;
D;001;1545;10;20010822 12:43;V;;;;;;
B;001;1616;11;20010822 12:43;;;18;RAWSON ST;ABERDARE;2325;;;20010329;20010511;67500;B;R;;;CC;;;7615273;
C;001;1616;11;20010822 12:43;14/28/758002;
D;001;1616;11;20010822 12:43;P;;;;;;
D;001;1616;11;20010822 12:43;P;;;;;;
D;001;1616;11;20010822 12:43;P;;;;;;
D;001;1616;11;20010822 12:43;V;;;;;;
D;001;1616;11;20010822 12:43;V;;;;;;
B;001;1669;12;20010822 12:43;;;107;RAWSON ST;ABERDARE;2325;;;20010329;20010511;64000;A;R;;;GA;;;7615239;
C;001;1669;12;20010822 12:43;5/36/758002;
D;001;1669;12;20010822 12:43;P;;;;;;
D;001;1669;12;20010822 12:43;P;;;;;;
D;001;1669;12;20010822 12:43;P;;;;;;
D;001;1669;12;20010822 12:43;V;;;;;;
B;001;1674;13;20010822 12:43;;;117;RAWSON ST;ABERDARE;2325;;;20010320;20010504;126841;A;R;;;GA;;;7595873;
C;001;1674;13;20010822 12:43;10/36/758002;
D;001;1674;13;20010822 12:43;P;;;;;;
D;001;1674;13;20010822 12:43;P;;;;;;
D;001;1674;13;20010822 12:43;V;;;;;;
D;001;1674;13;20010822 12:43;V;;;;;;
B;001;1737;14;20010822 12:43;;;34;REGENT ST;CESSNOCK;2325;;;20010328;20010509;130000;A;R;;;GB;;;7628299;
C;001;1737;14;20010822 12:43;16/C/4269;
D;001;1737;14;20010822 12:43;P;;;;;;
D;001;1737;14;20010822 12:43;P;;;;;;
D;001;1737;14;20010822 12:43;V;;;;;;
D;001;1737;14;20010822 12:43;V;;;;;;
B;001;2171;15;20010822 12:43;;;65;CHARLES ST;ABERMAIN;2326;5370;M;20010409;20010409;0;R;R;;;RK;;;7635968;
C;001;2171;15;20010822 12:43;283//720648;
D;001;2171;15;20010822 12:43;P;;;;;;
D;001;2171;15;20010822 12:43;P;;;;;;
D;001;2171;15;20010822 12:43;V;;;;;;
B;001;2186;16;20010822 12:43;;;29;CHARLES ST;ABERMAIN;2326;809.4;M;20010316;20010427;23000;A;V;;;HA;;;7602203;
C;001;2186;16;20010822 12:43;1//997858;
D;001;2186;16;20010822 12:43;P;;;;;;
D;001;2186;16;20010822 12:43;P;;;;;;
D;001;2186;16;20010822 12:43;V;;;;;;
B;001;2420;17;20010822 12:43;;;99;HARLE ST;ABERMAIN;2326;;;20010412;20010426;84000;A;R;;;HA;;;7591389;
C;001;2420;17;20010822 12:43;40/F/4748;
D;001;2420;17;20010822 12:43;P;;;;;;
D;001;2420;17;20010822 12:43;P;;;;;;
D;001;2420;17;20010822 12:43;V;;;;;;
D;001;2420;17;20010822 12:43;V;;;;;;
B;001;2480;18;20010822 12:43;;;28;JOHN ST;ABERMAIN;2326;817;M;20010323;20010422;60000;A;3;NULL;;HA;;;7640268;
C;001;2480;18;20010822 12:43;1//195142;
D;001;2480;18;20010822 12:43;P;;;;;;
D;001;2480;18;20010822 12:43;P;;;;;;
D;001;2480;18;20010822 12:43;V;;;;;;
D;001;2480;18;20010822 12:43;V;;;;;;
B;001;2576;19;20010822 12:43;;;62;MAITLAND ST;ABERMAIN;2326;930.6;M;20010319;20010417;99000;A;R;;;HA;;;7652140;
C;001;2576;19;20010822 12:43;1//726852;
D;001;2576;19;20010822 12:43;P;;;;;;
D;001;2576;19;20010822 12:43;V;;;;;;
B;001;2783;20;20010822 12:43;;;2;WILLIAM ST;ABERMAIN;2326;809.4;M;20010329;20010420;109000;A;R;;;HA;;;7579838;
C;001;2783;20;20010822 12:43;3//741348;
D;001;2783;20;20010822 12:43;P;;;;;;
D;001;2783;20;20010822 12:43;P;;;;;;
D;001;2783;20;20010822 12:43;V;;;;;;
B;001;2891;21;20010822 12:43;;;13;HAMILTON ST;ABERNETHY;2325;948.5;M;20010323;20010427;77000;A;R;;;FG;;;7630223;
C;001;2891;21;20010822 12:43;20/6/758005;
D;001;2891;21;20010822 12:43;P;;;;;;
D;001;2891;21;20010822 12:43;V;;;;;;
D;001;2891;21;20010822 12:43;V;;;;;;
B;001;2987;22;20010822 12:43;;;65;HELENA ST;ELLALONG;2325;1752;M;20010315;20010501;130000;A;R;;;FD;;;7616474;
