A;008;20010822 14:20;CDIXON;
B;008;201587;1;20010822 14:20;;;44;ACACIA AVE;WARATAH WEST;2298;537.5;M;20010508;20010508;0;A;R;;;JP;;;7727156;
C;008;201587;1;20010822 14:20;2//22565;
D;008;201587;1;20010822 14:20;P;;;;;;
D;008;201587;1;20010822 14:20;V;;;;;;
D;008;201587;1;20010822 14:20;V;;;;;;
B;008;201644;2;20010822 14:20;;;81;ACACIA AVE;NORTH LAMBTON;2299;;;20010501;20010606;169950;A;R;;;JK;;;7699223;
C;008;201644;2;20010822 14:20;5//23237;
D;008;201644;2;20010822 14:20;P;;;;;;
D;008;201644;2;20010822 14:20;V;;;;;;
B;008;201719;3;20010822 14:20;;;26;ADA ST;WARATAH;2298;;;20010510;20010601;133000;A;R;;;JQ;;;7720607;
C;008;201719;3;20010822 14:20;C//154587;
D;008;201719;3;20010822 14:20;P;;;;;;
D;008;201719;3;20010822 14:20;V;;;;;;
B;008;201762;4;20010822 14:20;;;17 A;ADDISON RD;NEW LAMBTON;2305;486.1;M;20010504;20010615;349000;A;R;;;FG;;;7712358;
C;008;201762;4;20010822 14:20;10//878307;
D;008;201762;4;20010822 14:20;P;;;;;;
D;008;201762;4;20010822 14:20;V;;;;;;
B;008;201848;5;20010822 14:20;;;47;ADDISON ST;BERESFIELD;2322;645;M;20010511;20010612;124000;A;R;;;DA;;;7709670;
C;008;201848;5;20010822 14:20;61/A/12628;
D;008;201848;5;20010822 14:20;P;;;;;;
D;008;201848;5;20010822 14:20;P;;;;;;
D;008;201848;5;20010822 14:20;V;;;;;;
B;008;201898;6;20010822 14:20;;;28;ADELAIDE ST;BERESFIELD;2322;676.6;M;20010326;20010507;123000;A;R;;;DB;;;7660817;
C;008;201898;6;20010822 14:20;75//215852;
D;008;201898;6;20010822 14:20;P;;;;;;
D;008;201898;6;20010822 14:20;V;;;;;;
D;008;201898;6;20010822 14:20;V;;;;;;
B;008;202421;7;20010822 14:20;;;27;ALFRED ST;WARATAH;2298;379.4;M;20010427;20010601;145000;A;R;;;JQ;;;7679945;
C;008;202421;7;20010822 14:20;3//711716;
D;008;202421;7;20010822 14:20;P;;;;;;
D;008;202421;7;20010822 14:20;V;;;;;;
D;008;202421;7;20010822 14:20;V;;;;;;
B;008;202479;8;20010822 14:20;;;44;ALKOO CRES;MARYLAND;2287;354;M;20010507;20010518;126800;A;R;;;AA;;;7701645;
C;008;202479;8;20010822 14:20;8102//842686;
D;008;202479;8;20010822 14:20;P;;;;;;
D;008;202479;8;20010822 14:20;V;;;;;;
B;008;202654;9;20010822 14:20;;;61;ALLENDALE ST;BERESFIELD;2322;;;20010507;20010608;93500;A;R;;;DA;;;7705317;
C;008;202654;9;20010822 14:20;176//31692;
D;008;202654;9;20010822 14:20;P;;;;;;
D;008;202654;9;20010822 14:20;V;;;;;;
D;008;202654;9;20010822 14:20;V;;;;;;
B;008;202942;10;20010822 14:20;;;10;COUNTY DR;FLETCHER;2287;540.1;M;20010330;20010504;239000;A;R;;;AP;;;7680450;
C;008;202942;10;20010822 14:20;75//874212;
D;008;202942;10;20010822 14:20;P;;;;;;
D;008;202942;10;20010822 14:20;P;;;;;;
D;008;202942;10;20010822 14:20;V;;;;;;
B;008;202943;11;20010822 14:20;;;14;COUNTY DR;FLETCHER;2287;564.4;M;20010508;20010612;56000;A;V;;;AP;;;7715571;
C;008;202943;11;20010822 14:20;76//874212;
D;008;202943;11;20010822 14:20;P;;;;;;
D;008;202943;11;20010822 14:20;V;;;;;;
B;008;203111;12;20010822 14:20;;2;90 A;ANDERSON DR;TARRO;2322;;;20010418;20010516;93000;;R;;2;;;;7664795;
C;008;203111;12;20010822 14:20;2//43192;
D;008;203111;12;20010822 14:20;P;;;;;;
D;008;203111;12;20010822 14:20;P;;;;;;
D;008;203111;12;20010822 14:20;V;;;;;;
D;008;203111;12;20010822 14:20;V;;;;;;
B;008;203227;13;20010822 14:20;;;9;ANDREW CL;NORTH LAMBTON;2299;552.1;M;20010202;20010202;0;A;R;;;JH;;;7680095;
C;008;203227;13;20010822 14:20;8//825947;
D;008;203227;13;20010822 14:20;P;;;;;;
D;008;203227;13;20010822 14:20;V;;;;;;
D;008;203227;13;20010822 14:20;V;;;;;;
B;008;203293;14;20010822 14:20;;2;55;ANGOPHORA DR;WARABROOK;2304;;;20010517;20010608;165000;;R;;2;;;;7724052;
C;008;203293;14;20010822 14:20;2//SP 50657;
D;008;203293;14;20010822 14:20;P;;;;;;
D;008;203293;14;20010822 14:20;P;;;;;;
D;008;203293;14;20010822 14:20;V;;;;;;
B;008;203324;15;20010822 14:20;;;16;ANGOPHORA DR;WARABROOK;2304;731.9;M;20010430;20010430;0;A;R;;;JW;;;7717283;
C;008;203324;15;20010822 14:20;1//829114;
D;008;203324;15;20010822 14:20;P;;;;;;
D;008;203324;15;20010822 14:20;V;;;;;;
D;008;203324;15;20010822 14:20;V;;;;;;
B;008;203592;16;20010822 14:20;;;23;AQUARIUS AVE;ELERMORE VALE;2287;762.4;M;20010503;20010607;150000;A;R;;;AL;;;7677548;
C;008;203592;16;20010822 14:20;137//259927;
D;008;203592;16;20010822 14:20;P;;;;;;
D;008;203592;16;20010822 14:20;P;;;;;;
D;008;203592;16;20010822 14:20;V;;;;;;
D;008;203592;16;20010822 14:20;V;;;;;;
B;008;203620;17;20010822 14:20;;;19;ARCHER CRES;MARYLAND;2287;750.4;M;20010405;20010517;160000;A;R;;;AA;;;7676399;
C;008;203620;17;20010822 14:20;52//805266;
D;008;203620;17;20010822 14:20;P;;;;;;
D;008;203620;17;20010822 14:20;V;;;;;;
D;008;203620;17;20010822 14:20;V;;;;;;
B;008;203644;18;20010822 14:20;;;30;ARCHER CRES;MARYLAND;2287;1053;M;20010504;20010605;219000;A;R;;;AA;;;7677126;
C;008;203644;18;20010822 14:20;28//805266;
D;008;203644;18;20010822 14:20;P;;;;;;
D;008;203644;18;20010822 14:20;P;;;;;;
D;008;203644;18;20010822 14:20;V;;;;;;
D;008;203644;18;20010822 14:20;V;;;;;;
B;008;204011;19;20010822 14:20;;;15;ASHBURY ST;ADAMSTOWN HEIGHTS;2289;1018;M;20010601;20010601;0;A;R;;;HA;;;7720121;
C;008;204011;19;20010822 14:20;63//217951;
D;008;204011;19;20010822 14:20;P;;;;;;
D;008;204011;19;20010822 14:20;V;;;;;;
D;008;204011;19;20010822 14:20;V;;;;;;
B;008;204038;20;20010822 14:20;;;40;ASHBURY ST;ADAMSTOWN HEIGHTS;2289;714.5;M;20010406;20010518;220000;A;R;;;HA;;;7705055;
C;008;204038;20;20010822 14:20;70//223284;
D;008;204038;20;20010822 14:20;P;;;;;;
D;008;204038;20;20010822 14:20;P;;;;;;
D;008;204038;20;20010822 14:20;V;;;;;;
B;008;204064;21;20010822 14:20;;;16;ASHER ST;GEORGETOWN;2298;;;20010208;20010517;214000;A;R;;;JS;;;7687231;
C;008;204064;21;20010822 14:20;10//37432;
D;008;204064;21;20010822 14:20;P;;;;;;
D;008;204064;21;20010822 14:20;P;;;;;;
D;008;204064;21;20010822 14:20;V;;;;;;
B;008;204110;22;20010822 14:20;;;42;ASHFORD PDE;MEREWETHER HEIGHTS;2291;543.8;M;20010409;20010604;280000;A;R;;;HM;;;7673083;
C;008;204110;22;20010822 14:20;37//211871;
D;008;204110;22;20010822 14:20;P;;;;;;
D;008;204110;22;20010822 14:20;P;;;;;;
D;008;204110;22;20010822 14:20;V;;;;;;
D;008;204110;22;20010822 14:20;V;;;;;;
B;008;204120;23;20010822 14:20;;;22;ASHFORD PDE;MEREWETHER HEIGHTS;2291;493.2;M;20010621;20010621;0;A;3;NULL;;HM;;;7725185;
C;008;204120;23;20010822 14:20;27//211871;
D;008;204120;23;20010822 14:20;P;;;;;;
D;008;204120;23;20010822 14:20;V;;;;;;
B;008;204247;24;20010822 14:20;;;12;ASTRA ST;SHORTLAND;2307;607;M;20010410;20010604;73000;R;R;;;RH;;;7726397;
C;008;204247;24;20010822 14:20;13//37302;
