A;010;20010720 08:55;PDANN;
B;010;262680;1;20010720 08:55;;;75;HIGH ST;WALLALONG;2320;810.5;M;20010502;20010606;138000;A;V;;;HW;;;7678852;
C;010;262680;1;20010720 08:55;2//837148;
D;010;262680;1;20010720 08:55;P;;;;;;
D;010;262680;1;20010720 08:55;V;;;;;;
B;010;262682;2;20010720 08:55;;;79;HIGH ST;WALLALONG;2320;1939;M;20010419;20010531;138000;A;R;;;HW;;;7679970;
C;010;262682;2;20010720 08:55;22//627056;
D;010;262682;2;20010720 08:55;P;;;;;;
D;010;262682;2;20010720 08:55;V;;;;;;
B;010;262702;3;20010720 08:55;;;144;HIGH ST;WALLALONG;2320;7500;M;20010330;20010530;210000;R;R;;;RA;;;7685192;
C;010;262702;3;20010720 08:55;14//1012617;
D;010;262702;3;20010720 08:55;P;;;;;;
D;010;262702;3;20010720 08:55;P;;;;;;
D;010;262702;3;20010720 08:55;V;;;;;;
B;010;262854;4;20010720 08:55;;;5;ABEL ST;ANNA BAY;2316;655.1;M;20010426;20010531;195500;A;R;;;GE;;;7710474;
C;010;262854;4;20010720 08:55;68//262247;
D;010;262854;4;20010720 08:55;P;;;;;;
D;010;262854;4;20010720 08:55;P;;;;;;
D;010;262854;4;20010720 08:55;V;;;;;;
B;010;262882;5;20010720 08:55;;;16;ANGLERS DR;ANNA BAY;2316;1100;M;20010427;20010427;0;A;R;;;GF;;;7677209;
C;010;262882;5;20010720 08:55;219//842634;
D;010;262882;5;20010720 08:55;P;;;;;;
D;010;262882;5;20010720 08:55;V;;;;;;
D;010;262882;5;20010720 08:55;V;;;;;;
B;010;263106;6;20010720 08:55;;;78;CAMPBELL AVE;ANNA BAY;2316;588.1;M;20010522;20010522;0;A;R;;;GC;;;7712904;
C;010;263106;6;20010720 08:55;400//13134;
D;010;263106;6;20010720 08:55;P;;;;;;
D;010;263106;6;20010720 08:55;V;;;;;;
B;010;263120;7;20010720 08:55;;;63 A;CAMPBELL AVE;ANNA BAY;2316;354.6;M;20010502;20010530;139000;A;R;;;GC;;;7673663;
C;010;263120;7;20010720 08:55;5041//1012709;
D;010;263120;7;20010720 08:55;P;;;;;;
D;010;263120;7;20010720 08:55;P;;;;;;
D;010;263120;7;20010720 08:55;V;;;;;;
B;010;263348;8;20010720 08:55;;;77;ESSINGTON WAY;ANNA BAY;2316;731.3;M;20000321;20010609;335000;A;R;;;GF;;;7688872;
C;010;263348;8;20010720 08:55;318//846131;
D;010;263348;8;20010720 08:55;P;;;;;;
D;010;263348;8;20010720 08:55;P;;;;;;
D;010;263348;8;20010720 08:55;V;;;;;;
D;010;263348;8;20010720 08:55;V;;;;;;
B;010;263466;9;20010720 08:55;;;4;HARRIS ST;ANNA BAY;2316;610.2;M;20010403;20010525;100000;A;V;;;GC;;;7709014;
C;010;263466;9;20010720 08:55;8//884411;
D;010;263466;9;20010720 08:55;P;;;;;;
D;010;263466;9;20010720 08:55;V;;;;;;
D;010;263466;9;20010720 08:55;V;;;;;;
B;010;263483;10;20010720 08:55;;;28;HANSON AVE;ANNA BAY;2316;523.4;M;20010430;20010528;189000;A;R;;;GE;;;7699556;
C;010;263483;10;20010720 08:55;91//262247;
D;010;263483;10;20010720 08:55;P;;;;;;
D;010;263483;10;20010720 08:55;V;;;;;;
B;010;263514;11;20010720 08:55;;;7;HANSON AVE;ANNA BAY;2316;682.1;M;20010405;20010511;258000;A;R;;;GE;;;7699079;
C;010;263514;11;20010720 08:55;120//262247;
D;010;263514;11;20010720 08:55;P;;;;;;
D;010;263514;11;20010720 08:55;P;;;;;;
D;010;263514;11;20010720 08:55;V;;;;;;
B;010;263633;12;20010720 08:55;;;14;MARLIN PL;ANNA BAY;2316;811.1;M;20010402;20010517;235500;A;R;;;GF;;;7670745;
C;010;263633;12;20010720 08:55;401//852382;
D;010;263633;12;20010720 08:55;P;;;;;;
D;010;263633;12;20010720 08:55;P;;;;;;
D;010;263633;12;20010720 08:55;V;;;;;;
B;010;263690;13;20010720 08:55;;;92;MORNA POINT RD;ANNA BAY;2316;607;M;20010509;20010613;208000;A;R;;;GC;;;7717918;
C;010;263690;13;20010720 08:55;342//13134;
D;010;263690;13;20010720 08:55;P;;;;;;
D;010;263690;13;20010720 08:55;P;;;;;;
D;010;263690;13;20010720 08:55;V;;;;;;
B;010;263730;14;20010720 08:55;;;61;MORNA POINT RD;ANNA BAY;2316;708.2;M;20010514;20010618;213000;A;R;;;GC;;;7721865;
C;010;263730;14;20010720 08:55;328//13134;
D;010;263730;14;20010720 08:55;P;;;;;;
D;010;263730;14;20010720 08:55;V;;;;;;
B;010;263740;15;20010720 08:55;;;39;MORNA POINT RD;ANNA BAY;2316;607;M;20010507;20010507;0;A;R;;;GC;;;7679347;
C;010;263740;15;20010720 08:55;71//13134;
D;010;263740;15;20010720 08:55;P;;;;;;
D;010;263740;15;20010720 08:55;P;;;;;;
