A;012;20011109 10:42;CDIXON;
B;012;296000;1;20011109 10:42;;;15;ACACIA CCT;HUNTERVIEW;2330;707.1;M;20010614;20010719;221000;A;R;RESIDENCE;;AV;AC;;7815250;
C;012;296000;1;20011109 10:42;7//717790;
D;012;296000;1;20011109 10:42;P;;;;;;
D;012;296000;1;20011109 10:42;P;;;;;;
D;012;296000;1;20011109 10:42;V;;;;;;
D;012;296000;1;20011109 10:42;V;;;;;;
B;012;296121;2;20011109 10:42;;6;1;ALLEN CT;DARLINGTON;2330;;;20010718;20010815;75500;;R;RESIDENCE;6;;;;7864172;
C;012;296121;2;20011109 10:42;6//SP 40412;
D;012;296121;2;20011109 10:42;P;;;;;;
D;012;296121;2;20011109 10:42;V;;;;;;
B;012;296699;3;20011109 10:42;;2;11;BOONAL ST;SINGLETON;2330;;;20010720;20010824;60000;;3;UNIT;2;;;;7895574;
C;012;296699;3;20011109 10:42;2//19434;
D;012;296699;3;20011109 10:42;P;;;;;;
D;012;296699;3;20011109 10:42;V;;;;;;
B;012;296974;4;20011109 10:42;;;38;BRUCEDALE AVE;SINGLETON;2330;642;M;20010622;20010809;110000;A;R;RESIDENCE;;AL;AC;;7866106;
C;012;296974;4;20011109 10:42;41//251273;
D;012;296974;4;20011109 10:42;P;;;;;;
D;012;296974;4;20011109 10:42;V;;;;;;
D;012;296974;4;20011109 10:42;V;;;;;;
B;012;297200;5;20011109 10:42;;;43;CASEY DR;HUNTERVIEW;2330;760;M;20010626;20010710;164000;A;R;RESIDENCE;;AA;AC;;7836366;
C;012;297200;5;20011109 10:42;22//871409;
D;012;297200;5;20011109 10:42;P;;;;;;
D;012;297200;5;20011109 10:42;V;;;;;;
B;012;297434;6;20011109 10:42;;;8;COCKATOO ST;MCDOUGALLS HILL;2330;3420;M;20010702;20010806;121000;I;V;VACANT LAND;;FM;IV;;7869217;
C;012;297434;6;20011109 10:42;32//831485;
D;012;297434;6;20011109 10:42;P;;;;;;
D;012;297434;6;20011109 10:42;P;;;;;;
D;012;297434;6;20011109 10:42;V;;;;;;
B;012;297435;7;20011109 10:42;;;6;COCKATOO ST;MCDOUGALLS HILL;2330;3781;M;20010702;20010806;121000;I;V;VACANT LAND;;FM;IV;;7869217;
C;012;297435;7;20011109 10:42;31//831485;
D;012;297435;7;20011109 10:42;P;;;;;;
D;012;297435;7;20011109 10:42;P;;;;;;
D;012;297435;7;20011109 10:42;V;;;;;;
B;012;297584;8;20011109 10:42;;;6;DALTON AVE;SINGLETON;2330;613.3;M;20010621;20010807;85000;A;R;RESIDENCE;;AH;AC;;7841958;
C;012;297584;8;20011109 10:42;5//227919;
D;012;297584;8;20011109 10:42;P;;;;;;
D;012;297584;8;20011109 10:42;V;;;;;;
D;012;297584;8;20011109 10:42;V;;;;;;
B;012;297651;9;20011109 10:42;;;44;D'ARBON AVE;SINGLETON HEIGHTS;2330;1254;M;20010629;20010803;137000;A;R;RESIDENCE;;AA;AC;;7870380;
C;012;297651;9;20011109 10:42;660//262003;
D;012;297651;9;20011109 10:42;P;;;;;;
D;012;297651;9;20011109 10:42;V;;;;;;
B;012;297734;10;20011109 10:42;;;10;DIGHT AVE;SINGLETON;2330;752.5;M;20010626;20010727;115000;A;R;RESIDENCE;;AH;AC;;7874137;
C;012;297734;10;20011109 10:42;7//38044;
D;012;297734;10;20011109 10:42;P;;;;;;
D;012;297734;10;20011109 10:42;P;;;;;;
D;012;297734;10;20011109 10:42;V;;;;;;
D;012;297734;10;20011109 10:42;V;;;;;;
