A;003;20020102 13:56;PTHIRLWELL;
B;003;27244;18;20020102 13:56;;;2;ANTHONY CRES;KILLCARE;2257;626;M;20011106;20011211;580000;A;V;VACANT LAND;;GP;;;8200439;
C;003;27244;18;20020102 13:56;56//235311;
D;003;27244;18;20020102 13:56;P;;;;;;
D;003;27244;18;20020102 13:56;P;;;;;;
D;003;27244;18;20020102 13:56;V;;;;;;
B;003;27471;19;20020102 13:56;;12;50;ARALUEN DR;KILLCARE;2257;;;20010919;20011122;300000;;3;HOME UNIT;12;;XA;;8165319;
C;003;27471;19;20020102 13:56;12//SP 61966;
D;003;27471;19;20020102 13:56;P;;;;;;
D;003;27471;19;20020102 13:56;V;;;;;;
B;003;27502;20;20020102 13:56;;;12;ARALUEN DR;KILLCARE;2257;271.9;M;20011110;20011110;655000;A;R;RESIDENCE;;FS;;;8195159;
C;003;27502;20;20020102 13:56;1//509332;
D;003;27502;20;20020102 13:56;P;;;;;;
D;003;27502;20;20020102 13:56;P;;;;;;
D;003;27502;20;20020102 13:56;V;;;;;;
D;003;27502;20;20020102 13:56;V;;;;;;
B;003;27628;21;20020102 13:56;;;2;ARTHUR PL;FORRESTERS BEACH;2260;488.4;M;20010922;20011129;240000;A;R;RESIDENCE;;FP;;;8192461;
C;003;27628;21;20020102 13:56;921//1018741;
D;003;27628;21;20020102 13:56;P;;;;;;
D;003;27628;21;20020102 13:56;P;;;;;;
D;003;27628;21;20020102 13:56;V;;;;;;
D;003;27628;21;20020102 13:56;V;;;;;;
B;003;27668;22;20020102 13:56;;;4;ARRUNGA CL;DAVISTOWN;2251;;;20011012;20011113;255000;A;R;RESIDENCE;;GL;;;8107905;
C;003;27668;22;20020102 13:56;18//247769 DIMENSIONS: FRONT: DP247769I BACK: 31. SIDE 1: 38.32 SIDE 2;
C;003;27668;22;20020102 13:56;: 29.07;
D;003;27668;22;20020102 13:56;P;;;;;;
D;003;27668;22;20020102 13:56;V;;;;;;
B;003;27929;23;20020102 13:56;;;11;ASHBURN CL;LISAROW;2250;572;M;20010720;20011109;270000;A;R;RESIDENCE;;FA;AC;;8181862;
C;003;27929;23;20020102 13:56;30//815937;
D;003;27929;23;20020102 13:56;P;;;;;;
D;003;27929;23;20020102 13:56;V;;;;;;
D;003;27929;23;20020102 13:56;V;;;;;;
B;003;28011;24;20020102 13:56;;4;12;ASTON RD;ERINA;2250;;;20011105;20011123;214500;;3;FACTORY;4;;XF;;8164061;
C;003;28011;24;20020102 13:56;4//SP 49098;
D;003;28011;24;20020102 13:56;P;;;;;;
D;003;28011;24;20020102 13:56;V;;;;;;
B;003;28052;25;20020102 13:56;;;11;AUBURN ST;GOSFORD;2250;695.6;M;20010823;20011207;390000;A;R;RESIDENCE;;MD;AC;;8184142;
C;003;28052;25;20020102 13:56;12//17440;
D;003;28052;25;20020102 13:56;P;;;;;;
D;003;28052;25;20020102 13:56;V;;;;;;
