A;RTSALEDATA;216;20191202 01:01;VALNET;
B;216;2930231;1;20191202 01:01;;;29;CARRINGTON AVE;MOUNT VICTORIA;2786;1581;M;20191107;20191126;550000;E4;R;RESIDENCE;;VIC;;0;AP711068;
C;216;2930231;1;20191202 01:01;35/6927;
D;216;2930231;1;20191202 01:01;P;;;;;;
D;216;2930231;1;20191202 01:01;P;;;;;;
D;216;2930231;1;20191202 01:01;V;;;;;;
B;216;2944758;2;20191202 01:01;;;42;MORT ST;KATOOMBA;2780;885.2;M;20191015;20191126;515000;R2;R;RESIDENCE;;KAT;;0;AP711365;
C;216;2944758;2;20191202 01:01;B/359643;
D;216;2944758;2;20191202 01:01;P;;;;;;
D;216;2944758;2;20191202 01:01;V;;;;;;
D;216;2944758;2;20191202 01:01;V;;;;;;
D;216;2944758;2;20191202 01:01;V;;;;;;
B;216;4197228;3;20191202 01:01;;;2;SEIBERI CL;BLACKHEATH;2785;1420;M;20191014;20191127;375000;E4;V;VACANT LAND;;BLH;;0;AP716040;
C;216;4197228;3;20191202 01:01;2/1236046;
D;216;4197228;3;20191202 01:01;P;;;;;;
D;216;4197228;3;20191202 01:01;P;;;;;;
D;216;4197228;3;20191202 01:01;V;;;;;;
D;216;4197228;3;20191202 01:01;V;;;;;;
B;216;2973971;4;20191202 01:01;;;21;KINGSWAY;HAZELBROOK;2779;832.5;M;20191010;20191127;740000;E4;R;RESIDENCE;;HZL;;0;AP715417;
C;216;2973971;4;20191202 01:01;23/1049432;
D;216;2973971;4;20191202 01:01;P;;;;;;
D;216;2973971;4;20191202 01:01;P;;;;;;
D;216;2973971;4;20191202 01:01;V;;;;;;
D;216;2973971;4;20191202 01:01;V;;;;;;
B;216;3055161;5;20191202 01:01;;;7;WALKER ST;BLACKHEATH;2785;695.6;M;20191011;20191122;1175000;A;R;RESIDENCE;;BA;;0;AP702391;
C;216;3055161;5;20191202 01:01;11/10856;
D;216;3055161;5;20191202 01:01;P;;;;;;
D;216;3055161;5;20191202 01:01;P;;;;;;
D;216;3055161;5;20191202 01:01;V;;;;;;
D;216;3055161;5;20191202 01:01;V;;;;;;
B;216;3539551;6;20191202 01:01;;;20;YESTER RD;WENTWORTH FALLS;2782;1461;M;20191017;20191128;645000;E4;R;RESIDENCE;;WEN;;0;AP717878;
C;216;3539551;6;20191202 01:01;59/25721;
D;216;3539551;6;20191202 01:01;P;;;;;;
D;216;3539551;6;20191202 01:01;P;;;;;;
D;216;3539551;6;20191202 01:01;V;;;;;;
B;216;4044033;7;20191202 01:01;;;3;THIRROUL AVE;BLACKHEATH;2785;404.7;M;20191003;20191029;415000;E4;R;RESIDENCE;;BLH;;0;AP709667;
C;216;4044033;7;20191202 01:01;C/19782;
D;216;4044033;7;20191202 01:01;P;;;;;;
D;216;4044033;7;20191202 01:01;V;;;;;;
B;216;2261713;8;20191202 01:01;;;25;BRITAIN ST;LEURA;2780;416;M;20190915;20191128;740000;A;R;RESIDENCE;;KM;;0;AP717562;
C;216;2261713;8;20191202 01:01;D/309334;
D;216;2261713;8;20191202 01:01;P;;;;;;
D;216;2261713;8;20191202 01:01;P;;;;;;
D;216;2261713;8;20191202 01:01;V;;;;;;
B;216;2261777;9;20191202 01:01;;;15;CLIFF VIEW RD;LEURA;2780;6924;M;20190908;20191122;1450000;E4;R;RESIDENCE;;LEK;;0;AP705802;
C;216;2261777;9;20191202 01:01;25/4270;
D;216;2261777;9;20191202 01:01;P;;;;;;
D;216;2261777;9;20191202 01:01;P;;;;;;
D;216;2261777;9;20191202 01:01;V;;;;;;
D;216;2261777;9;20191202 01:01;V;;;;;;
B;216;2251180;10;20191202 01:01;;;5;UNCLE WATTLEBERRY CRES;FAULCONBRIDGE;2776;707.8;M;20190919;20191128;166894;E4;R;RESIDENCE;;FBE;;50;AP717740;
C;216;2251180;10;20191202 01:01;207/747984;
D;216;2251180;10;20191202 01:01;P;;;;;;
D;216;2251180;10;20191202 01:01;V;;;;;;
D;216;2251180;10;20191202 01:01;V;;;;;;
B;216;2251238;11;20191202 01:01;;;7;WIGRAM RD;FAULCONBRIDGE;2776;1720;M;20191011;20191122;615000;E4;R;RESIDENCE;;FBE;;0;AP704524;
C;216;2251238;11;20191202 01:01;9/2/8968;
D;216;2251238;11;20191202 01:01;P;;;;;;
D;216;2251238;11;20191202 01:01;P;;;;;;
D;216;2251238;11;20191202 01:01;V;;;;;;
B;216;2256505;12;20191202 01:01;;;15;VICTORIA ST;KATOOMBA;2780;766.2;M;20191001;20191126;395000;R2;R;RESIDENCE;;KAT;;0;AP712736;
C;216;2256505;12;20191202 01:01;1/940500;
D;216;2256505;12;20191202 01:01;P;;;;;;
D;216;2256505;12;20191202 01:01;V;;;;;;
B;216;2267315;13;20191202 01:01;;;127;BURNS RD;SPRINGWOOD;2777;904.2;M;20191009;20191120;632000;E4;R;RESIDENCE;;SPL;;0;AP709446;
C;216;2267315;13;20191202 01:01;80/24550;
D;216;2267315;13;20191202 01:01;P;;;;;;
D;216;2267315;13;20191202 01:01;P;;;;;;
D;216;2267315;13;20191202 01:01;V;;;;;;
B;216;2267370;14;20191202 01:01;;;12;MOORECOURT AVE;SPRINGWOOD;2777;1056;M;20191021;20191125;950000;A;R;RESIDENCE;;SN;;0;AP709402;
C;216;2267370;14;20191202 01:01;2/556671;
D;216;2267370;14;20191202 01:01;P;;;;;;
D;216;2267370;14;20191202 01:01;P;;;;;;
D;216;2267370;14;20191202 01:01;V;;;;;;
B;216;2248905;15;20191202 01:01;;;60;WINNICOOPA RD;BLAXLAND;2774;27.1;H;20191126;20191126;3660000;E4;V;VACANT LAND;;BNE;;0;AP713775;
C;216;2248905;15;20191202 01:01;3/876012;
D;216;2248905;15;20191202 01:01;P;;;;;;
D;216;2248905;15;20191202 01:01;V;;;;;;
B;216;2251594;16;20191202 01:01;;;11;CLARENCE ST;GLENBROOK;2773;1461;M;20191016;20191127;1050000;A;R;RESIDENCE;;BG;;0;AP714604;
C;216;2251594;16;20191202 01:01;3/529185;
D;216;2251594;16;20191202 01:01;P;;;;;;
D;216;2251594;16;20191202 01:01;P;;;;;;
D;216;2251594;16;20191202 01:01;V;;;;;;
D;216;2251594;16;20191202 01:01;V;;;;;;
B;216;2251811;17;20191202 01:01;;;48;EXPLORERS RD;GLENBROOK;2773;1290;M;20191014;20191128;738000;A;R;RESIDENCE;;BG;;0;AP720646;
C;216;2251811;17;20191202 01:01;4/102892;
D;216;2251811;17;20191202 01:01;P;;;;;;
