A;RTSALEDATA;164;20251103 01:09;VALNET;
B;164;3587101;1;20251103 01:09;;;146;PEARL CCT;VALLA;2448;9902;M;20250912;20251024;1700000;R5;R;RESIDENCE;;ARN;;;AV542706;
C;164;3587101;1;20251103 01:09;34/1149595;
D;164;3587101;1;20251103 01:09;P;;;;;;
D;164;3587101;1;20251103 01:09;P;;;;;;
D;164;3587101;1;20251103 01:09;V;;;;;;
D;164;3587101;1;20251103 01:09;V;;;;;;
B;164;4564945;2;20251103 01:09;;;47;BOUNDARY ST;MACKSVILLE;2447;450.6;M;20250825;20251024;620000;R3;R;RESIDENCE;;AMD;;;AV546068;
C;164;4564945;2;20251103 01:09;1/1307849;
D;164;4564945;2;20251103 01:09;P;;;;;;
D;164;4564945;2;20251103 01:09;V;;;;;;
B;164;4611833;3;20251103 01:09;;;98;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;599.4;M;20250924;20251024;315000;R1;V;VACANT LAND;;ANH;;;AV544325;
C;164;4611833;3;20251103 01:09;152/1310200;
D;164;4611833;3;20251103 01:09;P;;;;;;
D;164;4611833;3;20251103 01:09;P;;;;;;
D;164;4611833;3;20251103 01:09;V;;;;;;
B;164;1798150;4;20251103 01:09;;;21;SALAMANDA PDE;NAMBUCCA HEADS;2448;708.8;M;20250904;20251027;770000;R1;R;RESIDENCE;;ANH;;;AV548010;
C;164;1798150;4;20251103 01:09;48/702795;
D;164;1798150;4;20251103 01:09;P;;;;;;
D;164;1798150;4;20251103 01:09;P;;;;;;
D;164;1798150;4;20251103 01:09;V;;;;;;
B;164;1798178;5;20251103 01:09;;1;18;SALAMANDA PDE;NAMBUCCA HEADS;2448;;;20250912;20251024;510000;;R;RESIDENCE;1;;;;AV544372;
C;164;1798178;5;20251103 01:09;1/SP33246;
D;164;1798178;5;20251103 01:09;P;;;;;;
D;164;1798178;5;20251103 01:09;V;;;;;;
D;164;1798178;5;20251103 01:09;V;;;;;;
B;164;1798221;6;20251103 01:09;;;36 A;SEAVIEW ST;NAMBUCCA HEADS;2448;1019;M;20250926;20251027;985000;R1;R;RESIDENCE;;ANH;;;AV548357;
C;164;1798221;6;20251103 01:09;38/582669;
D;164;1798221;6;20251103 01:09;P;;;;;;
D;164;1798221;6;20251103 01:09;P;;;;;;
D;164;1798221;6;20251103 01:09;V;;;;;;
D;164;1798221;6;20251103 01:09;V;;;;;;
B;164;1798385;7;20251103 01:09;;;4;SUSSEX ST;NAMBUCCA HEADS;2448;695.6;M;20251002;20251030;670000;R3;R;RESIDENCE;;ACD;;;AV561930;
C;164;1798385;7;20251103 01:09;2/52/758749;
D;164;1798385;7;20251103 01:09;P;;;;;;
D;164;1798385;7;20251103 01:09;P;;;;;;
D;164;1798385;7;20251103 01:09;V;;;;;;
B;164;1793249;8;20251103 01:09;;;938;NORTH ARM RD;ARGENTS HILL;2449;2.555;H;20250910;20251027;209000;RU2;V;VACANT LAND;;RCD;;;AV550022;
C;164;1793249;8;20251103 01:09;121/755538;
D;164;1793249;8;20251103 01:09;P;;;;;;
D;164;1793249;8;20251103 01:09;P;;;;;;
D;164;1793249;8;20251103 01:09;V;;;;;;
D;164;1793249;8;20251103 01:09;V;;;;;;
D;164;1793249;8;20251103 01:09;V;;;;;;
D;164;1793249;8;20251103 01:09;V;;;;;;
B;164;1796723;9;20251103 01:09;;;12;HIGH ST;NAMBUCCA HEADS;2448;518.5;M;20250925;20251030;685000;R1;R;RESIDENCE;;ANH;;;AV562664;
C;164;1796723;9;20251103 01:09;4/205734;
D;164;1796723;9;20251103 01:09;P;;;;;;
D;164;1796723;9;20251103 01:09;V;;;;;;
Z;50;9;9;30;
