A;RTSALEDATA;250;20200120 01:02;VALNET;
B;250;3867764;1;20200120 01:02;PART OAKVALE;;;RIVERTREE RD;LISTON;2372;9.95;H;20191218;20200110;177500;RU1;3;FARM;;RSJ;;0;AP819065;
C;250;3867764;1;20200120 01:02;191/664316;
D;250;3867764;1;20200120 01:02;P;;;;;;
D;250;3867764;1;20200120 01:02;P;;;;;;
D;250;3867764;1;20200120 01:02;V;;;;;;
D;250;3867764;1;20200120 01:02;V;;;;;;
B;250;4266459;2;20200120 01:02;;;;SUNNYSIDE LOOP RD;TENTERFIELD;2372;9.612;H;20191203;20191218;190000;;3;FARM;;;;0;AP781655;
C;250;4266459;2;20200120 01:02;3/837443 Enclosure Permit 54256;
D;250;4266459;2;20200120 01:02;P;;;;;;
D;250;4266459;2;20200120 01:02;V;;;;;;
B;250;4266465;3;20200120 01:02;;;5968 A;NEW ENGLAND HWY;BOLIVIA;2372;66.87;H;20191217;20191220;150000;;3;FARM;;;;0;AP797185;
C;250;4266465;3;20200120 01:02;104, 133/751498 2/880845 104/1233113;
D;250;4266465;3;20200120 01:02;P;;;;;;
D;250;4266465;3;20200120 01:02;V;;;;;;
Z;16;3;3;8;
