A;RTSALEDATA;251;20200302 01:05;VALNET;
B;251;2675716;1;20200302 01:05;;;110;TEMOIN ST;NARROMINE;2821;955.9;M;20200206;20200220;335000;R1;R;RESIDENCE;;NRS;;0;AP914136;
C;251;2675716;1;20200302 01:05;1/802662;
D;251;2675716;1;20200302 01:05;P;;;;;;
D;251;2675716;1;20200302 01:05;P;;;;;;
D;251;2675716;1;20200302 01:05;V;;;;;;
D;251;2675716;1;20200302 01:05;V;;;;;;
B;251;2673177;2;20200302 01:05;;;130;TOMINGLEY RD;TOMINGLEY;2869;6.45;H;20180226;20180412;55000;R5;V;VACANT LAND;;HRL;;0;AP852194;
C;251;2673177;2;20200302 01:05;145/755110;
D;251;2673177;2;20200302 01:05;P;;;;;;
D;251;2673177;2;20200302 01:05;P;;;;;;
D;251;2673177;2;20200302 01:05;P;;;;;;
D;251;2673177;2;20200302 01:05;P;;;;;;
D;251;2673177;2;20200302 01:05;V;;;;;;
D;251;2673177;2;20200302 01:05;V;;;;;;
Z;16;2;2;10;
