A;011;20020201 11:28;CDIXON;
B;011;291831;1;20020201 11:28;;;294;UPPER ROUCHEL RD;UPPER ROUCHEL;2336;52.97;H;20011026;20011211;270000;R;R;RESIDENCE;;HR;;;8229576;
C;011;291831;1;20020201 11:28;80//610152;
D;011;291831;1;20020201 11:28;P;;;;;;
D;011;291831;1;20020201 11:28;P;;;;;;
D;011;291831;1;20020201 11:28;V;;;;;;
B;011;291915;2;20020201 11:28;;;;ASHWOOD RD;SCONE;2337;635.8;H;20010912;20011024;1200000;R;3;FARM;;GB;RG;;8164004;
C;011;291915;2;20020201 11:28;114, 147, 148, 150, 151, 153, 157, 158, 33, 34, 35, 36, 37, 38, 41, 42;
C;011;291915;2;20020201 11:28;, 45, 50, 51, 74, 75//750931 1, 2, 3, 4//834459 Enclosure Permit 50955;
C;011;291915;2;20020201 11:28; (COAL RIGHTS ONLY IN DP 834459) LEASE OVER PROPERTY;
D;011;291915;2;20020201 11:28;P;;;;;;
D;011;291915;2;20020201 11:28;V;;;;;;
B;011;291970;3;20020201 11:28;;;;SEGENHOE RD;SCONE;2337;1.061;H;20010918;20011031;190000;R;R;RESIDENCE;;HS;RR;;8135291;
C;011;291970;3;20020201 11:28;110//703601;
D;011;291970;3;20020201 11:28;P;;;;;;
D;011;291970;3;20020201 11:28;P;;;;;;
D;011;291970;3;20020201 11:28;V;;;;;;
B;011;292038;4;20020201 11:28;;;;BUNNAN RD;SCONE;2337;354.1;M;20010924;20011116;3000;R;V;VACANT LAND;;HF;AV;;8156330;
C;011;292038;4;20020201 11:28;1//410627;
D;011;292038;4;20020201 11:28;P;;;;;;
D;011;292038;4;20020201 11:28;P;;;;;;
D;011;292038;4;20020201 11:28;V;;;;;;
B;011;292125;5;20020201 11:28;;;111;TULLONG RD;SCONE;2337;2.024;H;20010928;20011123;40000;R;R;RESIDENCE;;HS;RR;;8162125;
C;011;292125;5;20020201 11:28;18//249726;
D;011;292125;5;20020201 11:28;P;;;;;;
D;011;292125;5;20020201 11:28;V;;;;;;
B;011;292874;6;20020201 11:28;;;4;MARGARET PL;ABERDEEN;2336;672.3;M;20011205;20020102;90000;A;R;RESIDENCE;;AA;;;8287369;
C;011;292874;6;20020201 11:28;10//263827;
D;011;292874;6;20020201 11:28;P;;;;;;
D;011;292874;6;20020201 11:28;V;;;;;;
B;011;292913;7;20020201 11:28;;;46;MOUNT ST;ABERDEEN;2336;734.8;M;20011122;20020115;70000;A;R;RESIDENCE;;AA;;;8291491;
C;011;292913;7;20020201 11:28;1//632060;
D;011;292913;7;20020201 11:28;P;;;;;;
D;011;292913;7;20020201 11:28;P;;;;;;
D;011;292913;7;20020201 11:28;V;;;;;;
B;011;293268;8;20020201 11:28;;;4;WATTLE ST;ABERDEEN;2336;688;M;20011019;20011126;124000;A;R;RESIDENCE;;AA;;;8236808;
C;011;293268;8;20020201 11:28;14//834395;
D;011;293268;8;20020201 11:28;P;;;;;;
D;011;293268;8;20020201 11:28;P;;;;;;
D;011;293268;8;20020201 11:28;V;;;;;;
D;011;293268;8;20020201 11:28;V;;;;;;
B;011;293557;9;20020201 11:28;;;13;COOK ST;SCONE;2337;2252;M;20010925;20011031;175000;A;R;RESIDENCE;;AS;AC;;8095116;
C;011;293557;9;20020201 11:28;9//255641;
D;011;293557;9;20020201 11:28;P;;;;;;
D;011;293557;9;20020201 11:28;P;;;;;;
D;011;293557;9;20020201 11:28;V;;;;;;
D;011;293557;9;20020201 11:28;V;;;;;;
B;011;293561;10;20020201 11:28;;;17;COOK ST;SCONE;2337;1012;M;20010919;20011030;120000;A;R;RESIDENCE;;AS;;;8276093;
C;011;293561;10;20020201 11:28;13//255641;
D;011;293561;10;20020201 11:28;P;;;;;;
D;011;293561;10;20020201 11:28;P;;;;;;
D;011;293561;10;20020201 11:28;V;;;;;;
D;011;293561;10;20020201 11:28;V;;;;;;
B;011;293609;11;20020201 11:28;;;31;DAVIES ST;SCONE;2337;1523;M;20011126;20011219;200000;A;R;RESIDENCE;;AS;;;8277142;
C;011;293609;11;20020201 11:28;67//255641;
D;011;293609;11;20020201 11:28;P;;;;;;
D;011;293609;11;20020201 11:28;P;;;;;;
D;011;293609;11;20020201 11:28;V;;;;;;
B;011;293639;12;20020201 11:28;;;3;DERBY CL;SCONE;2337;2569;M;20011029;20011210;45000;R;V;VACANT LAND;;HG;;;8227179;
C;011;293639;12;20020201 11:28;14//861882;
D;011;293639;12;20020201 11:28;P;;;;;;
D;011;293639;12;20020201 11:28;V;;;;;;
B;011;293694;13;20020201 11:28;;;24;EVELEIGH CT;SCONE;2337;499.8;M;20011102;20011224;100000;A;R;RESIDENCE;;AW;;;8258667;
C;011;293694;13;20020201 11:28;101//849548;
D;011;293694;13;20020201 11:28;P;;;;;;
D;011;293694;13;20020201 11:28;V;;;;;;
B;011;293832;14;20020201 11:28;;;79;KINGDON ST;SCONE;2337;607;M;20011109;20011224;115000;A;R;RESIDENCE;;AW;;;8269022;
C;011;293832;14;20020201 11:28;99//231964;
D;011;293832;14;20020201 11:28;P;;;;;;
D;011;293832;14;20020201 11:28;V;;;;;;
B;011;293979;15;20020201 11:28;;;15;HONEYSUCKLE CRES;SCONE;2337;901.7;M;20011127;20011220;48500;A;V;VACANT LAND;;AE;;;8246124;
C;011;293979;15;20020201 11:28;17//813932;
D;011;293979;15;20020201 11:28;P;;;;;;
D;011;293979;15;20020201 11:28;P;;;;;;
D;011;293979;15;20020201 11:28;V;;;;;;
B;011;294514;16;20020201 11:28;;;31;NYARRA ST;SCONE;2337;921;M;20011108;20011214;185000;A;R;RESIDENCE;;AS;;;8260914;
C;011;294514;16;20020201 11:28;14//262896;
D;011;294514;16;20020201 11:28;P;;;;;;
D;011;294514;16;20020201 11:28;P;;;;;;
D;011;294514;16;20020201 11:28;V;;;;;;
B;011;294613;17;20020201 11:28;;;11;OXFORD RD;SCONE;2337;1012;M;20010826;20011002;206000;A;R;RESIDENCE;;AE;AC;;7999333;
C;011;294613;17;20020201 11:28;52/8/2958;
D;011;294613;17;20020201 11:28;P;;;;;;
D;011;294613;17;20020201 11:28;V;;;;;;
B;011;294662;18;20020201 11:28;;;6;PARK ST;SCONE;2337;1012;M;20011123;20011219;27500;A;V;VACANT LAND;;AD;;;8274070;
C;011;294662;18;20020201 11:28;23/6/2958;
D;011;294662;18;20020201 11:28;P;;;;;;
D;011;294662;18;20020201 11:28;V;;;;;;
D;011;294662;18;20020201 11:28;V;;;;;;
B;011;294891;19;20020201 11:28;;;42;SATUR RD;SCONE;2337;2214;M;20010924;20011120;135000;A;R;RESIDENCE;;AS;AC;;8144778;
C;011;294891;19;20020201 11:28;102//609638;
D;011;294891;19;20020201 11:28;P;;;;;;
D;011;294891;19;20020201 11:28;V;;;;;;
B;011;295040;20;20020201 11:28;;;28;SHORT ST;SCONE;2337;696;M;20010831;20011219;36500;A;V;VACANT LAND;;AD;;;8238455;
C;011;295040;20;20020201 11:28;3//880579;
D;011;295040;20;20020201 11:28;P;;;;;;
D;011;295040;20;20020201 11:28;P;;;;;;
D;011;295040;20;20020201 11:28;V;;;;;;
B;011;295066;21;20020201 11:28;;;51;STAFFORD ST;SCONE;2337;1423;M;20011107;20011207;73000;A;R;RESIDENCE;;AD;;;8222819;
C;011;295066;21;20020201 11:28;60//239406;
D;011;295066;21;20020201 11:28;P;;;;;;
D;011;295066;21;20020201 11:28;P;;;;;;
D;011;295066;21;20020201 11:28;V;;;;;;
B;011;295083;22;20020201 11:28;;;21;STAFFORD ST;SCONE;2337;1012;M;20011026;20011130;65000;A;R;RESIDENCE;;AE;AC;;8291893;
C;011;295083;22;20020201 11:28;16/13/9620;
D;011;295083;22;20020201 11:28;P;;;;;;
D;011;295083;22;20020201 11:28;P;;;;;;
D;011;295083;22;20020201 11:28;V;;;;;;
B;011;295108;23;20020201 11:28;;;15;STANSTEAD CL;SCONE;2337;2009;M;20011109;20011220;59000;A;V;VACANT LAND;;AF;;;8238180;
C;011;295108;23;20020201 11:28;37//863687;
D;011;295108;23;20020201 11:28;P;;;;;;
D;011;295108;23;20020201 11:28;P;;;;;;
D;011;295108;23;20020201 11:28;V;;;;;;
D;011;295108;23;20020201 11:28;V;;;;;;
B;011;295192;24;20020201 11:28;;;123;SUSAN ST;SCONE;2337;859.9;M;20011105;20011220;110000;B;R;RESIDENCE;;BB;;;8266371;
C;011;295192;24;20020201 11:28;1//163150 1//408841;
D;011;295192;24;20020201 11:28;P;;;;;;
D;011;295192;24;20020201 11:28;P;;;;;;
D;011;295192;24;20020201 11:28;V;;;;;;
B;011;295937;25;20020201 11:28;;;4;MADELINE ST;WINGEN;2337;2023;M;20011206;20011228;85000;A;R;RESIDENCE;;VW;;;8266401;
C;011;295937;25;20020201 11:28;6/17/759098;
D;011;295937;25;20020201 11:28;P;;;;;;
D;011;295937;25;20020201 11:28;P;;;;;;
D;011;295937;25;20020201 11:28;V;;;;;;
B;011;2849953;26;20020201 11:28;;;;CLIFTLANDS RD;SCONE;2337;1.011;H;20011105;20011220;62500;R;V;VACANT LAND;;HS;;;8299165;
C;011;2849953;26;20020201 11:28;1//1032281;
D;011;2849953;26;20020201 11:28;P;;;;;;
D;011;2849953;26;20020201 11:28;P;;;;;;
D;011;2849953;26;20020201 11:28;V;;;;;;
B;011;2869966;27;20020201 11:28;;;;NEW ENGLAND HWY;SCONE;2337;11.09;H;20010620;20010921;360920;R;R;RESIDENCE;;HL;RR;;7978589;
C;011;2869966;27;20020201 11:28;343//605113;
D;011;2869966;27;20020201 11:28;P;;;;;;
D;011;2869966;27;20020201 11:28;P;;;;;;
B;011;2877785;28;20020201 11:28;;;;;PARKVILLE;2337;;;20011016;20011219;745000;;V;VACANT LAND;;;;;8235437;
C;011;2877785;28;20020201 11:28;697//1036131;
D;011;2877785;28;20020201 11:28;P;;;;;;
D;011;2877785;28;20020201 11:28;P;;;;;;
D;011;2877785;28;20020201 11:28;V;;;;;;
D;011;2877785;28;20020201 11:28;V;;;;;;
B;011;2877786;29;20020201 11:28;;;;;PARKVILLE;2337;;;20011016;20011219;745000;;V;VACANT LAND;;;;;8235437;
C;011;2877786;29;20020201 11:28;698//1036131;
D;011;2877786;29;20020201 11:28;P;;;;;;
D;011;2877786;29;20020201 11:28;P;;;;;;
D;011;2877786;29;20020201 11:28;V;;;;;;
D;011;2877786;29;20020201 11:28;V;;;;;;
B;011;2877787;30;20020201 11:28;;;;;PARKVILLE;2337;;;20011016;20011219;745000;;V;VACANT LAND;;;;;8235437;
C;011;2877787;30;20020201 11:28;699//1036131;
D;011;2877787;30;20020201 11:28;P;;;;;;
D;011;2877787;30;20020201 11:28;P;;;;;;
D;011;2877787;30;20020201 11:28;V;;;;;;
D;011;2877787;30;20020201 11:28;V;;;;;;
Z;152;30;32;88;
